location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
AUS,0,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,1,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,2,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,3,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,4,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,5,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,6,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,7,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,8,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,9,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,10,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,11,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,12,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,13,Aluminium,1614.468,4.0375,6.518414549999999,S3
AUS,0,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,1,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,2,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,3,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,4,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,5,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,6,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,7,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,8,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,9,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,10,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,11,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,12,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,13,Bauxite,30.66,16.15,0.49515899999999996,S3
AUS,0,Compressor,28400.57665784776,1.0,28.40057665784776,S3
AUS,1,Compressor,28248.738199592102,1.0,28.248738199592104,S3
AUS,2,Compressor,27999.992663777546,1.0,27.999992663777547,S3
AUS,3,Compressor,26055.14212229166,1.0,26.055142122291663,S3
AUS,4,Compressor,34477.10101756698,1.0,34.47710101756698,S3
AUS,5,Compressor,34219.00096,1.0,34.219000959999995,S3
AUS,6,Compressor,34534.5634466941,1.0,34.5345634466941,S3
AUS,7,Compressor,34907.90926530613,1.0,34.90790926530613,S3
AUS,8,Compressor,35311.007114197375,1.0,35.31100711419737,S3
AUS,9,Compressor,35715.850121955555,1.0,35.715850121955555,S3
AUS,10,Compressor,24437.24635521332,1.0,24.43724635521332,S3
AUS,11,Compressor,31799.4949329,1.0,31.7994949329,S3
AUS,12,Compressor,26579.59586984506,1.0,26.57959586984506,S3
AUS,13,Compressor,26915.57419044523,1.0,26.91557419044523,S3
AUS,0,Copper_ore,2479.0833067935555,5.51666667,13.676276250741394,S3
AUS,1,Copper_ore,2479.083306793555,5.51666667,13.67627625074139,S3
AUS,2,Copper_ore,2479.0833067935555,5.51666667,13.676276250741394,S3
AUS,3,Copper_ore,2876.787922991459,5.51666667,15.870280051425507,S3
AUS,4,Copper_ore,2883.0059459970475,5.51666667,15.904582811693734,S3
AUS,5,Copper_ore,2888.8165686226907,5.51666667,15.936638079864565,S3
AUS,6,Copper_ore,2894.2585596842946,5.51666667,15.966659730572555,S3
AUS,7,Copper_ore,2899.365920172553,5.51666667,15.994835335949805,S3
AUS,8,Copper_ore,2900.600439355198,5.51666667,16.00164576677818,S3
AUS,9,Copper_ore,2905.1072536317774,5.51666667,16.026508358885664,S3
AUS,10,Copper_ore,2909.3603441785776,5.51666667,16.049971241749688,S3
AUS,11,Copper_ore,2989.771457221146,5.51666667,16.493572548969226,S3
AUS,12,Copper_ore,2997.597671325103,5.51666667,16.53674716346881,S3
