location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,168.2864029683765,164.11175527261653,162.1033621700793,156.58988020800402,160.610583352404,159.2195073344378,163.6689544904823,165.32688125403305,195.03461826213277,168.4962012085473,170.68495725308824,155.28073864499868,146.1598682182786,144.58223996796087,162.86828218610285
AUT,317.24887282300824,441.4005300449816,437.9076411560928,435.19164115609277,432.5756411560928,430.11341893387055,427.50453004498166,360.6003760526942,246.28221640284818,235.69336543073842,285.38245051278955,217.40495552002392,209.11136098185605,198.97313296326575,333.95643808423836
BRA,37.67838988155,37.50838988155,37.108389881549996,19843.939027057335,724.9974130508418,312.9631570681935,245.14870394187184,174.6877742363802,168.2721206850282,167.8721206850282,167.463907893159,166.95283044826843,224.2116607355454,166.82703172324096,1605.402208369253
CHN,129.71584076910267,125.82233955640201,122.20340708138886,119.1363829353823,123.52428056477659,129.89420100382935,128.9709831615359,126.89425522802047,124.40578261220871,118.6212452229924,119.05134007278559,114.28897423251314,113.92855648867612,113.47040822515929,122.13771408248382
CZE,327.3275058574761,301.69382610079754,292.12784535497013,278.2628882725201,266.1345872179934,277.42619770334085,277.59643816652226,262.1731323003794,282.1999092065384,290.82184419217316,238.23511085742808,235.3984724150194,231.2063210742019,241.54520984986763,271.5820920406592
DEU,292.2161455364677,283.820601122876,276.57997299693864,270.96469051210414,265.99748305542846,261.78126021920787,275.02932934108475,274.8022185802813,252.70048817774318,213.37492361871233,175.81211369796918,178.09024929828377,187.86442377491153,169.94980640325227,241.35597902394719
ITA,189.10764215478113,213.085454185032,199.85083567371396,194.35865389143973,192.87169749434105,192.33588186046006,197.07934642429714,205.06384038922002,206.11508407815907,198.21192409816953,180.8077981306655,247.40358279843477,241.28735153117057,223.41889569435685,205.78557060030295
JPN,484.88274403005585,481.8680687051758,477.3041726012797,413.9413028101526,409.44103109294275,403.104437659638,402.25160319859305,405.47174410615236,365.3330885858338,295.38631905192625,214.0435485599508,201.26614730534388,217.02305341444173,224.88998059926033,356.8719458371962
KOR,533.2731309307436,429.7519649171071,344.32355340225456,293.30521405117986,265.7667342587861,266.28319265754584,244.34819626856043,239.75243201244263,237.69209536306423,241.84655964005927,264.15633664135703,217.5921262762547,216.5319593336735,215.7126315481614,286.4525805215136
ROE,252.89730063370968,223.94365202460907,216.39878156424192,209.52973857977986,198.93600421489566,195.3211003363745,182.04008402031167,190.46336769499806,170.0821754043023,174.84716473513745,175.13484072772349,250.45273602204247,232.31661121878795,223.36882799330368,206.8380275121584
ROW,400.7353866785664,327.9148267226355,310.0237979223041,296.54761254563635,285.48349342434574,246.80360086043862,234.03050524911748,223.40326571717648,207.31499410437442,188.95919146851395,186.61831559595228,243.6699052715617,191.81720040555618,182.1491240100187,251.8193728554427
USA,195.9865232718165,195.46769429083142,191.65806521579842,181.0583294349524,201.05273632867898,200.3902046795892,199.06214722698286,195.49159486727729,180.87929053843317,194.8751570245432,209.07532649077268,182.23454771926285,171.7665701266847,161.40870889333564,190.0290640077828
