location,time_operation,lcohp,scenario
AUS,0,99.48215186882982,S5
AUS,1,99.01351930640266,S5
AUS,2,97.72614449852826,S5
AUS,3,97.78242369692252,S5
AUS,4,97.28767984094385,S5
AUS,5,95.9261411504473,S5
AUS,6,121.54439289813445,S5
AUS,7,96.41987938010104,S5
AUS,8,185.67172850076872,S5
AUS,9,177.82719727845537,S5
AUS,10,387.37105884738907,S5
AUS,11,172.90732528148516,S5
AUS,12,179.5114703659055,S5
AUS,13,176.4550888535981,S5
AUT,0,136.87829854203076,S5
AUT,1,145.8110201394882,S5
AUT,2,146.83888696745717,S5
AUT,3,145.11984772955782,S5
AUT,4,142.22705563516706,S5
AUT,5,141.0171409911951,S5
AUT,6,139.05317014724366,S5
AUT,7,137.69247923781992,S5
AUT,8,284.5076981266757,S5
AUT,9,141.3865318063975,S5
AUT,10,140.04011935200782,S5
AUT,11,140.5865318063975,S5
AUT,12,140.18653180639748,S5
AUT,13,139.7865318063975,S5
BRA,0,111.45823621252977,S5
BRA,1,111.18823621252977,S5
BRA,2,110.58823621252978,S5
BRA,3,110.18823621252977,S5
BRA,4,109.88823621252978,S5
BRA,5,108.77930165283712,S5
BRA,6,108.10719529710907,S5
BRA,7,121.99725687408284,S5
BRA,8,106.8763646725313,S5
BRA,9,379.1367512023737,S5
BRA,10,341.88977927230917,S5
BRA,11,105.52194706677321,S5
BRA,12,124.85945712429732,S5
BRA,13,104.8019014283798,S5
CHN,0,143.3225661495017,S5
CHN,1,132.4216910033356,S5
CHN,2,129.04111356196708,S5
CHN,3,129.45721648810832,S5
CHN,4,124.99503635992204,S5
CHN,5,116.60132619870318,S5
CHN,6,119.27431571405413,S5
CHN,7,114.98513794101241,S5
CHN,8,116.40509097576331,S5
CHN,9,123.67813046974288,S5
CHN,10,132.03485681216176,S5
CHN,11,123.92579540888282,S5
CHN,12,121.61020554114889,S5
CHN,13,121.20851084668678,S5
CZE,0,313.75109156963816,S5
CZE,1,221.95250214046536,S5
CZE,2,498.6974413766722,S5
CZE,3,495.99138453936354,S5
CZE,4,493.2984245393636,S5
CZE,5,490.7446645393635,S5
CZE,6,488.18181397223503,S5
CZE,7,469.5769213961552,S5
CZE,8,460.55973635409543,S5
CZE,9,390.3294520049392,S5
CZE,10,419.66822847178236,S5
CZE,11,392.23758024151243,S5
CZE,12,387.01334534502774,S5
CZE,13,235.46942190205473,S5
DEU,0,266.9345174759301,S5
DEU,1,264.4067379648903,S5
DEU,2,261.1685717538969,S5
DEU,3,258.0981667113975,S5
DEU,4,280.54242514171256,S5
DEU,5,260.77713071598316,S5
DEU,6,252.49656648430673,S5
DEU,7,243.1587864699921,S5
DEU,8,213.09671107842385,S5
DEU,9,186.70328762724006,S5
DEU,10,182.8047965543591,S5
DEU,11,185.0101528745585,S5
DEU,12,180.47314950667436,S5
DEU,13,178.11408932786398,S5
ITA,0,137.42050691769157,S5
ITA,1,235.87382097799212,S5
ITA,2,243.04632922996842,S5
ITA,3,231.73587685544098,S5
ITA,4,220.3902210402079,S5
ITA,5,217.05113785608887,S5
ITA,6,229.36694603299298,S5
ITA,7,222.99332840654054,S5
ITA,8,204.78697907291706,S5
ITA,9,200.3873269314588,S5
ITA,10,198.2410585908977,S5
ITA,11,247.44454748562723,S5
ITA,12,239.34800929375356,S5
ITA,13,231.39627545253268,S5
JPN,0,586.0115323393721,S5
JPN,1,550.3387712741605,S5
JPN,2,410.2467134451609,S5
JPN,3,406.4281004759822,S5
JPN,4,402.60852221609105,S5
JPN,5,399.90815706162385,S5
JPN,6,335.1655311334145,S5
JPN,7,238.83607529198838,S5
JPN,8,208.63764163005897,S5
JPN,9,199.08090604655112,S5
JPN,10,196.64213301920566,S5
JPN,11,189.33535140311443,S5
JPN,12,188.60092873793187,S5
JPN,13,187.98050196459974,S5
KOR,0,856.6432307467403,S5
KOR,1,849.1577385539402,S5
KOR,2,843.6123006441854,S5
KOR,3,411.0173598222692,S5
KOR,4,331.25287424452586,S5
KOR,5,302.3015086452698,S5
KOR,6,268.4535626920333,S5
KOR,7,248.68863407733912,S5
KOR,8,300.40387505707577,S5
KOR,9,278.8616030303152,S5
KOR,10,273.4913902594772,S5
KOR,11,246.78518007489643,S5
KOR,12,245.86698980698682,S5
KOR,13,244.7551027132332,S5
ROE,0,219.45509628857613,S5
ROE,1,210.9385694601654,S5
ROE,2,203.2441723358732,S5
ROE,3,188.47977127337342,S5
ROE,4,185.29242100340556,S5
ROE,5,180.5679811996747,S5
ROE,6,172.73836269256057,S5
ROE,7,168.36842530102297,S5
ROE,8,186.0576816997696,S5
ROE,9,181.73039306990634,S5
ROE,10,177.36620553542988,S5
ROE,11,187.73559304820344,S5
ROE,12,185.53609044260568,S5
ROE,13,206.54089426759188,S5
ROW,0,328.0936243366382,S5
ROW,1,297.9245812039626,S5
ROW,2,267.37261439671414,S5
ROW,3,217.80122330916575,S5
