location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2481.103236103638,2471.0083030105266,2458.1995620877105,2448.8396724772538,2438.9323236667988,2428.5071510716903,2543.5022718114105,2540.858102020258,2402.479295612418,2521.3812113604945,4269.457650813043,1416.634102636112,789.8115977156256,538.4041396100621
AUT,5659.455945770305,4708.5340686521,4709.378500354795,4697.3426776242895,4682.788470611796,4668.170264598915,4651.228279120467,4638.958125075115,4401.007615480484,4542.925495115857,4525.119650106274,4531.555613931116,4526.450769317559,4520.185732746373
BRA,2731.43827887486,2728.2184468866,2721.6155238233514,2715.5567977158653,2709.7701700862604,2699.932061724304,2729.0476283526846,2745.108881443412,2756.418694154596,2875.7696129389187,3091.315934781361,1336.464201014796,889.5159083416762,666.6222429312523
CHN,1364.5883848794003,1280.9908823306266,1214.5704549305551,1187.0120417547541,1164.485235748683,1145.4524439528254,1098.8692503184986,1053.396148152837,1016.6331206239172,1002.1831298537821,997.0595330330876,993.2099708809453,972.3418809346452,950.4601898842652
CZE,26210.473968994298,18957.4575082734,12678.218411617258,12608.624537302734,12540.194614455779,12474.457415153194,12625.138755972339,12087.785906611422,10964.501449043959,10271.571680980504,12961.08165546993,10259.412037370044,10118.331507175073,9257.493956845197
DEU,3351.4156507811904,3184.5373449292083,2916.3456300436424,2885.221439325324,2795.2446131337047,2753.083556741454,2716.876965775591,2687.84101216435,2558.6668940249215,2524.959233724734,2502.552876279238,2479.954615615425,2462.904744399985,2261.4513012581356
ITA,27964.459528036063,19042.710700236486,18467.932537943198,17935.580436730204,17369.68453165082,16762.62942202358,16299.386620991047,16503.987066842215,15822.134761175796,13947.225379051974,13544.64625563581,13305.922268712251,12231.619791354355,11360.49105163253
JPN,8150.54197357736,7648.547619444732,5624.977862380575,5575.870036743841,5526.762211107109,5477.654385470375,3798.2881309507356,3277.2310818854276,2558.241074231549,2481.8032080442013,2407.808449888992,2379.3015680119406,2344.502289689404,2308.7777567079565
KOR,6869.545092949159,6750.583302499873,5818.801348586981,4678.914414883487,3957.773483686028,3575.213757064159,2789.6619557238246,2317.6997128818844,2419.9977718253763,2600.552823833832,2603.050369338923,2487.342575006858,2475.3297563628616,2464.3702575055418
ROE,2017.528820548749,1971.181828160664,1929.691704951431,1939.0566744288483,1899.0002194532278,1884.1707839958096,1904.6178746373798,1889.3918310965887,1878.2915399495657,1835.5728850284152,1688.8149410929234,1529.8405934966047,1451.512860584408,1466.3697236749736
ROW,6602.833474616837,6208.814217161302,5502.445433725173,4901.964025331124,4238.170674282587,3623.9193273231085,3407.8604580689207,3381.8720342371153,3435.61463487078,3445.070493534881,3366.2013849194204,3071.0526628333687,2945.514559770255,2810.2418312380896
TOTAL,2935.579475307923,2766.855454196235,2586.2608699932666,2466.6606097404797,2349.596312314469,2254.352999638969,2113.2757783254283,2014.7577510314054,1944.9668062247845,1921.3112670786943,1926.9706727619864,1795.072602585943,1739.3864370957147,1690.1395351885653
USA,3201.0272381180175,3066.5384646365633,2998.861934500096,3008.525193485711,2947.106340219745,2845.200103552162,2804.593042170642,2729.6503974713482,2716.883652670188,2697.8524132133152,2757.602713376493,2742.082408743814,2872.424353554797,3004.179531907628
