location,commodity,time_operation,total_transport_cost,total_transport_opex,total_transport_flow,transport_cost_per_unit
AUS,Aluminium,0,0.0,0.0,0.0,
AUS,Aluminium,1,0.0,0.0,0.0,
AUS,Aluminium,2,0.0,0.0,0.0,
AUS,Aluminium,3,0.0,0.0,0.0,
AUS,Aluminium,4,0.0,0.0,0.0,
AUS,Aluminium,5,0.0,0.0,0.0,
AUS,Aluminium,6,0.0,0.0,0.0,
AUS,Aluminium,7,0.0,0.0,0.0,
AUS,Aluminium,8,0.0,0.0,0.0,
AUS,Aluminium,9,0.0,0.0,0.0,
AUS,Aluminium,10,0.0,0.0,0.0,
AUS,Aluminium,11,0.0,0.0,0.0,
AUS,Aluminium,12,0.0,0.0,0.0,
AUS,Aluminium,13,0.0,0.0,0.0,
AUS,Bauxite,0,0.0,0.0,0.0,
AUS,Bauxite,1,0.0,0.0,0.0,
AUS,Bauxite,2,0.0,0.0,0.0,
AUS,Bauxite,3,0.0,0.0,0.0,
AUS,Bauxite,4,0.0,0.0,0.0,
AUS,Bauxite,5,0.0,0.0,0.0,
AUS,Bauxite,6,0.0,0.0,0.0,
AUS,Bauxite,7,0.0,0.0,0.0,
AUS,Bauxite,8,0.0,0.0,0.0,
AUS,Bauxite,9,0.0,0.0,0.0,
AUS,Bauxite,10,0.0,0.0,0.0,
AUS,Bauxite,11,0.0,0.0,0.0,
AUS,Bauxite,12,0.0,0.0,0.0,
AUS,Bauxite,13,0.0,0.0,0.0,
AUS,Compressor,0,0.0,0.0,0.0,
AUS,Compressor,1,0.0,0.0,0.0,
AUS,Compressor,2,0.0,0.0,0.0,
AUS,Compressor,3,0.0,0.0,0.0,
AUS,Compressor,4,0.0,0.0,0.0,
AUS,Compressor,5,0.0,0.0,0.0,
AUS,Compressor,6,0.0,0.0,0.0,
AUS,Compressor,7,0.0,0.0,0.0,
AUS,Compressor,8,0.0,0.0,0.0,
AUS,Compressor,9,0.0,0.0,0.0,
AUS,Compressor,10,13680.89781136532,13680.89781136532,0.9591912747252748,14262.95064588
AUS,Compressor,11,0.0,0.0,0.0,
AUS,Compressor,12,0.0,0.0,0.0,
AUS,Compressor,13,0.0,0.0,0.0,
AUS,Copper,0,25.6354,25.6354,0.0,
AUS,Copper,1,25.6354,25.6354,0.0,
AUS,Copper,2,25.6354,25.6354,0.0,
AUS,Copper,3,25.6354,25.6354,0.0,
AUS,Copper,4,25.6354,25.6354,0.0,
AUS,Copper,5,25.6354,25.6354,0.0,
AUS,Copper,6,25.6354,25.6354,0.0,
AUS,Copper,7,25.6354,25.6354,0.0,
AUS,Copper,8,25.6354,25.6354,0.0,
AUS,Copper,9,25.6354,25.6354,0.0,
AUS,Copper,10,25.6354,25.6354,0.0,
AUS,Copper,11,25.6354,25.6354,0.0,
AUS,Copper,12,25.6354,25.6354,0.0,
AUS,Copper,13,25.6354,25.6354,0.0,
AUS,Copper_ore,0,21.1848,21.1848,0.0,
AUS,Copper_ore,1,21.1848,21.1848,0.0,
AUS,Copper_ore,2,21.1848,21.1848,0.0,
AUS,Copper_ore,3,21.1848,21.1848,0.0,
AUS,Copper_ore,4,21.1848,21.1848,0.0,
AUS,Copper_ore,5,21.1848,21.1848,0.0,
AUS,Copper_ore,6,21.1848,21.1848,0.0,
AUS,Copper_ore,7,21.1848,21.1848,0.0,
AUS,Copper_ore,8,331.161879236565,331.161879236565,1.850875,178.92179603515365
AUS,Copper_ore,9,331.161879236565,331.161879236565,1.850875,178.92179603515365
AUS,Copper_ore,10,1878.6552687167498,1878.6552687167498,11.090967313626374,169.38606125081913
AUS,Copper_ore,11,331.161879236565,331.161879236565,1.850875,178.92179603515365
AUS,Copper_ore,12,331.161879236565,331.161879236565,1.850875,178.92179603515365
AUS,Copper_ore,13,331.161879236565,331.161879236565,1.850875,178.92179603515365
AUS,HEX,0,467000.0,467000.0,0.0,
AUS,HEX,1,467000.0,467000.0,0.0,
AUS,HEX,2,467000.0,467000.0,0.0,
AUS,HEX,3,467000.0,467000.0,0.0,
AUS,HEX,4,467000.0,467000.0,0.0,
AUS,HEX,5,467000.0,467000.0,0.0,
AUS,HEX,6,467000.0,467000.0,0.0,
