commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.13049035593915212,0.14220344454354483,0.15331868641010535,0.16384220521832818,0.1737810664079885,0.1751846089868109,0.1578253145161356,0.16268758701273958,0.16699017655203316,0.17340376959719414,0.1784885565713238,0.18421814631880268,0.18856339805435676,0.1907156816624313,0.16726521412792478
Bauxite,0.6389593104412757,0.5899971921917029,0.5435836051276131,0.49968517638258947,0.4582651449687946,0.4192825370538747,0.38269150348196285,0.34844073714601537,0.316473089591793,0.2867252999777172,0.3207312515142438,0.5111457958549483,0.7082296626369285,0.88933260631959,0.49382449376350346
Compressor,0.022885306755261365,0.025525360335361194,0.02845588162703329,0.03089903188357895,0.03807166951745891,0.05074594327041511,0.059020133390203844,0.08169533305405212,0.09218712817014954,0.09300765516514056,0.10032336445630434,0.13349417603421396,0.15057313767839098,0.1687642979153952,0.07683202994663996
Copper,1.4422974546822591,1.2460251519330727,0.9475992201136992,0.6958404548272082,0.3567613022286928,0.06330825818840208,0.23397035472162075,0.3642668206417209,0.5353596706802355,0.7585790132095228,0.958316376083038,0.9816355206102624,0.9553013738183929,0.9263630315393439,0.7475445716626766
Copper_ore,0.09473730028026071,0.0937003644093953,0.10167181075063855,0.10409997712580273,0.1088540317162519,0.11011208508663319,0.10607629357002743,0.1058441521625808,0.1003833560836983,0.09962802743544917,0.09751245731235303,0.0914579956348208,0.09343362908279963,0.09530530777502069,0.10020119917326657
HEX,1.0434990790839922,1.0618023957117282,1.0941870910119846,1.1151973727379756,1.1383366954305134,1.1153565827289909,1.0024699470781395,0.8736393297323312,0.8111886164839386,0.7511161045774566,0.6937479767553634,0.6368308671861557,0.5844294079508506,0.5216216085404773,0.8888159339292784
HP,0.020605384077080718,0.0306659966901235,0.040894722555098115,0.04603761829841673,0.04928862269372286,0.04875471313240601,0.057087971086537403,0.05586642981826009,0.061603094232383714,0.07862843665874104,0.1327890310797473,0.04582516583367879,0.0473254902342281,0.04243015571365295,0.0541287737217198
Iron,0.3569763538084128,0.3338399714978394,0.32157058545342815,0.30035579812409924,0.2781712539715798,0.2546673654846474,0.25111618639460975,0.2382057695743847,0.2406496899908542,0.22447937758652645,0.20669287958187907,0.18151235889663034,0.16392580717840385,0.14760613647603507,0.2499835381442379
Nickel,0.014291891350697535,0.012933858077727154,0.011695538558744145,0.010565832002537892,0.00953502313421853,0.008575770459864634,0.009040864221225431,0.008457330364982849,0.00803921566006445,0.0074606747549295915,0.0070349463025655675,0.006539943794853786,0.006145351593699629,0.005836300818943591,0.009010895792503913
Steel,0.0208179097159615,0.01944777646019906,0.017973245616603004,0.01651029717959289,0.015130841712375128,0.01383603158387836,0.012597293927400657,0.011453965901775597,0.010403685133378287,0.009439077463707975,0.008556535309234019,0.0194832209635474,0.030918077882459996,0.041687982703452274,0.017732567253826152
