location,time_operation,lcohp,scenario
AUS,0,168.2864029683765,
AUS,1,164.11175527261653,
AUS,2,162.1033621700793,
AUS,3,156.58988020800402,
AUS,4,160.610583352404,
AUS,5,159.2195073344378,
AUS,6,163.6689544904823,
AUS,7,165.32688125403305,
AUS,8,195.03461826213277,
AUS,9,168.4962012085473,
AUS,10,170.85921791622496,
AUS,11,197.13396747545147,
AUS,12,180.07817113368705,
AUS,13,180.179586564118,
AUT,0,313.4967760884527,
AUT,1,443.5305495584699,
AUT,2,437.9076411560928,
AUT,3,437.32166066958104,
AUT,4,432.5756411560928,
AUT,5,430.11341893387055,
AUT,6,427.50453004498166,
AUT,7,363.2946643224635,
AUT,8,248.41223591625234,
AUT,9,236.22849648675123,
AUT,10,253.0919933252281,
AUT,11,253.82698121991314,
AUT,12,212.27178166494525,
AUT,13,202.1614598510476,
BRA,0,37.67838988155,
BRA,1,37.50838988155,
BRA,2,37.108389881549996,
BRA,3,19843.93902705826,
BRA,4,724.997413050842,
BRA,5,312.9631570681935,
BRA,6,245.14870394187184,
BRA,7,174.6877742363802,
BRA,8,168.2721206850282,
BRA,9,167.8721206850282,
BRA,10,167.46508234809528,
BRA,11,310.39568060427024,
BRA,12,209.38526380169074,
BRA,13,206.28988658275586,
CHN,0,129.71584076910267,
CHN,1,125.82233955640201,
CHN,2,122.20340708138886,
CHN,3,119.1363829353823,
CHN,4,123.52428056477659,
CHN,5,129.89420100382935,
CHN,6,128.9726323616075,
CHN,7,126.89425522802047,
CHN,8,124.40578261220871,
CHN,9,118.6212452229924,
CHN,10,119.05134007278559,
CHN,11,117.32874243803751,
CHN,12,117.04306391892639,
CHN,13,116.66959081099276,
CZE,0,327.3275058574761,
CZE,1,302.3076928505744,
CZE,2,293.04629008929163,
CZE,3,278.52295152107746,
CZE,4,265.21614248367524,
CZE,5,278.344642437663,
CZE,6,277.8009561273489,
CZE,7,261.8075216978781,
CZE,8,282.5982396179406,
CZE,9,289.5727048130098,
CZE,10,232.93091593339938,
CZE,11,288.3664376611893,
CZE,12,249.0924065142803,
CZE,13,211.05078406429186,
DEU,0,292.11383506444537,
DEU,1,284.57873368257015,
DEU,2,276.57997299693864,
DEU,3,271.08894383273343,
DEU,4,265.99748305542846,
DEU,5,261.78126021920787,
DEU,6,275.61499616189974,
DEU,7,274.8022185802813,
DEU,8,253.3418096435839,
DEU,9,211.51586373047033,
DEU,10,175.9021495692906,
DEU,11,164.74877923246282,
DEU,12,162.44929508325336,
DEU,13,153.29038949695212,
ITA,0,189.10764215478113,
ITA,1,213.085454185032,
ITA,2,199.85083567371396,
ITA,3,194.35865389143973,
ITA,4,192.87169749434105,
ITA,5,192.33588186046006,
ITA,6,197.07934642429714,
ITA,7,205.06384038922002,
ITA,8,206.11508407815919,
ITA,9,198.21192409816945,
ITA,10,180.8077981306655,
ITA,11,297.3765066234521,
ITA,12,211.4602251208648,
ITA,13,201.39017876031076,
JPN,0,484.88274403005585,
JPN,1,481.8680687051758,
JPN,2,477.3041726012797,
JPN,3,413.9413028101526,
JPN,4,409.44103109294275,
JPN,5,403.104437659638,
JPN,6,402.2191855323108,
JPN,7,405.47174410615236,
JPN,8,365.3330885858338,
JPN,9,295.38631905192625,
JPN,10,214.04354855995075,
JPN,11,208.1679247893897,
JPN,12,206.11064745727833,
JPN,13,204.21048459615182,
KOR,0,533.2731309307436,
KOR,1,429.7519649171071,
KOR,2,344.32355340225456,
KOR,3,293.30521405117986,
KOR,4,265.7667342587861,
KOR,5,266.28319265754584,
KOR,6,241.10210498457855,
KOR,7,239.5553206880387,
KOR,8,237.69209536306423,
KOR,9,241.84655964005927,
KOR,10,265.4493441518699,
KOR,11,223.47165728202097,
KOR,12,220.48591117779142,
KOR,13,218.77081793114962,
ROE,0,252.89730063370968,
ROE,1,223.94365202460907,
ROE,2,216.39878156424192,
ROE,3,209.52973857977986,
ROE,4,198.93600421489566,
ROE,5,195.3211003363745,
ROE,6,182.399013847152,
ROE,7,191.01445507636237,
ROE,8,170.0821754043023,
ROE,9,174.84422467293462,
ROE,10,174.6448120524817,
ROE,11,232.0169149809159,
ROE,12,201.0031976651279,
ROE,13,197.28549109462313,
ROW,0,400.7353866785664,
ROW,1,327.9148267226355,
ROW,2,310.0237979223041,
ROW,3,296.54761254563635,
ROW,4,285.48349342434574,
ROW,5,246.80360086043862,
ROW,6,234.03050524911748,
ROW,7,223.40326571717648,
ROW,8,207.3149941043744,
ROW,9,189.08734340496096,
ROW,10,186.68577611964497,
ROW,11,185.88877585744422,
ROW,12,215.07142707619937,
ROW,13,195.14243099289013,
USA,0,195.9865232718165,
USA,1,195.46769429083142,
USA,2,191.65806521579842,
USA,3,181.0583294349524,
USA,4,201.05273632870345,
USA,5,200.39020467960546,
USA,6,199.06214722698286,
USA,7,195.49159486727729,
USA,8,180.87929053843317,
USA,9,194.8751570245432,
USA,10,209.13931017319624,
USA,11,206.52448894340668,
USA,12,217.88036542287122,
USA,13,207.65798798977036,
