location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
AUS,0,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,1,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,2,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,3,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,4,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,5,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,6,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,7,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,8,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,9,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,10,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,11,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,12,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,13,Aluminium,1614.468,4.0375,6.518414549999999,
AUS,0,Bauxite,30.66,16.15,0.49515899999999996,
AUS,1,Bauxite,30.66,16.15,0.49515899999999996,
AUS,2,Bauxite,30.66,16.15,0.49515899999999996,
AUS,3,Bauxite,30.66,16.15,0.49515899999999996,
AUS,4,Bauxite,30.66,16.15,0.49515899999999996,
AUS,5,Bauxite,30.66,16.15,0.49515899999999996,
AUS,6,Bauxite,30.66,16.15,0.49515899999999996,
AUS,7,Bauxite,30.66,16.15,0.49515899999999996,
AUS,8,Bauxite,30.66,16.15,0.49515899999999996,
AUS,9,Bauxite,30.66,16.15,0.49515899999999996,
AUS,10,Bauxite,30.66,16.15,0.49515899999999996,
AUS,11,Bauxite,30.66,16.15,0.49515899999999996,
AUS,12,Bauxite,30.66,16.15,0.49515899999999996,
AUS,13,Bauxite,30.66,16.15,0.49515899999999996,
AUS,0,Compressor,28400.57665784776,1.0,28.40057665784776,
AUS,1,Compressor,28248.738199592102,1.0,28.248738199592104,
AUS,2,Compressor,27999.992663777546,1.0,27.999992663777547,
AUS,3,Compressor,26055.14212229166,1.0,26.055142122291663,
AUS,4,Compressor,34477.10101756698,1.0,34.47710101756698,
AUS,5,Compressor,34219.00096,1.0,34.219000959999995,
AUS,6,Compressor,34534.5634466941,1.0,34.5345634466941,
AUS,7,Compressor,34907.90926530613,1.0,34.90790926530613,
AUS,8,Compressor,35311.007114197375,1.0,35.31100711419737,
AUS,9,Compressor,35715.850121955555,1.0,35.715850121955555,
AUS,10,Compressor,24437.24635521332,1.0,24.43724635521332,
AUS,11,Compressor,59839.39124195592,1.0,59.83939124195592,
AUS,12,Compressor,35349.88990816643,1.0,35.349889908166425,
AUS,13,Compressor,36544.456152299106,1.0,36.544456152299105,
AUS,0,Copper_ore,2770.6829077200136,5.51666667,15.284934050157686,
AUS,1,Copper_ore,2770.6829077200136,5.51666667,15.284934050157686,
AUS,2,Copper_ore,2770.6829077200136,5.51666667,15.284934050157686,
AUS,3,Copper_ore,2800.1343724391472,5.51666667,15.447407963956412,
AUS,4,Copper_ore,1754.7493210848777,5.51666667,9.680367093834073,
AUS,5,Copper_ore,1759.867981004812,5.51666667,9.70860503440944,
AUS,6,Copper_ore,2821.0459848366295,5.51666667,15.56277035908556,
AUS,7,Copper_ore,2828.2758455205712,5.51666667,15.602655090549407,
AUS,8,Copper_ore,2835.0743993234732,5.51666667,15.640160445718076,
AUS,9,Copper_ore,2841.479123635584,5.51666667,15.675493174861236,
AUS,10,Copper_ore,2847.523276057895,5.51666667,15.708836749077799,
AUS,11,Copper_ore,2877.68874894587,5.51666667,15.875249607943678,
AUS,12,Copper_ore,2883.861067785748,5.51666667,15.909300233564249,
AUS,13,Copper_ore,2889.7510120404677,5.51666667,15.941793092722417,
AUS,0,HEX,30159.999999999996,1.0,30.159999999999997,
AUS,1,HEX,29699.999999999996,1.0,29.699999999999996,
AUS,2,HEX,28899.999999999996,1.0,28.899999999999995,
AUS,3,HEX,28599.999999999996,1.0,28.599999999999998,
AUS,4,HEX,28199.999999999996,1.0,28.199999999999996,
AUS,5,HEX,27799.999999999996,1.0,27.799999999999997,
AUS,6,HEX,27400.0,1.0,27.4,
AUS,7,HEX,29142.85714285714,1.0,29.142857142857142,
AUS,8,HEX,58700.0,1.0,58.7,
AUS,9,HEX,26300.0,1.0,26.3,
AUS,10,HEX,34571.42857142857,1.0,34.57142857142857,
AUS,11,HEX,25600.0,1.0,25.6,
AUS,12,HEX,32800.0,1.0,32.8,
AUS,13,HEX,31566.666666666668,1.0,31.566666666666666,
AUS,0,HP,63726.40668947768,1.0,63.72640668947768,
AUS,1,HP,60163.59745197336,1.0,60.16359745197336,
AUS,2,HP,59203.94988525067,1.0,59.20394988525067,
AUS,3,HP,55772.96732434402,1.0,55.772967324344016,
AUS,4,HP,57538.78817490769,1.0,57.538788174907694,
AUS,5,HP,56777.60725668694,1.0,56.77760725668694,
AUS,6,HP,55457.35714094809,1.0,55.45735714094808,
AUS,7,HP,54959.22456975367,1.0,54.95922456975367,
AUS,8,HP,54653.885081454355,1.0,54.653885081454355,
AUS,9,HP,60029.24642031388,1.0,60.02924642031388,
AUS,10,HP,65335.40412625702,1.0,65.33540412625702,
AUS,11,HP,64973.57741377927,1.0,64.97357741377927,
AUS,12,HP,65120.59887305004,1.0,65.12059887305004,
AUS,13,HP,65187.35498225474,1.0,65.18735498225475,
AUS,0,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,1,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,2,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,3,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,4,Iron,35.17089192,29.89,1.0512579594888,
AUS,5,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,6,Iron,35.17089192,29.89,1.0512579594888,
AUS,7,Iron,35.17089192,29.89,1.0512579594888,
AUS,8,Iron,35.17089192,29.89,1.0512579594888,
AUS,9,Iron,35.17089192,29.89,1.0512579594888,
AUS,10,Iron,35.17089192,29.89,1.0512579594888,
AUS,11,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,12,Iron,35.17089192,29.89,1.0512579594888,
AUS,13,Iron,35.170891919999995,29.89,1.0512579594887999,
AUS,0,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,0,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,1,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,1,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,2,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,2,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,3,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,3,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,4,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,4,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,5,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,5,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,6,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,6,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,7,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,7,Nickel,3959.4050206200013,0.605625,2.397914665612988,
AUS,8,Nickel,3972.0835243533343,0.605625,2.4055930844364877,
AUS,8,Nickel,3972.0835243533343,0.605625,2.4055930844364877,
AUS,9,Nickel,4010.1190355533345,0.605625,2.4286283409069878,
AUS,9,Nickel,4010.1190355533345,0.605625,2.4286283409069878,
AUS,10,Nickel,4035.4760430200013,0.605625,2.443985178553988,
AUS,10,Nickel,4035.4760430200013,0.605625,2.443985178553988,
AUS,11,Nickel,4068.077909762858,0.605625,2.4637296841001306,
AUS,11,Nickel,4068.077909762858,0.605625,2.4637296841001306,
AUS,12,Nickel,4111.547065420001,0.605625,2.490055691494988,
AUS,12,Nickel,4111.547065420001,0.605625,2.490055691494988,
AUS,13,Nickel,4145.356408708889,0.605625,2.5105314750243206,
AUS,13,Nickel,4145.356408708889,0.605625,2.5105314750243206,
AUS,0,Refrigerant,15112.78647278788,0.56875,8.595397306398107,
AUS,1,Refrigerant,15112.78647278788,0.56875,8.595397306398107,
AUS,2,Refrigerant,15112.78647278788,0.56875,8.595397306398107,
AUS,3,Refrigerant,15112.57060732601,0.56875,8.595274532916667,
AUS,4,Refrigerant,15112.507783032968,0.56875,8.5952388016,
AUS,5,Refrigerant,15112.449791377852,0.56875,8.595205818846154,
AUS,6,Refrigerant,15112.396095400898,0.56875,8.59517527925926,
AUS,7,Refrigerant,15112.346234850866,0.56875,8.59514692107143,
AUS,8,Refrigerant,15112.299812959456,0.56875,8.595120518620691,
AUS,9,Refrigerant,15112.25648586081,0.56875,8.595095876333335,
AUS,10,Refrigerant,15112.215954058847,0.56875,8.59507282387097,
AUS,11,Refrigerant,15112.142259873459,0.56875,8.595030910303029,
AUS,12,Refrigerant,15112.108663994828,0.56875,8.595011802647058,
AUS,13,Refrigerant,15112.076987880691,0.56875,8.594993786857144,
AUS,0,Steel,495.59999592000014,18.68125,9.258427423780502,
AUS,1,Steel,495.59999592000014,18.68125,9.258427423780502,
AUS,2,Steel,495.59999592000014,18.68125,9.258427423780502,
AUS,3,Steel,495.59999592,18.68125,9.2584274237805,
AUS,4,Steel,495.59999591999997,18.68125,9.2584274237805,
AUS,5,Steel,495.5999959200001,18.68125,9.258427423780502,
AUS,6,Steel,495.59999592,18.68125,9.2584274237805,
AUS,7,Steel,495.59999592,18.68125,9.2584274237805,
AUS,8,Steel,495.59999592,18.68125,9.2584274237805,
AUS,9,Steel,495.5999959200001,18.68125,9.258427423780502,
AUS,10,Steel,495.5999959200001,18.68125,9.258427423780502,
AUS,11,Steel,495.59999592,18.68125,9.2584274237805,
AUS,12,Steel,495.59999592000014,18.68125,9.258427423780502,
AUS,13,Steel,495.59999592,18.68125,9.2584274237805,
AUT,0,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,1,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,2,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,3,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,4,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,5,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,6,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,7,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,8,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,9,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,10,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,11,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,12,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,13,Aluminium,1714.3319999999999,4.0375,6.921615449999999,
AUT,0,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,1,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,2,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,3,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,4,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,5,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,6,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,7,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,8,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,9,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,10,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,11,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,12,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,13,Bauxite,38.013164383775575,16.15,0.6139126047979755,
AUT,0,Compressor,81383.99676,1.0,81.38399675999999,
AUT,1,Compressor,79183.99676,1.0,79.18399676,
AUT,2,Compressor,77283.99676,1.0,77.28399676,
AUT,3,Compressor,75483.99676,1.0,75.48399676,
AUT,4,Compressor,73783.99676,1.0,73.78399676,
AUT,5,Compressor,72083.99676,1.0,72.08399675999999,
AUT,6,Compressor,70383.99676,1.0,70.38399675999999,
AUT,7,Compressor,68783.99676,1.0,68.78399676,
AUT,8,Compressor,67183.99676,1.0,67.18399676,
AUT,9,Compressor,65583.99676,1.0,65.58399675999999,
AUT,10,Compressor,64083.996759999995,1.0,64.08399675999999,
AUT,11,Compressor,62583.99676,1.0,62.583996760000005,
AUT,12,Compressor,61183.99676,1.0,61.18399676,
AUT,13,Compressor,59783.99676000001,1.0,59.78399676000001,
AUT,0,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,1,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,2,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,3,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,4,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,5,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,6,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,7,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,8,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,9,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,10,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,11,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,12,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,13,Copper,352.50239999999997,5.51666667,1.944638241175008,
AUT,0,Copper_ore,992.9031455048687,5.51666667,5.4775156893448695,
AUT,1,Copper_ore,2913.281458220419,5.51666667,16.071602720893583,
AUT,2,Copper_ore,2527.175202232278,5.51666667,13.94158320740532,
AUT,3,Copper_ore,2913.281458220419,5.51666667,16.071602720893583,
