location,,S1,S2,S3,S4,S5
AUS,170.83564925789963,163.0573629661728,162.61451406189957,163.23913975681361,162.86828218610285,148.92330012627943
AUT,335.12413074243875,331.1774910740543,288.9215061452156,326.918014724166,333.95643808423836,151.50941743530237
BRA,1617.4079571219334,1605.4022778716528,193.049754662938,1607.0422208397072,1605.402208369253,146.80579540381018
CHN,122.80593604117522,122.04551722917634,122.72725094079372,122.88219343909215,122.13771408248382,124.92578524792792
CZE,274.1417994049354,263.35545521658105,259.04511704189196,263.741223420106,271.5820920406592,411.2480005994763
DEU,237.41469502496557,240.95754503208607,235.35298934922835,241.83663456914175,241.3559790239472,229.5560778348021
ITA,205.65107634892192,206.61541816814741,195.9753087599486,206.82941962418886,205.78557060030295,218.53445458172217
JPN,355.10604996987416,356.86963028960463,364.42817039076806,356.78920443332424,356.8719458371962,321.41577614566114
KOR,287.2198286740135,286.16535831171655,289.50498845900074,285.26344679975256,286.4525805215136,407.2350964548777
ROE,201.4512044391079,208.0685989894023,201.74583644887548,207.83147371703427,206.8380275121584,189.57511840129706
ROW,250.29523119112392,251.4118941359822,251.23615805612386,250.35497231833955,251.8193728554427,202.04610835838574
USA,198.36599252915633,189.90306021556722,181.94720435071093,189.8437725613379,190.0290640077828,160.3040811954078
