location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,168.2864029683765,164.11175527261653,162.1033621700793,156.58988020800402,160.610583352404,159.2195073344378,163.6689544904823,165.32688125403305,195.03461826213277,168.4962012085473,170.85921791622496,197.13396747545147,180.07817113368705,180.179586564118,170.83564925789963
AUT,313.4967760884527,443.5305495584699,437.9076411560928,437.32166066958104,432.5756411560928,430.11341893387055,427.50453004498166,363.2946643224635,248.41223591625234,236.22849648675123,253.0919933252281,253.82698121991314,212.27178166494525,202.1614598510476,335.1241307424388
BRA,37.67838988155,37.50838988155,37.108389881549996,19843.93902705826,724.997413050842,312.9631570681935,245.14870394187184,174.6877742363802,168.2721206850282,167.8721206850282,167.46508234809528,310.39568060427024,209.38526380169074,206.28988658275586,1617.4079571219331
CHN,129.71584076910267,125.82233955640201,122.20340708138886,119.1363829353823,123.52428056477659,129.89420100382935,128.9726323616075,126.89425522802047,124.40578261220871,118.6212452229924,119.05134007278559,117.32874243803751,117.04306391892639,116.66959081099276,122.80593604117523
CZE,327.3275058574761,302.3076928505744,293.04629008929163,278.52295152107746,265.21614248367524,278.344642437663,277.8009561273489,261.8075216978781,282.5982396179406,289.5727048130098,232.93091593339938,288.3664376611893,249.0924065142803,211.05078406429186,274.1417994049354
DEU,292.11383506444537,284.57873368257015,276.57997299693864,271.08894383273343,265.99748305542846,261.78126021920787,275.61499616189974,274.8022185802813,253.3418096435839,211.51586373047033,175.9021495692906,164.74877923246282,162.44929508325336,153.29038949695212,237.41469502496557
ITA,189.10764215478113,213.085454185032,199.85083567371396,194.35865389143973,192.87169749434105,192.33588186046006,197.07934642429714,205.06384038922002,206.11508407815919,198.21192409816945,180.8077981306655,297.3765066234521,211.4602251208648,201.39017876031076,205.65107634892192
JPN,484.88274403005585,481.8680687051758,477.3041726012797,413.9413028101526,409.44103109294275,403.104437659638,402.2191855323108,405.47174410615236,365.3330885858338,295.38631905192625,214.04354855995075,208.1679247893897,206.11064745727833,204.21048459615182,355.1060499698742
KOR,533.2731309307436,429.7519649171071,344.32355340225456,293.30521405117986,265.7667342587861,266.28319265754584,241.10210498457855,239.5553206880387,237.69209536306423,241.84655964005927,265.4493441518699,223.47165728202097,220.48591117779142,218.77081793114962,287.21982867401357
ROE,252.89730063370968,223.94365202460907,216.39878156424192,209.52973857977986,198.93600421489566,195.3211003363745,182.399013847152,191.01445507636237,170.0821754043023,174.84422467293462,174.6448120524817,232.0169149809159,201.0031976651279,197.28549109462313,201.4512044391079
ROW,400.7353866785664,327.9148267226355,310.0237979223041,296.54761254563635,285.48349342434574,246.80360086043862,234.03050524911748,223.40326571717648,207.3149941043744,189.08734340496096,186.68577611964497,185.88877585744422,215.07142707619937,195.14243099289013,250.29523119112392
USA,195.9865232718165,195.46769429083142,191.65806521579842,181.0583294349524,201.05273632870345,200.39020467960546,199.06214722698286,195.49159486727729,180.87929053843317,194.8751570245432,209.13931017319624,206.52448894340668,217.88036542287122,207.65798798977036,198.36599252915633
