location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2948.8911402494005,2912.8283719382375,2940.171758017339,2940.448553481137,3049.318947869278,3058.93035018828,3057.576902045024,3080.495578591562,3214.1055353765782,3384.0269929963397,3505.237259822986,3447.253492936763,3503.471858253433,3547.9578712769994
AUT,5075.8100422427115,4105.068323844582,4149.033404105373,4013.3032605349604,4058.2947868595274,4132.836066542734,4048.2709013272565,4089.8928269609582,4218.901968251645,4251.573341858953,3993.671142435664,3864.2505677893673,3806.084547462243,3768.7502125180426
BRA,7937.337135169161,7927.492431896837,7907.303857298945,7809.07001082234,5731.573553309023,4860.975949921293,3576.07854534388,2966.797244434445,2781.5875809691825,2775.601229502483,2769.6138397052473,2733.0159301397766,2717.933878287428,2713.802579248114
CHN,1242.085310911571,1197.2993273637135,1137.2998561854702,1085.4561161780687,1051.7535610891248,1061.0824620809258,1073.8186738351535,1083.5789532613455,1083.054293682016,1054.7633223981054,1034.8971904250418,1016.7546167545067,1006.7317530243556,998.9167823035629
CZE,5360.7417933172155,5733.445364742891,5796.651739067668,5694.239457473774,5572.920801022822,5837.434675780381,5748.876120689843,4892.240075277823,4880.79798518449,4738.890182641084,4693.942443763941,3222.0456269100628,3124.7948725764554,3113.932257887996
DEU,3731.0145744084543,3692.35316752198,3646.0371092194473,3617.0885203071284,3569.6365867058657,3533.988977657596,3442.648887197926,3343.2200687340955,3479.0482574702996,3396.975038455467,3400.871649345023,3424.4565251551567,3390.1272294977957,3423.468456041988
ITA,6437.333208183886,5472.959869743438,5449.833582082898,5657.00131943635,5794.970830277376,5908.346956167351,6265.304156538732,6465.80632735519,5587.427467035018,5297.472322176829,5439.750910674399,5042.7103289572815,4712.077311365169,4523.492074977069
JPN,8330.63950463243,8282.963195814338,8210.786361955224,7123.90480895312,7061.791445717692,6999.633306896118,6941.222157375308,6560.170564589459,5330.537940748678,4344.889072342605,3487.63418107341,3289.0210209371253,3231.8819922871266,3178.6130405859744
KOR,9538.983229566289,7275.080328585481,4877.494762355218,3801.587695004228,3013.0049841869563,2877.8949578798097,2850.955483243124,2827.1614743995897,2805.8189142421274,2774.7222560294163,2685.7019447270295,2655.4767002218277,2628.185262522766,2601.5394293482377
ROE,2369.9621141091807,2308.849908271458,2362.322714009326,2329.8076151611413,2366.1205871256902,2430.8610609326224,2494.6398587717026,2553.688927247212,2599.868021177792,2689.4317334376765,2798.372351174816,2826.592633398941,2934.67581710787,2956.242871983537
ROW,8008.038496090244,6466.629109168743,6157.818356911377,5880.627255499917,5594.6441365841065,5042.465036659844,4511.862543773792,4062.3673930555183,3635.7649045529392,3196.2690540780222,2824.3655454024483,2490.9308890717034,2282.0982409859585,2158.863893948678
TOTAL,3163.6705071160713,2992.6984688762514,2820.1192864765935,2665.8592233563745,2541.4438683507706,2457.4028140990167,2392.546352278989,2319.2100922277773,2254.580003494195,2195.259917995258,2131.7561529073714,2077.1371731073905,2049.805772709408,2014.4152987293426
USA,3590.127998642655,3602.845333856707,3359.0709822679028,3448.6071866614984,3354.1211255171524,3316.049671115703,3293.2897512935006,3283.6509557424383,3324.06895906467,3317.9137048835696,3323.1423510217355,3343.9489191600137,3353.9154208674413,3355.0702458386213
