,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,35195570.8920138,35195570.8920138,35195570.89201386,34631641.51724918,35195283.8920138,34813842.22150404
1,1,35961052.275918916,35961052.275918916,35961052.275918916,35448681.49847621,35978470.3582069,35490069.1865449
2,2,36799289.645120695,36799289.645120695,36799289.645120695,36351073.82529074,36845702.548749804,36233565.66091624
3,3,37892673.84084264,37892673.84084264,37892673.84084264,37457581.30674197,37972043.87550128,37299459.127204835
4,4,39407482.56875468,39407482.56875468,39407482.56875468,38972016.20637126,39514885.47281031,38678692.98787926
5,5,41371657.663291395,41371657.663291395,41371657.663291395,40917628.80679323,41505299.237498626,40431539.4969425
6,6,43728689.56894454,43728689.56894454,43730260.993106656,43163993.867745094,43888544.952664755,42611925.58216426
7,7,46568820.424315564,46568820.424315564,46568820.424315564,45891594.89292205,46643416.65754719,45378272.024169415
8,8,49941692.78116464,49941692.78116464,49941692.78116464,49264215.105266735,50063190.337312885,48721489.45882729
9,9,53907974.325270504,53908918.48587532,53906772.47122667,53231272.01364183,54092231.65912188,52634328.81691239
10,10,58583234.428906456,58582731.69005208,58583728.63134508,57905025.72680273,58716670.96901901,57247493.745888904
11,11,64326807.02705033,63689040.920319796,63688724.13892301,63011297.32503405,63674089.45436123,61656322.14966586
12,12,70216993.49604294,69765735.00013036,69783710.7181982,69087945.30269088,69721104.10019109,67290865.4769771
13,13,74541684.07020074,76666466.36387984,76699048.89526534,75988635.44376485,76682638.76709929,73886295.17091532
