,technology,location,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,AUS,0,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
1,Aluminium_production,AUS,1,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
2,Aluminium_production,AUS,2,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
3,Aluminium_production,AUS,3,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
4,Aluminium_production,AUS,4,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
5,Aluminium_production,AUS,5,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
6,Aluminium_production,AUS,6,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
7,Aluminium_production,AUS,7,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
8,Aluminium_production,AUS,8,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
9,Aluminium_production,AUS,9,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
10,Aluminium_production,AUS,10,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
11,Aluminium_production,AUS,11,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
12,Aluminium_production,AUS,12,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
13,Aluminium_production,AUS,13,96868.08,96868.08,96868.08,96868.08,96868.08,96868.08
14,Aluminium_production,AUT,0,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
15,Aluminium_production,AUT,1,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
16,Aluminium_production,AUT,2,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
17,Aluminium_production,AUT,3,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
18,Aluminium_production,AUT,4,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
19,Aluminium_production,AUT,5,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
20,Aluminium_production,AUT,6,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
21,Aluminium_production,AUT,7,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
22,Aluminium_production,AUT,8,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
23,Aluminium_production,AUT,9,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
24,Aluminium_production,AUT,10,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
25,Aluminium_production,AUT,11,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
26,Aluminium_production,AUT,12,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
27,Aluminium_production,AUT,13,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048,33669.48048
28,Aluminium_production,BRA,0,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
29,Aluminium_production,BRA,1,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
30,Aluminium_production,BRA,2,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
31,Aluminium_production,BRA,3,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
32,Aluminium_production,BRA,4,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
33,Aluminium_production,BRA,5,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
34,Aluminium_production,BRA,6,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
35,Aluminium_production,BRA,7,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
36,Aluminium_production,BRA,8,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
37,Aluminium_production,BRA,9,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
38,Aluminium_production,BRA,10,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
39,Aluminium_production,BRA,11,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
40,Aluminium_production,BRA,12,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
41,Aluminium_production,BRA,13,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999,54078.38831999999
42,Aluminium_production,CHN,0,448595.29008,448595.29008,448595.29008,448595.29008,448595.29008,448595.29008
43,Aluminium_production,CHN,1,509003.2435851883,509003.2435851883,509003.2435851883,509003.2435851883,509003.2435851883,509003.2435851883
44,Aluminium_production,CHN,2,576314.2232934101,576314.2232934101,576314.2232934101,576314.2232934101,576314.22329341,576314.2232934101
45,Aluminium_production,CHN,3,651483.9952008586,651483.9952008586,651483.9952008586,651483.9952008586,651483.9952008586,651483.9952008585
46,Aluminium_production,CHN,4,735614.6372969553,735614.6372969553,735614.6372969553,735614.6372969553,735614.6372969553,735614.6372969553
47,Aluminium_production,CHN,5,829978.2068129524,829978.2068129524,829978.2068129524,829978.2068129524,829978.2068129524,829978.2068129525
48,Aluminium_production,CHN,6,936044.1979027016,936044.1979027016,936044.1979027016,936044.1979027016,936044.1979027016,936044.1979027016
49,Aluminium_production,CHN,7,1055511.6553906193,1055511.6553906193,1055511.6553906193,1055511.6553906193,1055511.6553906195,1055511.6553906195
50,Aluminium_production,CHN,8,1190346.4692141362,1190346.469214136,1190346.4692141362,1190346.469214136,1190346.4692141362,1190346.4692141362
51,Aluminium_production,CHN,9,1342825.0955504423,1342825.0955504423,1342825.0955504423,1342825.0955504423,1342825.0955504423,1342825.0955504423
52,Aluminium_production,CHN,10,1515585.3276224418,1515585.3276224416,1515585.3276224416,1515585.3276224416,1515585.3276224416,1515585.327622442
53,Aluminium_production,CHN,11,1711685.7425285024,1711685.7425285026,1711685.7425285024,1711685.7425285024,1711685.7425285026,1711685.7425285026
54,Aluminium_production,CHN,12,1901157.0981599996,1934674.886466273,1934674.886466273,1934674.886466273,1934674.8864662729,1934674.886466273
55,Aluminium_production,CHN,13,2057889.500928,2188672.257512674,2188672.257512674,2188672.257512674,2188672.2575126737,2188672.257512674
56,Aluminium_production,CZE,0,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995
57,Aluminium_production,CZE,1,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995
58,Aluminium_production,CZE,2,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995
59,Aluminium_production,CZE,3,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995
60,Aluminium_production,CZE,4,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995
61,Aluminium_production,CZE,5,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995
62,Aluminium_production,CZE,6,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995,4114.3967999999995
