location,time_operation,lcohp,scenario
AUS,0,144.18337182487005,DemandMet
AUS,1,147.29556892398705,DemandMet
AUS,2,147.4713475959688,DemandMet
AUS,3,148.11687559039842,DemandMet
AUS,4,148.47172318950976,DemandMet
AUS,5,146.3994106062494,DemandMet
AUS,6,150.1378362677942,DemandMet
AUS,7,178.46430357657593,DemandMet
AUS,8,161.62114071383326,DemandMet
AUS,9,154.3470153434642,DemandMet
AUS,10,167.51937404193367,DemandMet
AUS,11,146.61887940872228,DemandMet
AUS,12,144.13528773391192,DemandMet
AUS,13,141.5892147090607,DemandMet
AUT,0,199.9776196408259,DemandMet
AUT,1,185.85662326209874,DemandMet
AUT,2,184.68764482192307,DemandMet
AUT,3,464.5746576008209,DemandMet
AUT,4,467.3964691697736,DemandMet
AUT,5,472.2359686224729,DemandMet
AUT,6,462.5974476127753,DemandMet
AUT,7,445.19845240772077,DemandMet
AUT,8,256.9414360693948,DemandMet
AUT,9,219.10268909916155,DemandMet
AUT,10,233.01678102004018,DemandMet
AUT,11,194.24216671525815,DemandMet
AUT,12,193.98371168353796,DemandMet
AUT,13,193.52937290920116,DemandMet
BRA,0,37.67583088155,DemandMet
BRA,1,52.42583088155,DemandMet
BRA,2,258.9664294150268,DemandMet
BRA,3,173.70720830374648,DemandMet
BRA,4,146.05575230374663,DemandMet
BRA,5,145.0017488999815,DemandMet
BRA,6,146.71259980097278,DemandMet
BRA,7,146.8992165650282,DemandMet
BRA,8,146.8992165650282,DemandMet
BRA,9,146.8992165650282,DemandMet
BRA,10,282.45954567199476,DemandMet
BRA,11,146.87992632826845,DemandMet
BRA,12,166.73875661554538,DemandMet
BRA,13,147.55412760324097,DemandMet
CHN,0,98.62337536816105,DemandMet
CHN,1,100.33032626672343,DemandMet
CHN,2,99.96574698196271,DemandMet
CHN,3,99.91238941250865,DemandMet
CHN,4,105.4781821145454,DemandMet
CHN,5,106.91268775535043,DemandMet
CHN,6,105.51489750453675,DemandMet
CHN,7,103.95273326597139,DemandMet
CHN,8,101.2409500555334,DemandMet
CHN,9,100.84016398357157,DemandMet
CHN,10,100.82213546662376,DemandMet
CHN,11,96.40790709539309,DemandMet
CHN,12,96.3089108651049,DemandMet
CHN,13,96.56400001875852,DemandMet
CZE,0,297.8652485213465,DemandMet
CZE,1,298.93772907076,DemandMet
CZE,2,299.65598606536105,DemandMet
CZE,3,295.1089547713184,DemandMet
CZE,4,266.7748738638447,DemandMet
CZE,5,257.8796233080033,DemandMet
CZE,6,249.91003566529102,DemandMet
CZE,7,243.2024007474912,DemandMet
CZE,8,234.39351825155114,DemandMet
CZE,9,248.80067028006408,DemandMet
CZE,10,323.5548298983433,DemandMet
CZE,11,237.53983442728114,DemandMet
CZE,12,233.1091600260042,DemandMet
CZE,13,223.51263033604462,DemandMet
DEU,0,143.8641542613028,DemandMet
DEU,1,156.15409818242202,DemandMet
DEU,2,200.04111535130286,DemandMet
DEU,3,200.76361132117637,DemandMet
DEU,4,199.88618236771288,DemandMet
DEU,5,200.04603434378447,DemandMet
DEU,6,194.283579241778,DemandMet
DEU,7,231.15823597688802,DemandMet
DEU,8,272.89833919981385,DemandMet
DEU,9,198.25131582778997,DemandMet
DEU,10,179.21728354322983,DemandMet
DEU,11,172.1018268078003,DemandMet
DEU,12,172.09805591278425,DemandMet
DEU,13,172.62697323542653,DemandMet
ITA,0,184.99088943322062,DemandMet
ITA,1,147.59649863805308,DemandMet
ITA,2,146.80808896816993,DemandMet
ITA,3,152.44712959893067,DemandMet
ITA,4,164.84594835686062,DemandMet
ITA,5,166.825827824262,DemandMet
ITA,6,171.01678862501936,DemandMet
ITA,7,292.8400277494337,DemandMet
ITA,8,230.9519901232011,DemandMet
ITA,9,195.33419778219618,DemandMet
ITA,10,210.43691075925994,DemandMet
ITA,11,233.89057697348744,DemandMet
ITA,12,217.47907260266084,DemandMet
ITA,13,220.79238911508094,DemandMet
JPN,0,195.37040549159045,DemandMet
JPN,1,195.46385602638827,DemandMet
JPN,2,195.55142831162217,DemandMet
JPN,3,195.63346448181974,DemandMet
JPN,4,197.2456886293229,DemandMet
JPN,5,200.1571199875343,DemandMet
JPN,6,200.17984477059719,DemandMet
JPN,7,205.79657065174257,DemandMet
JPN,8,206.71878146842425,DemandMet
JPN,9,206.76897148126835,DemandMet
JPN,10,231.83126189354488,DemandMet
JPN,11,194.94337292484815,DemandMet
JPN,12,194.98440258029902,DemandMet
JPN,13,198.59513809905792,DemandMet
KOR,0,259.03484370884223,DemandMet
KOR,1,241.0972629834538,DemandMet
KOR,2,237.06044295219544,DemandMet
KOR,3,225.6030750545809,DemandMet
KOR,4,225.60512057119703,DemandMet
KOR,5,226.64938946372726,DemandMet
KOR,6,226.63648516036216,DemandMet
KOR,7,230.24645760150273,DemandMet
KOR,8,228.6948085296279,DemandMet
KOR,9,250.56733641110407,DemandMet
KOR,10,216.86114716749879,DemandMet
KOR,11,214.1971392365487,DemandMet
KOR,12,211.35494999525633,DemandMet
KOR,13,203.99133048338766,DemandMet
ROE,0,186.5988075621608,DemandMet
ROE,1,186.5992752229898,DemandMet
ROE,2,182.0445719374768,DemandMet
ROE,3,179.8499270280351,DemandMet
ROE,4,179.16170016043145,DemandMet
ROE,5,180.33046064218152,DemandMet
ROE,6,181.60636194633673,DemandMet
ROE,7,199.8051929355869,DemandMet
ROE,8,204.75986732393312,DemandMet
ROE,9,213.48874134345866,DemandMet
ROE,10,218.95500985702708,DemandMet
ROE,11,267.959812785334,DemandMet
ROE,12,238.27251952377668,DemandMet
ROE,13,246.85299911278182,DemandMet
ROW,0,155.52978917768706,DemandMet
ROW,1,154.973763538785,DemandMet
ROW,2,154.973763538785,DemandMet
ROW,3,154.973763538785,DemandMet
ROW,4,154.973763538785,DemandMet
ROW,5,150.60152439209747,DemandMet
ROW,6,156.57368254806048,DemandMet
ROW,7,156.57368254806048,DemandMet
ROW,8,158.88416101412653,DemandMet
ROW,9,165.85643570552764,DemandMet
