location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
AUS,0,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,1,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,2,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,3,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,4,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,5,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,6,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,7,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,8,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,9,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,10,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,11,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,12,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,13,Aluminium,1614.468,4.0375,6.518414549999999,DemandMet
AUS,0,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,1,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,2,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,3,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,4,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,5,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,6,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,7,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,8,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,9,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,10,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,11,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,12,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,13,Bauxite,30.66,16.15,0.49515899999999996,DemandMet
AUS,0,Compressor,28478.72475497496,1.0,28.47872475497496,DemandMet
AUS,1,Compressor,31377.251172109085,1.0,31.377251172109084,DemandMet
AUS,2,Compressor,31557.599028920988,1.0,31.557599028920986,DemandMet
AUS,3,Compressor,32201.274259218753,1.0,32.201274259218756,DemandMet
AUS,4,Compressor,32530.697259678716,1.0,32.53069725967872,DemandMet
AUS,5,Compressor,32851.01379921124,1.0,32.851013799211245,DemandMet
AUS,6,Compressor,34079.72478824033,1.0,34.079724788240334,DemandMet
AUS,7,Compressor,34736.75569963011,1.0,34.73675569963011,DemandMet
AUS,8,Compressor,35386.250442229735,1.0,35.38625044222974,DemandMet
AUS,9,Compressor,36489.473921072,1.0,36.489473921072,DemandMet
AUS,10,Compressor,37782.31540625307,1.0,37.78231540625307,DemandMet
AUS,11,Compressor,28249.353230700006,1.0,28.249353230700006,DemandMet
AUS,12,Compressor,28806.67028156268,1.0,28.80667028156268,DemandMet
AUS,13,Compressor,29352.034463080887,1.0,29.352034463080887,DemandMet
AUS,0,Copper_ore,2770.6829077200136,5.51666667,15.284934050157686,DemandMet
AUS,1,Copper_ore,2783.4198938235063,5.51666667,15.355199756871077,DemandMet
AUS,2,Copper_ore,2796.028734381685,5.51666667,15.424758527325725,DemandMet
AUS,3,Copper_ore,2807.8389115110763,5.51666667,15.489911337862234,DemandMet
AUS,4,Copper_ore,2818.6389430558374,5.51666667,15.549491511920166,DemandMet
AUS,5,Copper_ore,2386.230808904323,5.51666667,13.164039970409618,DemandMet
AUS,6,Copper_ore,2834.2785211816135,5.51666667,15.635769851299498,DemandMet
AUS,7,Copper_ore,2843.100472519288,5.51666667,15.684437616208408,DemandMet
AUS,8,Copper_ore,2851.247848860674,5.51666667,15.729383975718878,DemandMet
AUS,9,Copper_ore,2858.9779880639257,5.51666667,15.772028577015917,DemandMet
AUS,10,Copper_ore,2866.3156668512192,5.51666667,15.812508105016946,DemandMet
AUS,11,Copper_ore,2961.7971242934236,5.51666667,16.33924747889138,DemandMet
AUS,12,Copper_ore,2972.9191143882617,5.51666667,16.400603790951642,DemandMet
AUS,13,Copper_ore,3056.7202245772055,5.51666667,16.862906582439987,DemandMet
AUS,0,HEX,30158.02572,1.0,30.15802572,DemandMet
AUS,1,HEX,30158.02572,1.0,30.15802572,DemandMet
