location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,144.18337182487005,147.29556892398705,147.4713475959688,148.11687559039842,148.47172318950976,146.3994106062494,150.1378362677942,178.46430357657593,161.62114071383326,154.3470153434642,167.51937404193367,146.61887940872228,144.13528773391192,141.5892147090607,151.88366782330567
AUT,199.9776196408259,185.85662326209874,184.68764482192307,464.5746576008209,467.3964691697736,472.2359686224729,462.5974476127753,445.19845240772077,256.9414360693948,219.10268909916155,233.01678102004018,194.24216671525815,193.98371168353796,193.52937290920116,298.0957886167861
BRA,37.67583088155,52.42583088155,258.9664294150268,173.70720830374648,146.05575230374663,145.0017488999815,146.71259980097278,146.8992165650282,146.8992165650282,146.8992165650282,282.45954567199476,146.87992632826845,166.73875661554538,147.55412760324097,153.20538617147918
CHN,98.62337536816105,100.33032626672343,99.96574698196271,99.91238941250865,105.4781821145454,106.91268775535043,105.51489750453675,103.95273326597139,101.2409500555334,100.84016398357157,100.82213546662376,96.40790709539309,96.3089108651049,96.56400001875852,100.91960043962465
CZE,297.8652485213465,298.93772907076,299.65598606536105,295.1089547713184,266.7748738638447,257.8796233080033,249.91003566529102,243.2024007474912,234.39351825155114,248.80067028006408,323.5548298983433,237.53983442728114,233.1091600260042,223.51263033604462,265.01753537376464
DEU,143.8641542613028,156.15409818242202,200.04111535130286,200.76361132117637,199.88618236771288,200.04603434378447,194.283579241778,231.15823597688802,272.89833919981385,198.25131582778997,179.21728354322983,172.1018268078003,172.09805591278425,172.62697323542653,192.38505754094373
ITA,184.99088943322062,147.59649863805308,146.80808896816993,152.44712959893067,164.84594835686062,166.825827824262,171.01678862501936,292.8400277494337,230.9519901232011,195.33419778219618,210.43691075925994,233.89057697348744,217.47907260266084,220.79238911508094,195.44688118213116
JPN,195.37040549159045,195.46385602638827,195.55142831162217,195.63346448181974,197.2456886293229,200.1571199875343,200.17984477059719,205.79657065174257,206.71878146842425,206.76897148126835,231.83126189354488,194.94337292484815,194.98440258029902,198.59513809905792,201.37430762843286
KOR,259.03484370884223,241.0972629834538,237.06044295219544,225.6030750545809,225.60512057119703,226.64938946372726,226.63648516036216,230.24645760150273,228.6948085296279,250.56733641110407,216.86114716749879,214.1971392365487,211.35494999525633,203.99133048338766,228.39998495137752
ROE,186.5988075621608,186.5992752229898,182.0445719374768,179.8499270280351,179.16170016043145,180.33046064218152,181.60636194633673,199.8051929355869,204.75986732393312,213.48874134345866,218.95500985702708,267.959812785334,238.27251952377668,246.85299911278182,204.73466052725075
ROW,155.52978917768706,154.973763538785,154.973763538785,154.973763538785,154.973763538785,150.60152439209747,156.57368254806048,156.57368254806048,158.88416101412653,165.85643570552764,164.74512166751106,237.01176906209952,168.9872594661784,164.91228679300016,164.25505475210633
USA,167.76128838228544,167.35737959323285,166.46602563481053,170.98536336677486,182.62988675399725,187.49284046837874,194.22203752245704,189.41906579193432,177.5223712637876,179.37114907407147,180.44659271455973,155.15883008105862,151.50900391738486,156.0808138941735,173.31590346135047
