location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2734.131050701731,2749.9626277627017,2765.1224910481055,2780.853084612326,2797.540802249633,2815.176348912149,2833.5869942498543,2952.1916593052383,3012.2723887559187,3071.03018572187,3201.503092343818,2780.635260503869,2738.0204234530765,2647.041495070408
AUT,4671.4908427434475,4790.345336676234,4766.052914889938,4467.739360541121,4438.837605958211,4165.868516780673,4171.894646411467,4014.4683316848696,4092.5797715399467,4012.785357782263,3928.8431849721746,4025.6049911014566,4091.485051265818,4269.675181796151
BRA,3722.118951586244,3786.40358114491,3096.92565679819,2960.2492292931497,2960.2492292931497,2913.3548628178214,2767.2559400293976,2747.621364136224,2747.621364136224,2747.621364136224,2578.7431646116966,2747.618518344374,2692.4474119138727,2692.447656328152
CHN,996.0272141347168,978.5169454041805,963.8625248316756,955.8668176949267,952.6682077765345,952.7912228504338,953.9169466552527,947.0029295586015,934.2119248332064,916.828930103479,909.9328544240224,889.9444785468512,875.845338617958,849.4128729825177
CZE,5926.7971517194455,5575.833860267765,5383.268566830929,5357.294396913609,4919.978787701609,4787.225012040927,4698.175532353014,4480.56784647186,4245.7883531184825,4016.521236399922,3528.9026966713986,3366.485255410319,3266.7626715457204,3191.836416779646
DEU,5486.939625787409,3997.4466479818316,3259.0932013064516,3171.0429045536225,3182.6212936952556,3194.284544745899,3260.5245706199003,3429.6915823025106,3387.336504819497,3281.0614598455636,3307.1520097316843,3453.272620340401,3533.0347151231776,3634.0263718048627
ITA,8890.38089318935,6828.192660855743,6468.828291729962,6480.3429350028,5455.302180224951,5572.231603166061,5892.833782046351,5625.263540936942,4654.113442041653,4731.609678106668,4926.203478087177,5037.082417741477,5346.083861522923,5701.355024527857
JPN,4048.6927368302586,3962.3291617989066,3881.3303181144183,3805.3902359695226,3734.217178913897,3667.5328366151157,3604.501546809275,3525.75086486435,3470.916093478182,3419.5948450952424,3238.5549973345096,3326.6817427893334,3284.65977819724,3245.3634608068737
KOR,3162.9377032625703,3081.5482898833748,3028.584879112781,2902.851576656476,2877.345138500248,2858.8123872436195,2858.8203419567317,2841.7246907804874,2823.125933098182,2673.672901016856,2632.815584549469,2763.6162440378403,2733.40905005707,2633.0678824094425
ROE,2031.8145174467884,2085.5800631123984,2123.1004999414617,2175.3317562686484,2225.8975875294714,2312.292471629443,2408.432572562896,2475.862862973448,2526.903623931077,2646.1080338009397,2735.1548062558563,2681.7616246574757,2687.3710491504016,2651.4111035310916
ROW,3009.301597552871,3174.6371155094494,3326.043136504516,3497.3156969867164,3678.245934071472,3845.5765423699795,3840.5863941949847,3573.8299748851227,3369.512950324941,3281.966085938792,2943.3728546560665,2410.04113516784,2226.342121260127,2089.1394900397227
TOTAL,2106.7930543708435,2076.038216682468,2048.743297819901,2027.6024180488764,2009.888050671482,2000.1769070530452,2004.813191831592,1993.1098301949812,1985.7593841940786,1986.59637606526,1980.8182352043113,1945.7589372832535,1925.9803823104198,1903.2912602013294
USA,2666.530029892248,2636.3186909462306,2671.7365328689048,2712.8784736986618,2687.786581481353,2675.469496783993,2703.7062547100013,2741.466006034552,2732.539313919721,2748.249403851383,2771.4819981496416,2718.520066697098,2778.9381712262857,2796.3951044138375
