location,time_operation,lcohp,scenario
AUS,0,144.18337182487005,FastDiffusion
AUS,1,147.29556892398705,FastDiffusion
AUS,2,147.4713475959688,FastDiffusion
AUS,3,148.11687559039842,FastDiffusion
AUS,4,148.47172318950976,FastDiffusion
AUS,5,146.3994106062494,FastDiffusion
AUS,6,150.1378362677942,FastDiffusion
AUS,7,178.46430357657593,FastDiffusion
AUS,8,161.62114071383326,FastDiffusion
AUS,9,154.3470153434642,FastDiffusion
AUS,10,166.75145670416777,FastDiffusion
AUS,11,142.26542207357758,FastDiffusion
AUS,12,144.14320646037015,FastDiffusion
AUS,13,142.85575147272112,FastDiffusion
AUT,0,196.65901284598587,FastDiffusion
AUT,1,189.60871999649046,FastDiffusion
AUT,2,190.61241185475959,FastDiffusion
AUT,3,463.66035021099384,FastDiffusion
AUT,4,471.86035548262487,FastDiffusion
AUT,5,468.43902400231883,FastDiffusion
AUT,6,461.86748308111703,FastDiffusion
AUT,7,445.86050848900487,FastDiffusion
AUT,8,259.0714555830032,FastDiffusion
AUT,9,216.59947975135728,FastDiffusion
AUT,10,264.4021113688358,FastDiffusion
AUT,11,208.8805085421306,FastDiffusion
AUT,12,196.67615427680056,FastDiffusion
AUT,13,192.39389617182874,FastDiffusion
BRA,0,37.67583088155,FastDiffusion
BRA,1,52.42583088155,FastDiffusion
BRA,2,258.9664294150268,FastDiffusion
BRA,3,173.70720830374648,FastDiffusion
BRA,4,146.05575230374663,FastDiffusion
BRA,5,145.0017488999815,FastDiffusion
BRA,6,146.71259980097278,FastDiffusion
BRA,7,146.8992165650282,FastDiffusion
BRA,8,146.8992165650282,FastDiffusion
BRA,9,146.8992165650282,FastDiffusion
BRA,10,284.16331561687184,FastDiffusion
BRA,11,146.87992632826845,FastDiffusion
BRA,12,166.73875661554538,FastDiffusion
BRA,13,147.55412760324097,FastDiffusion
CHN,0,98.62337536816105,FastDiffusion
CHN,1,100.33032626672343,FastDiffusion
CHN,2,99.9657469819627,FastDiffusion
CHN,3,99.91238941250865,FastDiffusion
CHN,4,105.4781821145454,FastDiffusion
CHN,5,106.91268775535043,FastDiffusion
CHN,6,105.51489750453675,FastDiffusion
CHN,7,103.95273326597139,FastDiffusion
CHN,8,101.2409500555334,FastDiffusion
CHN,9,100.84016398357157,FastDiffusion
CHN,10,100.82213546662376,FastDiffusion
CHN,11,96.56808409795633,FastDiffusion
CHN,12,96.3089108651049,FastDiffusion
CHN,13,96.56400001875852,FastDiffusion
CZE,0,297.53643034945657,FastDiffusion
CZE,1,297.78866450627135,FastDiffusion
CZE,2,299.90385633784854,FastDiffusion
CZE,3,293.9053652495429,FastDiffusion
CZE,4,266.08820638528607,FastDiffusion
CZE,5,257.9218918525997,FastDiffusion
CZE,6,249.58641647221336,FastDiffusion
CZE,7,243.5260199405688,FastDiffusion
CZE,8,234.5039610892934,FastDiffusion
CZE,9,248.5588769284889,FastDiffusion
CZE,10,263.07934491767674,FastDiffusion
CZE,11,311.2707191522073,FastDiffusion
CZE,12,256.9957493580148,FastDiffusion
CZE,13,218.45467828082135,FastDiffusion
DEU,0,137.96096252707767,FastDiffusion
DEU,1,156.60215483090153,FastDiffusion
DEU,2,200.07863059310802,FastDiffusion
DEU,3,200.96009593419794,FastDiffusion
DEU,4,200.0460343437845,FastDiffusion
DEU,5,200.76361132117637,FastDiffusion
DEU,6,193.5233456617117,FastDiffusion
DEU,7,231.7171462369572,FastDiffusion
DEU,8,273.0069431266496,FastDiffusion
DEU,9,198.25131582778997,FastDiffusion
DEU,10,178.6600931387911,FastDiffusion
DEU,11,171.83747924489393,FastDiffusion
DEU,12,170.86933672872917,FastDiffusion
DEU,13,170.93199698297482,FastDiffusion
ITA,0,184.99088943322062,FastDiffusion
ITA,1,147.59649863805308,FastDiffusion
ITA,2,146.80808896816993,FastDiffusion
ITA,3,152.44712959893067,FastDiffusion
ITA,4,164.84594835686062,FastDiffusion
ITA,5,166.825827824262,FastDiffusion
ITA,6,171.01678862501936,FastDiffusion
ITA,7,292.8400277494337,FastDiffusion
ITA,8,230.95199012320103,FastDiffusion
ITA,9,195.33419778219618,FastDiffusion
ITA,10,210.58241713884797,FastDiffusion
ITA,11,212.95687033251303,FastDiffusion
ITA,12,207.07336456215162,FastDiffusion
ITA,13,236.47416962438774,FastDiffusion
JPN,0,195.37040549159045,FastDiffusion
JPN,1,195.46385602638827,FastDiffusion
JPN,2,195.55142831162217,FastDiffusion
JPN,3,195.63346448181974,FastDiffusion
JPN,4,197.2456886293229,FastDiffusion
JPN,5,200.1571199875343,FastDiffusion
JPN,6,200.17984477059719,FastDiffusion
JPN,7,205.79657065174257,FastDiffusion
JPN,8,206.71878146842425,FastDiffusion
JPN,9,206.76897148126835,FastDiffusion
JPN,10,231.0153842178326,FastDiffusion
JPN,11,194.99372273211833,FastDiffusion
JPN,12,194.99372273211833,FastDiffusion
JPN,13,204.4674552745666,FastDiffusion
KOR,0,259.03484370884223,FastDiffusion
KOR,1,241.0972629834538,FastDiffusion
KOR,2,237.06044295219544,FastDiffusion
KOR,3,225.6030750545809,FastDiffusion
KOR,4,225.60512057119703,FastDiffusion
KOR,5,226.64938946372726,FastDiffusion
KOR,6,226.63648516036216,FastDiffusion
KOR,7,230.24645760150273,FastDiffusion
KOR,8,228.6948085296279,FastDiffusion
KOR,9,250.5673364111041,FastDiffusion
KOR,10,216.86114716749876,FastDiffusion
KOR,11,211.74706819812408,FastDiffusion
KOR,12,211.35494999525633,FastDiffusion
KOR,13,203.99133048338766,FastDiffusion
ROE,0,186.5360430462797,FastDiffusion
ROE,1,186.5992752229898,FastDiffusion
ROE,2,182.0445719374768,FastDiffusion
ROE,3,179.8499270280351,FastDiffusion
ROE,4,179.16170016043145,FastDiffusion
ROE,5,180.33046064218152,FastDiffusion
ROE,6,181.60636194633673,FastDiffusion
ROE,7,199.8051929355869,FastDiffusion
ROE,8,204.75986732393312,FastDiffusion
ROE,9,213.48874134345866,FastDiffusion
ROE,10,225.46367689655398,FastDiffusion
ROE,11,254.40463152823511,FastDiffusion
ROE,12,240.64871694697865,FastDiffusion
ROE,13,241.27313522118337,FastDiffusion
ROW,0,155.52978917768706,FastDiffusion
ROW,1,154.973763538785,FastDiffusion
ROW,2,154.973763538785,FastDiffusion
ROW,3,154.973763538785,FastDiffusion
ROW,4,154.973763538785,FastDiffusion
ROW,5,150.60152439209747,FastDiffusion
ROW,6,156.57368254806048,FastDiffusion
ROW,7,156.57368254806048,FastDiffusion
ROW,8,158.88416101412653,FastDiffusion
ROW,9,165.85643570552764,FastDiffusion
ROW,10,164.69449249612012,FastDiffusion
ROW,11,224.4872105349569,FastDiffusion
ROW,12,194.45937584299037,FastDiffusion
ROW,13,165.17017634061278,FastDiffusion
USA,0,167.76128838228544,FastDiffusion
USA,1,167.35737959323285,FastDiffusion
