location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,144.18337182487005,147.29556892398705,147.4713475959688,148.11687559039842,148.47172318950976,146.3994106062494,150.1378362677942,178.46430357657593,161.62114071383326,154.3470153434642,166.75145670416777,142.26542207357758,144.14320646037015,142.85575147272112,151.6088878816777
AUT,196.65901284598587,189.60871999649046,190.61241185475959,463.66035021099384,471.86035548262487,468.43902400231883,461.86748308111703,445.86050848900487,259.0714555830032,216.59947975135728,264.4021113688358,208.8805085421306,196.67615427680056,192.39389617182874,301.8993908326608
BRA,37.67583088155,52.42583088155,258.9664294150268,173.70720830374648,146.05575230374663,145.0017488999815,146.71259980097278,146.8992165650282,146.8992165650282,146.8992165650282,284.16331561687184,146.87992632826845,166.73875661554538,147.55412760324097,153.32708402468467
CHN,98.62337536816105,100.33032626672343,99.9657469819627,99.91238941250865,105.4781821145454,106.91268775535043,105.51489750453675,103.95273326597139,101.2409500555334,100.84016398357157,100.82213546662376,96.56808409795633,96.3089108651049,96.56400001875852,100.93104165409343
CZE,297.53643034945657,297.78866450627135,299.90385633784854,293.9053652495429,266.08820638528607,257.9218918525997,249.58641647221336,243.5260199405688,234.5039610892934,248.5588769284889,263.07934491767674,311.2707191522073,256.9957493580148,218.45467828082135,267.080012915735
DEU,137.96096252707767,156.60215483090153,200.07863059310802,200.96009593419794,200.0460343437845,200.76361132117637,193.5233456617117,231.7171462369572,273.0069431266496,198.25131582778997,178.6600931387911,171.83747924489393,170.86933672872917,170.93199698297482,191.8006533213388
ITA,184.99088943322062,147.59649863805308,146.80808896816993,152.44712959893067,164.84594835686062,166.825827824262,171.01678862501936,292.8400277494337,230.95199012320103,195.33419778219618,210.58241713884797,212.95687033251303,207.07336456215162,236.47416962438774,194.3388720540891
JPN,195.37040549159045,195.46385602638827,195.55142831162217,195.63346448181974,197.2456886293229,200.1571199875343,200.17984477059719,205.79657065174257,206.71878146842425,206.76897148126835,231.0153842178326,194.99372273211833,194.99372273211833,204.4674552745666,201.7397440183533
KOR,259.03484370884223,241.0972629834538,237.06044295219544,225.6030750545809,225.60512057119703,226.64938946372726,226.63648516036216,230.24645760150273,228.6948085296279,250.5673364111041,216.86114716749876,211.74706819812408,211.35494999525633,203.99133048338766,228.22497987720433
ROE,186.5360430462797,186.5992752229898,182.0445719374768,179.8499270280351,179.16170016043145,180.33046064218152,181.60636194633673,199.8051929355869,204.75986732393312,213.48874134345866,225.46367689655398,254.40463152823511,240.64871694697865,241.27313522118337,203.99802158426152
ROW,155.52978917768706,154.973763538785,154.973763538785,154.973763538785,154.973763538785,150.60152439209747,156.57368254806048,156.57368254806048,158.88416101412653,165.85643570552764,164.69449249612012,224.4872105349569,194.45937584299037,165.17017634061278,165.19468462538427
USA,167.76128838228544,167.35737959323285,166.46602563481053,170.98536336676983,182.6298867539835,187.4928404683648,194.22203752245704,189.41906579193432,177.5223712637876,179.37114907407147,180.50763103341004,159.75238554060985,151.51630468231807,156.0578231980905,173.64725373615187
