location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2734.131050701731,2749.9626277627017,2765.1224910481055,2780.853084612326,2797.540802249633,2815.176348912149,2833.5869942498543,2952.1916593052383,3012.2723887559187,3071.03018572187,3177.6692375659104,2611.2876361514773,2738.021242163999,2701.3650811789053
AUT,4631.953410537996,4644.05771131029,4707.301220902507,4328.372717052447,4269.4145601024575,4227.701167023195,4141.925317683057,4042.2233832005068,4031.428466244982,4037.4015897024656,3775.5564818749754,3815.0152410515966,4221.359931988373,4022.2716202262172
BRA,3722.118951586244,3786.40358114491,3096.92565679819,2960.2492292931497,2960.2492292931497,2913.3548628178214,2767.2559400293976,2747.621364136224,2747.621364136224,2747.621364136224,2566.48909285034,2747.618518344374,2692.4474119138727,2692.447656328152
CHN,996.0272141347168,978.5169454041805,963.8625248316754,955.8668176949267,952.6682077765345,952.7912228504338,953.9169466552527,947.0029295586015,934.2119248332064,916.828930103479,911.5084928753221,896.1233876389921,875.4423354220808,849.4128729825177
CZE,5863.780520827358,5471.730018671869,5415.808583058295,5262.489012451634,4867.664088726256,4787.225012040925,4675.338286554901,4501.090782747013,4255.164085654786,4002.5476823430527,3507.62489413462,3173.0897881739115,2986.2069632461507,2851.6272824861676
DEU,5523.19054826222,3984.7569684749524,3271.8079075003584,3182.6212936952543,3194.2845447458976,3171.0429045536225,3284.457746222426,3410.692700118602,3394.842492125664,3281.0614598455645,3288.70349403288,3453.4795253705925,3407.173164364962,3484.9557356253054
ITA,8890.38089318935,6828.192660855743,6468.828291729962,6480.3429350028,5455.302180224951,5572.231603166061,5892.833782046351,5625.263540936942,4654.113442041653,4731.609678106668,4935.281985779089,4352.889859329869,4575.188447627732,4768.8612698811685
JPN,4048.6927368302586,3962.3291617989066,3881.3303181144183,3805.3902359695226,3734.217178913897,3667.5328366151157,3604.501546809275,3525.75086486435,3470.916093478182,3419.5948450952424,3275.1114168635845,3275.1114168635845,3275.1114168635845,3245.3634608068737
KOR,3162.9377032625703,3081.5482898833748,3028.584879112781,2902.851576656476,2877.345138500248,2858.8123872436195,2858.8203419567317,2841.7246907804874,2823.125933098182,2673.672901016856,2632.815584549469,2737.787950482282,2733.40905005707,2633.0678824094425
ROE,2030.8397573449386,2085.5800631123984,2123.1004999414617,2175.3317562686484,2225.8975875294714,2312.292471629443,2408.432572562896,2475.862862973448,2526.903623931077,2646.1080338009397,2752.931368050749,2646.147256143758,2623.0459525059214,2616.4190956898747
ROW,3009.301597552871,3174.6371155094494,3326.043136504516,3497.3156969867164,3678.245934071472,3845.5765423699795,3840.586394194985,3573.8299748851227,3369.512950324941,3281.966085938792,2942.7233008621643,2451.179278148287,2208.8619588881797,2074.9136301371586
TOTAL,2106.2613205037483,2074.788162753309,2048.832358470228,2026.7285162955495,2009.09237609637,2000.1769070530452,2004.813191831592,1993.1098301949812,1985.6875557558074,1986.59637606526,1982.5229066250456,1936.202554114455,1912.6404505664761,1891.196661725723
USA,2666.530029892248,2636.3186909462306,2671.7365328689048,2712.8784736986618,2687.786581481353,2675.469496783993,2703.7062547100013,2741.466006034552,2732.539313919721,2748.249403851383,2772.5113460850125,2775.3479702642853,2779.847937028449,2767.5856294835353
