location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,0,340632.06686355424,393.41267,809981.5977691523,27.4208375,1150613.6646327064,420.8335075,2734.130348764366,2.3778782932189517,0.06969993493092126
AUS,1,348717.3579255753,397.76685000000003,822940.4299878441,28.296425,1171657.7879134193,426.06327500000003,2749.9619344413554,2.359906701757816,0.07113821828038208
AUS,2,357167.0186812135,402.42925,836445.8960927976,29.235496,1193612.9147740111,431.66474600000004,2765.138746757909,2.3418900747926017,0.07264754239409785
AUS,3,366217.42491428496,407.289175,850366.2238804147,30.1963765,1216583.6487946997,437.4855515,2780.8544639323927,2.3220255674056123,0.07413989458472595
AUS,4,375267.8311473565,412.14910000000003,864951.5161500062,31.175531,1240219.3472973628,443.324631,2797.5421634025174,2.3048911853314853,0.07564139045796775
AUS,5,384318.237380428,417.009025,880221.7748699194,32.1736925,1264540.0122503475,449.1827175,2815.2018387714293,2.2903460966870735,0.07715346808141622
AUS,6,394570.1345683661,422.264,896032.1367056539,33.200094,1290602.27127402,455.464094,2833.5982754197526,2.2709071422393747,0.07862402193888184
AUS,7,474185.49091230414,429.818975,912127.8035230717,39.7670525,1386313.2944353758,469.5860275,2952.203032564413,1.923567508926081,0.09252046748285135
AUS,8,514595.4138202423,436.07394999999997,929215.835272468,43.235389,1443811.2490927102,479.30933899999997,3012.274394871973,1.8057211749599082,0.09914691992034838
AUS,9,525448.0564856137,441.52645,966633.3370061917,44.330198,1492081.3934918055,485.856648,3071.032164803898,1.839636335266676,0.10040213445876232
AUS,10,567174.7519484183,451.93647500000003,1032900.3338706694,47.8523675,1600075.0858190877,499.78884250000004,3201.5022140457,1.8211324293303635,0.10588295069567022
AUS,11,717689.3691431858,574.907625,1066404.2740075896,66.7060725,1784093.6431507752,641.6136975000001,2780.63521726915,1.485885565339664,0.11602920121297747
AUS,12,792694.8009089701,609.4949750000001,1080027.2378776872,74.4744125,1872722.0387866572,683.9693875,2738.020257941233,1.3624754907427647,0.1221903634234228
AUS,13,868300.9781521879,644.27985,1054915.2728274798,82.273001,1923216.2509796675,726.552851,2647.042466811086,1.214918904125182,0.12769761618340228
AUT,0,68427.14625839001,36.556157504,479426.734749088,83.082227,547853.881007478,119.638384504,4579.2484015793525,7.006382129962118,2.272728663862144
AUT,1,68967.29168805302,36.7588,479681.5718870391,83.168049,548648.8635750922,119.926849,4574.862661280229,6.955203838606479,2.2625343863238188
AUT,2,69512.14073685303,36.8288,479963.41389227554,86.286343,549475.5546291285,123.115143,4463.102923327056,6.9047422335795625,2.3429040044747587
AUT,3,80712.22779670032,45.55074,481814.07356129965,83.5210625,562526.3013579999,129.0718025,4358.243167464869,5.969530103603424,1.833582999968826
AUT,4,83308.68509922335,47.63498528400001,482402.7519722663,83.6947665125,565711.4370714896,131.3297517965,4307.564960208552,5.790545744392784,1.757002044054625
AUT,5,88123.46963542722,51.499940796000004,483494.37774526275,84.0168774875,571617.8473806899,135.51681828350002,4218.058353354123,5.486556302713816,1.6313975548108899
AUT,6,93756.75525586228,56.021928882,484771.57711393177,87.71374650624999,578528.332369794,143.73567538825,4024.9460045817345,5.170524254929574,1.5657037923667898
AUT,7,100347.69136847783,61.312648470000006,486265.8985471348,88.15468271875,586613.5899156127,149.46733118875,3924.6943479229362,4.845810520558576,1.4377895086669379
AUT,8,163649.15194719384,72.233,485833.07402699965,86.193125,649482.2259741935,158.426125,4099.590430392674,2.9687478868437265,1.1932651973474726
AUT,9,173590.10107810542,75.962474756,486511.7000815247,87.72259438249999,660101.8011596301,163.6850691385,4032.7551231999873,2.8026465625630506,1.1548148564705771
AUT,10,196909.57374758448,84.711074462,488103.8867828527,89.93813010874999,685013.4605304372,174.64920457075,3922.224909148898,2.47882252494511,1.0617045136063616
AUT,11,196909.57374758448,84.711074462,506221.6975563613,89.25979110875,703131.2713039458,173.97086557075,4041.661050528017,2.5708333420358707,1.0536968356928404
AUT,12,196909.57374758448,84.711074462,527419.5153208231,90.63613410875,724329.0890684075,175.34720857075,4130.827601832917,2.678485892193919,1.0699443335405678
AUT,13,196909.57374758448,84.711074462,552220.9446442476,90.07645510875,749130.5183918321,174.78752957075,4285.949462364826,2.8044392872036363,1.0633374169885759
BRA,0,193965.16129199998,180.29999999999998,477140.1165333997,2.0,671105.2778253997,182.29999999999998,3681.3235207098173,2.459926892825362,0.011092623405435386
BRA,1,207448.88179199997,180.79999999999998,477140.1165333997,2.0,684588.9983253996,182.79999999999998,3745.0164022177223,2.3000370617172448,0.011061946902654869
BRA,2,333733.02770360326,257.2848278400001,491546.8296255591,9.198686400000016,825279.8573291623,266.48351424000015,3096.9265009988553,1.4728743900711987,0.03575292984520829
BRA,3,374456.05740510183,281.949,496194.9093847837,12.165,870650.9667898855,294.11400000000003,2960.2499941855385,1.325108512927539,0.04314610089058659
BRA,4,374456.05740510183,281.949,496194.9093847837,12.165,870650.9667898855,294.11400000000003,2960.2499941855385,1.325108512927539,0.04314610089058659
