location,time_operation,lcohp,scenario
AUS,0,138.9957540170163,Recycling
AUS,1,142.17867892540775,Recycling
AUS,2,145.58554593788335,Recycling
AUS,3,148.52722847459177,Recycling
AUS,4,148.8645269654397,Recycling
AUS,5,149.2162494349646,Recycling
AUS,6,150.52029487549717,Recycling
AUS,7,178.83247458662547,Recycling
AUS,8,161.95618645299385,Recycling
AUS,9,154.66942422070554,Recycling
AUS,10,167.75193027414613,Recycling
AUS,11,146.71820786252576,Recycling
AUS,12,144.21915179108095,Recycling
AUS,13,141.29723009846307,Recycling
AUT,0,182.55617860749467,Recycling
AUT,1,175.20343376139914,Recycling
AUT,2,174.8704804296248,Recycling
AUT,3,458.203368074353,Recycling
AUT,4,466.33345579994767,Recycling
AUT,5,466.5970953497975,Recycling
AUT,6,456.57105881742353,Recycling
AUT,7,439.7987210638304,Recycling
AUT,8,260.07120030797836,Recycling
AUT,9,219.94813069061854,Recycling
AUT,10,236.10272543251543,Recycling
AUT,11,190.69511170993533,Recycling
AUT,12,195.4009263242585,Recycling
AUT,13,189.98231790387834,Recycling
BRA,0,37.755449219984776,Recycling
BRA,1,52.50544921998477,Recycling
BRA,2,256.94424816929643,Recycling
BRA,3,174.15440920231697,Recycling
BRA,4,146.5029532023171,Recycling
BRA,5,146.68649756479454,Recycling
BRA,6,147.1314806673916,Recycling
BRA,7,147.05904144020087,Recycling
BRA,8,147.05904144020087,Recycling
BRA,9,147.05904144020087,Recycling
BRA,10,282.578796501756,Recycling
BRA,11,147.05904144020087,Recycling
BRA,12,166.8805054991579,Recycling
BRA,13,147.2138388324912,Recycling
CHN,0,103.92344456656498,Recycling
CHN,1,108.00709796186976,Recycling
CHN,2,108.6667179584865,Recycling
CHN,3,104.30190463598349,Recycling
CHN,4,104.15614263473424,Recycling
CHN,5,103.06321632998598,Recycling
CHN,6,103.40494594163114,Recycling
CHN,7,103.27374322255267,Recycling
CHN,8,100.5231740348309,Recycling
CHN,9,100.25806873531556,Recycling
CHN,10,100.44252734293265,Recycling
CHN,11,96.21739629077084,Recycling
CHN,12,96.27444468932622,Recycling
CHN,13,96.55639330329713,Recycling
CZE,0,282.7887088769608,Recycling
CZE,1,283.00319296675394,Recycling
CZE,2,283.5595969442241,Recycling
CZE,3,302.13638924562235,Recycling
CZE,4,270.42385027851606,Recycling
CZE,5,262.21858945754224,Recycling
CZE,6,253.74819859221296,Recycling
CZE,7,247.80327920161463,Recycling
CZE,8,237.7745123803781,Recycling
CZE,9,251.6439301810894,Recycling
CZE,10,326.36492753353235,Recycling
CZE,11,240.08583473506647,Recycling
CZE,12,235.69950950844964,Recycling
CZE,13,226.212032556502,Recycling
DEU,0,124.61608049412825,Recycling
DEU,1,137.4451708781751,Recycling
DEU,2,183.63051031749097,Recycling
DEU,3,207.32685942601108,Recycling
DEU,4,207.32685942601108,Recycling
DEU,5,207.32685942601108,Recycling
DEU,6,200.86320618424492,Recycling
DEU,7,238.21716598913127,Recycling
DEU,8,279.17639348919954,Recycling
DEU,9,203.98137268859156,Recycling
DEU,10,184.94064755141594,Recycling
DEU,11,177.82519081598642,Recycling
DEU,12,177.7213136731332,Recycling
DEU,13,179.41584963389062,Recycling
ITA,0,179.47526105319432,Recycling
ITA,1,143.88410260546033,Recycling
ITA,2,146.73647997261568,Recycling
ITA,3,155.35211053738172,Recycling
ITA,4,166.63908920437768,Recycling
ITA,5,168.2287621377893,Recycling
ITA,6,172.4980982567044,Recycling
ITA,7,294.19214633792194,Recycling
ITA,8,231.56915024399652,Recycling
ITA,9,195.9219138189784,Recycling
ITA,10,211.00351585326342,Recycling
ITA,11,234.45333542003186,Recycling
ITA,12,218.04183104920526,Recycling
ITA,13,221.36775291105664,Recycling
JPN,0,192.27463260974145,Recycling
JPN,1,192.59362301500488,Recycling
JPN,2,195.68845214251795,Recycling
JPN,3,195.75448284574628,Recycling
JPN,4,197.35859935606118,Recycling
JPN,5,200.2624638733105,Recycling
JPN,6,200.28945378626258,Recycling
JPN,7,205.90989729011193,Recycling
JPN,8,206.81033527187304,Recycling
JPN,9,206.84913412578226,Recycling
JPN,10,231.89197357620833,Recycling
JPN,11,195.0131373670542,Recycling
JPN,12,195.04948384521964,Recycling
JPN,13,198.44943208635283,Recycling
KOR,0,254.44104731528145,Recycling
KOR,1,236.39650965197274,Recycling
KOR,2,236.463506749236,Recycling
KOR,3,225.72550747680788,Recycling
KOR,4,225.71496620564437,Recycling
KOR,5,225.66162513113224,Recycling
KOR,6,225.6220240074918,Recycling
KOR,7,230.27454054864972,Recycling
KOR,8,228.72609772770153,Recycling
KOR,9,250.57156777415918,Recycling
KOR,10,216.63312446678827,Recycling
KOR,11,213.97685588980195,Recycling
KOR,12,211.13280940885247,Recycling
KOR,13,203.89365691376912,Recycling
ROE,0,186.5304224694715,Recycling
ROE,1,186.69810712561164,Recycling
ROE,2,182.22414361802527,Recycling
ROE,3,179.40031148629188,Recycling
ROE,4,178.53513112073153,Recycling
ROE,5,179.69275464291107,Recycling
ROE,6,180.96094574428665,Recycling
ROE,7,199.36099554153162,Recycling
ROE,8,204.51891355651992,Recycling
ROE,9,213.24383102461908,Recycling
ROE,10,218.70736043932632,Recycling
ROE,11,267.70707179179635,Recycling
ROE,12,238.0170584011334,Recycling
ROE,13,248.68335856514113,Recycling
ROW,0,152.97852563107892,Recycling
ROW,1,152.92460170390302,Recycling
ROW,2,153.14007132624903,Recycling
ROW,3,153.76081828094067,Recycling
ROW,4,153.43122379553455,Recycling
ROW,5,153.27665335993035,Recycling
ROW,6,153.35166796468275,Recycling
ROW,7,151.49711427487284,Recycling
ROW,8,158.61527819998835,Recycling
ROW,9,165.7235435627989,Recycling
ROW,10,164.66064119130448,Recycling
ROW,11,236.95200271678405,Recycling
ROW,12,168.94241192587074,Recycling
ROW,13,164.8773677894781,Recycling
USA,0,167.21155722850133,Recycling
USA,1,166.85211198865187,Recycling
USA,2,166.23227752279303,Recycling
USA,3,171.04294189576646,Recycling
USA,4,182.6746480860584,Recycling
USA,5,187.52310661765674,Recycling
USA,6,194.36942011361768,Recycling
USA,7,189.52538538089897,Recycling
USA,8,177.62579823076373,Recycling
USA,9,179.4723740775913,Recycling
USA,10,180.5465037098122,Recycling
USA,11,155.2681844097539,Recycling
USA,12,151.5888177192677,Recycling
USA,13,156.0429768829623,Recycling
