location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
AUS,0,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,1,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,2,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,3,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,4,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,5,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,6,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,7,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,8,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,9,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,10,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,11,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,12,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,13,Aluminium,1614.468,4.0375,6.518414549999999,Recycling
AUS,0,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,1,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,2,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,3,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,4,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,5,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,6,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,7,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,8,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,9,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,10,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,11,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,12,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,13,Bauxite,30.66,16.15,0.49515899999999996,Recycling
AUS,0,Compressor,28478.72475497496,1.0,28.47872475497496,Recycling
AUS,1,Compressor,31377.251172109085,1.0,31.377251172109084,Recycling
AUS,2,Compressor,31557.599028920988,1.0,31.557599028920986,Recycling
AUS,3,Compressor,32201.274259218753,1.0,32.201274259218756,Recycling
AUS,4,Compressor,32530.697259678716,1.0,32.53069725967872,Recycling
AUS,5,Compressor,32851.01379921124,1.0,32.851013799211245,Recycling
AUS,6,Compressor,34079.72478824033,1.0,34.079724788240334,Recycling
AUS,7,Compressor,34736.75569963011,1.0,34.73675569963011,Recycling
AUS,8,Compressor,35386.250442229735,1.0,35.38625044222974,Recycling
AUS,9,Compressor,36489.473921072,1.0,36.489473921072,Recycling
AUS,10,Compressor,37782.31540625307,1.0,37.78231540625307,Recycling
AUS,11,Compressor,28249.353230700006,1.0,28.249353230700006,Recycling
AUS,12,Compressor,28806.67028156268,1.0,28.80667028156268,Recycling
AUS,13,Compressor,29352.034463080887,1.0,29.352034463080887,Recycling
AUS,0,Copper_ore,2479.0833067935555,5.51666667,13.676276250741394,Recycling
AUS,1,Copper_ore,2504.641043815183,5.51666667,13.817269766729229,Recycling
AUS,2,Copper_ore,2529.941646996747,5.51666667,13.95684476103186,Recycling
AUS,3,Copper_ore,2882.223120081242,5.51666667,15.900264222055597,Recycling
AUS,4,Copper_ore,2889.84204438984,5.51666667,15.942295287850092,Recycling
AUS,5,Copper_ore,2896.836034344778,5.51666667,15.980878799124813,Recycling
AUS,6,Copper_ore,2903.6063654363365,5.51666667,16.01822845900248,Recycling
AUS,7,Copper_ore,2909.838419919966,5.51666667,16.052608626257943,Recycling
AUS,8,Copper_ore,2911.981215439185,5.51666667,16.06442971487944,Recycling
AUS,9,Copper_ore,2917.420684809519,5.51666667,16.09443745425725,Recycling
AUS,10,Copper_ore,2922.583991441314,5.51666667,16.122921695859862,Recycling
AUS,11,Copper_ore,2989.7714572211453,5.51666667,16.493572548969222,Recycling
AUS,12,Copper_ore,2997.597671325103,5.51666667,16.53674716346881,Recycling
AUS,13,Copper_ore,3003.7925006337828,5.51666667,16.570921971842342,Recycling
AUS,0,HEX,30158.02572,1.0,30.15802572,Recycling
AUS,1,HEX,30158.02572,1.0,30.15802572,Recycling
