location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,138.9957540170163,142.17867892540775,145.58554593788335,148.52722847459177,148.8645269654397,149.2162494349646,150.52029487549717,178.83247458662547,161.95618645299385,154.66942422070554,167.75193027414613,146.71820786252576,144.21915179108095,141.29723009846307,151.3809202798101
AUT,182.55617860749467,175.20343376139914,174.8704804296248,458.203368074353,466.33345579994767,466.5970953497975,456.57105881742353,439.7987210638304,260.07120030797836,219.94813069061854,236.10272543251543,190.69511170993533,195.4009263242585,189.98231790387834,293.73815744807536
BRA,37.755449219984776,52.50544921998477,256.94424816929643,174.15440920231697,146.5029532023171,146.68649756479454,147.1314806673916,147.05904144020087,147.05904144020087,147.05904144020087,282.578796501756,147.05904144020087,166.8805054991579,147.2138388324912,153.3278424171639
CHN,103.92344456656498,108.00709796186976,108.6667179584865,104.30190463598349,104.15614263473424,103.06321632998598,103.40494594163114,103.27374322255267,100.5231740348309,100.25806873531556,100.44252734293265,96.21739629077084,96.27444468932622,96.55639330329713,102.07637268916302
CZE,282.7887088769608,283.00319296675394,283.5595969442241,302.13638924562235,270.42385027851606,262.21858945754224,253.74819859221296,247.80327920161463,237.7745123803781,251.6439301810894,326.36492753353235,240.08583473506647,235.69950950844964,226.212032556502,264.53303946131894
DEU,124.61608049412825,137.4451708781751,183.63051031749097,207.32685942601108,207.32685942601108,207.32685942601108,200.86320618424492,238.21716598913127,279.17639348919954,203.98137268859156,184.94064755141594,177.82519081598642,177.7213136731332,179.41584963389062,193.5581057138158
ITA,179.47526105319432,143.88410260546033,146.73647997261568,155.35211053738172,166.63908920437768,168.2287621377893,172.4980982567044,294.19214633792194,231.56915024399652,195.9219138189784,211.00351585326342,234.45333542003186,218.04183104920526,221.36775291105664,195.6688249572841
JPN,192.27463260974145,192.59362301500488,195.68845214251795,195.75448284574628,197.35859935606118,200.2624638733105,200.28945378626258,205.90989729011193,206.81033527187304,206.84913412578226,231.89197357620833,195.0131373670542,195.04948384521964,198.44943208635283,201.0139357993748
KOR,254.44104731528145,236.39650965197274,236.463506749236,225.72550747680788,225.71496620564437,225.66162513113224,225.6220240074918,230.27454054864972,228.72609772770153,250.57156777415918,216.63312446678827,213.97685588980195,211.13280940885247,203.89365691376912,227.5167028048063
ROE,186.5304224694715,186.69810712561164,182.22414361802527,179.40031148629188,178.53513112073153,179.69275464291107,180.96094574428665,199.36099554153162,204.51891355651992,213.24383102461908,218.70736043932632,267.70707179179635,238.0170584011334,248.68335856514113,204.59145753767123
ROW,152.97852563107892,152.92460170390302,153.14007132624903,153.76081828094067,153.43122379553455,153.27665335993035,153.35166796468275,151.49711427487284,158.61527819998835,165.7235435627989,164.66064119130448,236.95200271678405,168.94241192587074,164.8773677894781,163.1522801231012
USA,167.21155722850133,166.85211198865187,166.23227752279303,171.04294189576646,182.6746480860584,187.52310661765674,194.36942011361768,189.52538538089897,177.62579823076373,179.4723740775913,180.5465037098122,155.2681844097539,151.5888177192677,156.0429768829623,173.28400741886395
