location,commodity,time_operation,total_production,total_production_cost,production_cost_per_unit,opex_cost,total_import_flow,total_import_production_cost,total_transport_cost,total_transport_opex,total_import_cost,total_output,domestic_ratio,import_ratio,weighted_cost,weighted_cost_per_unit,transport_to_production_ratio
AUS,Aluminium,0,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,1,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,2,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,3,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,4,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,5,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,6,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,7,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,8,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,9,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,10,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,11,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,12,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,13,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Bauxite,0,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,1,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,2,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,3,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,4,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,5,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,6,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,7,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,8,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,9,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,10,243.76,7473.6816,30.66,7473.6816,0.0,0.0,0.0,0.0,0.0,243.76,1.0,0.0,7473.6816,30.66,0.0
AUS,Bauxite,11,243.76,7473.6816,30.66,7473.6816,0.0,0.0,0.0,0.0,0.0,243.76,1.0,0.0,7473.6816,30.66,0.0
AUS,Bauxite,12,243.76,7473.6816,30.66,7473.6816,0.0,0.0,0.0,0.0,0.0,243.76,1.0,0.0,7473.6816,30.66,0.0
AUS,Bauxite,13,243.76,7473.6816,30.66,7473.6816,0.0,0.0,0.0,0.0,0.0,243.76,1.0,0.0,7473.6816,30.66,0.0
AUS,Compressor,0,1.3,72922.408884,56094.16068,72922.408884,0.8099999999999998,22913.076041999997,16581.984368399997,16581.984368399997,39495.060410399994,2.11,0.6161137440758294,0.3838862559241706,60090.10923299716,28478.72475497496,0.2273921641120974
AUS,Compressor,1,1.38,86289.94173839998,62528.94328869564,77409.9417384,0.8200000000000003,23195.953524000008,16786.700224800006,16786.700224800006,39982.65374880002,2.2,0.6272727272727272,0.37272727272727285,69029.95257863999,31377.251172109085,0.19453831914374486
AUS,Compressor,2,1.46,90777.47459280002,62176.35246082193,81897.4745928,0.8399999999999999,23761.70848799999,17196.1319376,17196.1319376,40957.84042559999,2.3,0.6347826086956522,0.36521739130434777,72582.47776651826,31557.599028920988,0.1894317066511994
AUS,Compressor,3,1.55,96935.94905400001,62539.321970322584,86945.949054,0.85,24044.58597,17400.847793999998,17400.847793999998,41445.433764,2.4,0.6458333333333334,0.3541666666666667,77283.05822212501,32201.274259218753,0.1795087164649982
AUS,Compressor,4,1.64,101984.42351519999,62185.62409463414,91994.4235152,0.8600000000000001,24327.463452000004,17605.563650400003,17605.563650400003,41933.02710240001,2.5,0.6559999999999999,0.34400000000000003,81326.74314919679,32530.697259678716,0.17262992762591858
AUS,Compressor,5,1.73,107032.89797640001,61868.727153988446,97042.8979764,0.8700000000000001,24610.340934,17810.279506800005,17810.279506800005,42420.620440800005,2.6,0.6653846153846154,0.33461538461538465,85412.63587794924,32851.01379921124,0.1664000493635802
AUS,Compressor,6,1.84,115423.25565120002,62730.0302452174,103213.2556512,0.8600000000000001,24327.463452,17605.563650400003,17605.563650400003,41933.0271024,2.7,0.6814814814814815,0.31851851851851853,92015.2569282489,34079.72478824033,0.15253047187997043
AUS,Compressor,7,1.95,121593.61332599999,62355.69914153846,109383.613326,0.85,24044.58597,17400.847793999998,17400.847793999998,41445.433764,2.8,0.6964285714285715,0.3035714285714286,97262.9159589643,34736.75569963011,0.14310659349638086
AUS,Compressor,8,2.06,127763.97100080001,62021.34514601942,115553.9710008,0.8399999999999999,23761.708487999997,17196.1319376,17196.1319376,40957.84042559999,2.9,0.710344827586207,0.28965517241379307,102620.12628246623,35386.250442229735,0.13459296703835483
AUS,Compressor,9,2.18,135605.27028240002,62204.252423119266,122285.2702824,0.8199999999999998,23195.953523999997,16786.7002248,16786.7002248,39982.653748799996,3.0,0.7266666666666667,0.27333333333333326,109468.421763216,36489.473921072,0.12379091306585241
AUS,Compressor,10,2.31,144007.5111708,62340.91392675324,129577.5111708,0.79,22347.321078,16172.552655600002,16172.552655600002,38519.873733600005,3.1,0.7451612903225806,0.25483870967741934,117125.1777593845,37782.31540625307,0.11230353558724142
AUS,Compressor,11,2.45,152970.69366600006,62437.01782285717,137430.69366600004,4.55,128709.25431,93145.714662,93145.714662,221854.968972,7.0,0.35000000000000003,0.65,197745.47261490003,28249.353230700006,0.6089121545423375
AUS,Compressor,12,2.59,160823.87616119997,62094.16067999999,145283.8761612,5.41,153036.717762,110751.2783124,110751.2783124,263787.99607439997,8.0,0.32375,0.67625,230453.36225250145,28806.67028156268,0.6886494776521226
AUS,Compressor,13,2.74,170348.00026320008,62170.80301576645,153698.00026320005,6.26,177081.30373199997,128152.1261064,128152.1261064,305233.4298384,9.0,0.30444444444444446,0.6955555555555555,264168.310167728,29352.034463080887,0.752296040507641
AUS,Copper,0,0.0,0.0,,0.0,0.0,0.0,25.6354,25.6354,25.6354,0.0,0.0,0.0,0.0,,
AUS,Copper,0,0.0,0.0,,0.0,0.0,0.0,25.6354,25.6354,25.6354,0.0,0.0,0.0,0.0,,
