location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,Aluminium,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.468,1614.4680000000003
AUS,Bauxite,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.66,30.660000000000007
AUS,Compressor,28478.72475497496,31377.251172109085,31557.599028920988,32201.274259218753,32530.697259678716,32851.01379921124,34079.72478824033,34736.75569963011,35386.250442229735,36489.473921072,37782.31540625307,28249.353230700006,28806.67028156268,29352.034463080887,32419.93846477733
AUS,Copper_ore,2479.0833067935555,2504.641043815183,2529.941646996747,2882.223120081242,2889.84204438984,2896.836034344778,2903.6063654363365,2909.838419919966,2911.981215439185,2917.420684809519,2922.583991441314,2989.7714572211453,2997.597671325103,3003.7925006337828,2838.5113930462644
AUS,HEX,30158.02572,30158.02572,30158.02572,30158.02572,30158.02572,30158.02572,30158.02572,57758.02572,40158.02572,30158.02572,38729.45429142857,30158.02572,37658.025720000005,36824.69238666667,34467.88966557822
AUS,HP,39547.20172884402,39690.64827005707,39616.56268392246,39553.30147590548,39519.181631815605,39512.037033287095,39550.052364499825,39570.849355170714,39633.27179276869,41213.30298454767,44388.79412498685,41111.987007219155,30448.992886133045,27679.29820593992,38645.39153893554
AUS,Iron,35.170891919999995,35.170891919999995,35.170891919999995,35.17089192,35.170891919999995,35.170891919999995,35.170891919999995,35.17089192,35.17089192,35.17089191999999,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995,35.170891919999995
AUS,Nickel,1004.6392757799999,1004.6392757799999,3614.399537200741,3959.4050206200004,3959.4050206200013,3959.4050206200013,3959.4050206200013,3959.405020620001,3959.4050206200013,3959.4050206200013,3971.1975219628575,3952.382170435083,4004.7946928975157,4088.6725935076793,3525.468586564563
AUS,Refrigerant,15112.78647278788,15112.713389810195,15112.638894601056,15112.57060732601,15112.507783032968,15112.44979137786,15112.396095400898,15112.346234850866,15112.299812959456,15112.25648586081,15112.215954058847,15111.538493940345,15111.471182197802,15111.418828620268,15112.25785905895
AUS,Steel,495.59999592000014,495.5999959200001,495.5999959200001,495.5999959200002,495.59999592,495.5999959200001,495.5999959200001,495.59999592000014,495.59999592,495.5999959200001,495.5999959200001,495.59999591999997,495.59999592,495.59999592000014,495.59999591999997
AUT,Aluminium,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999999,1714.3319999999997
AUT,Bauxite,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575,38.013164383775575
AUT,Compressor,81057.99696,81057.99695999999,81057.99695999999,81057.99695999999,81057.99695999999,81057.99695999999,81057.99695999999,81057.99695999999,81057.99695999999,81057.99696,81057.99696,81057.99696,81057.99696,81057.99696,81057.99695999999
AUT,Copper,262.57968600000004,262.57968600000004,262.57968600000004,307.541043,307.541043,307.541043,307.541043,307.541043,307.541043,307.541043,307.541043,307.541043,307.541043,307.541043,297.9064665000001
AUT,Copper_ore,11.0069,11.0069,11.0069,1673.0415259504132,1673.0415259504132,1673.0415259504132,1673.0415259504132,1673.0415259504132,2864.5902677777776,2939.083766565972,2974.178987954921,1771.8225987482308,2974.178987954921,1771.8225987482308,1692.421824107294
AUT,HEX,46425.1968,46425.19680000001,46425.19680000001,307696.23889855196,315902.25281442376,316259.65818459744,305848.5993452861,289121.7152937848,102891.86346654652,52005.37065625062,57613.20803181602,46425.196800000005,46425.196800000005,46425.196800000005,144706.43482080408
AUT,HP,32034.006,24724.656173687014,19803.58099911962,32034.006,32034.006,32034.006000000005,32034.006,32034.005999999998,32034.005999999998,42382.69206070498,52782.68137541204,25196.078302446036,23268.893498971116,24483.284496389042,31205.707779052136
