location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2734.130348764366,2749.9619344413554,2765.138746757909,2780.8544639323927,2797.5421634025174,2815.2018387714293,2833.5982754197526,2952.203032564413,3012.274394871973,3071.032164803898,3201.5022140457,2780.63521726915,2738.020257941233,2647.042466811086
AUT,4579.2484015793525,4574.862661280229,4463.102923327056,4358.243167464869,4307.564960208552,4218.058353354123,4024.9460045817345,3924.6943479229362,4099.590430392674,4032.7551231999873,3922.224909148898,4041.661050528017,4130.827601832917,4285.949462364826
BRA,3681.3235207098173,3745.0164022177223,3096.9265009988553,2960.2499941855385,2960.2499941855385,2915.3161009803657,2768.199553807636,2747.621755625442,2747.621755625442,2747.621755625442,2578.7471621456134,2747.621755625442,2692.447876216431,2692.447876216431
CHN,977.8257884298014,950.6749113472655,927.3530006439142,921.0695425337213,921.3091607675892,927.8109926503873,942.4387817677915,946.8916405406645,934.2135058265588,916.8313618229731,909.9345804257066,889.9445981919149,875.8449811495096,849.4128423069557
CZE,4084.767800956129,3865.129464148505,3807.634279851896,3951.38179391364,3738.9038278926996,3693.666170667102,3478.1818725066664,3387.3650016015195,3689.1351366259605,3679.4653422457595,3311.3022634991926,3187.533783976724,3100.038665150005,3090.663776189832
DEU,3932.335730595697,3226.216200076922,2895.3268663435665,2863.341726587415,2863.341726587415,2863.341726587415,2932.8536023945226,3189.553621682305,3257.8539598087664,3209.0468290679464,3246.4046899643076,3388.8144552994186,3460.0316302588944,3565.0438993504645
ITA,8946.794521958027,6849.693276838942,6485.032223526048,6480.9101256220165,5455.785492705941,5572.710035768557,5894.89366159654,5626.879779430708,4654.319420661497,4731.79368715817,4926.370380738793,5037.240832499412,5346.240978809196,5701.406689742213
JPN,3785.226295858141,3707.0963448577268,3796.654156866727,3800.032956426387,3734.2179493686585,3667.5335567894226,3604.5115164898207,3525.769279818982,3470.921631083291,3419.5956904909704,3238.5556428898417,3326.682480437196,3284.6604671342457,3245.3634672524513
KOR,3157.7178554266548,3077.060865331285,3028.5868352213106,2902.8535779938798,2877.3469027056103,2858.848335745484,2858.855623526626,2841.7346116840577,2823.138447630893,2673.675279375059,2632.8150249251275,2763.6156090115273,2733.4084324777305,2633.0678814201833
ROE,1917.2351737818997,1996.5611859029289,2052.362597077513,2106.188458569734,2161.1252234261115,2247.2197577946786,2341.517107038833,2435.5235371370827,2503.6111950792642,2625.032040155278,2717.393989463996,2681.0453818789188,2693.6398607105625,2676.422448826316
ROW,2691.955506646375,2761.8278286750156,2842.112642161913,2934.4430997461645,3146.584300184573,3371.755943707485,3600.884892399948,3776.577199015502,3722.7884101606096,3514.8139354143236,3054.2757183319136,2428.3828951283235,2226.4242190332225,2080.3486302287347
TOTAL,2032.4000806955537,2004.6029223526236,1987.2014328942657,1971.8300014586787,1960.517396080411,1956.9112337845902,1962.7388244342815,1967.0796248695906,1976.1247060694363,1980.281095339256,1975.722164434099,1942.059605671774,1923.3228242797502,1903.9279593498152
USA,2666.530190829895,2636.3188421440677,2671.737619724669,2712.8793279043507,2687.787142323201,2675.469634542832,2703.7066750864174,2741.466386123061,2732.539646801254,2748.249703209974,2771.4822940038766,2718.522179341601,2778.940677724798,2796.39566597239
