location,commodity,time_operation,total_transport_cost,total_transport_opex,total_transport_flow,transport_cost_per_unit
AUS,Aluminium,0,0.0,0.0,0.0,
AUS,Aluminium,1,0.0,0.0,0.0,
AUS,Aluminium,2,0.0,0.0,0.0,
AUS,Aluminium,3,0.0,0.0,0.0,
AUS,Aluminium,4,0.0,0.0,0.0,
AUS,Aluminium,5,0.0,0.0,0.0,
AUS,Aluminium,6,0.0,0.0,0.0,
AUS,Aluminium,7,0.0,0.0,0.0,
AUS,Aluminium,8,0.0,0.0,0.0,
AUS,Aluminium,9,0.0,0.0,0.0,
AUS,Aluminium,10,0.0,0.0,0.0,
AUS,Aluminium,11,0.0,0.0,0.0,
AUS,Aluminium,12,0.0,0.0,0.0,
AUS,Aluminium,13,0.0,0.0,0.0,
AUS,Bauxite,0,0.0,0.0,0.0,
AUS,Bauxite,1,0.0,0.0,0.0,
AUS,Bauxite,2,0.0,0.0,0.0,
AUS,Bauxite,3,0.0,0.0,0.0,
AUS,Bauxite,4,0.0,0.0,0.0,
AUS,Bauxite,5,0.0,0.0,0.0,
AUS,Bauxite,6,0.0,0.0,0.0,
AUS,Bauxite,7,0.0,0.0,0.0,
AUS,Bauxite,8,0.0,0.0,0.0,
AUS,Bauxite,9,0.0,0.0,0.0,
AUS,Bauxite,10,0.0,0.0,0.0,
AUS,Bauxite,11,0.0,0.0,0.0,
AUS,Bauxite,12,0.0,0.0,0.0,
AUS,Bauxite,13,0.0,0.0,0.0,
AUS,Compressor,0,16581.984368399997,16581.984368399997,0.8099999999999998,20471.58564
AUS,Compressor,1,16786.700224800006,16786.700224800006,0.8200000000000003,20471.58564
AUS,Compressor,2,17196.1319376,17196.1319376,0.8399999999999999,20471.58564
AUS,Compressor,3,17400.847793999998,17400.847793999998,0.85,20471.585639999998
AUS,Compressor,4,17605.563650400003,17605.563650400003,0.8600000000000001,20471.58564
AUS,Compressor,5,17810.279506800005,17810.279506800005,0.8700000000000001,20471.585640000005
AUS,Compressor,6,17605.563650400003,17605.563650400003,0.8600000000000001,20471.58564
AUS,Compressor,7,17400.847793999998,17400.847793999998,0.85,20471.585639999998
AUS,Compressor,8,17196.1319376,17196.1319376,0.8399999999999999,20471.58564
AUS,Compressor,9,16786.7002248,16786.7002248,0.8199999999999998,20471.58564
AUS,Compressor,10,16172.552655600002,16172.552655600002,0.79,20471.58564
AUS,Compressor,11,93145.714662,93145.714662,4.55,20471.58564
AUS,Compressor,12,110751.2783124,110751.2783124,5.41,20471.585639999998
AUS,Compressor,13,128152.1261064,128152.1261064,6.26,20471.58564
AUS,Copper,0,25.6354,25.6354,0.0,
AUS,Copper,1,25.6354,25.6354,0.0,
AUS,Copper,2,25.6354,25.6354,0.0,
AUS,Copper,3,25.6354,25.6354,0.0,
AUS,Copper,4,25.6354,25.6354,0.0,
AUS,Copper,5,25.6354,25.6354,0.0,
AUS,Copper,6,25.6354,25.6354,0.0,
AUS,Copper,7,25.6354,25.6354,0.0,
AUS,Copper,8,25.6354,25.6354,0.0,
AUS,Copper,9,25.6354,25.6354,0.0,
AUS,Copper,10,25.6354,25.6354,0.0,
AUS,Copper,11,25.6354,25.6354,0.0,
AUS,Copper,12,25.6354,25.6354,0.0,
AUS,Copper,13,25.6354,25.6354,0.0,
AUS,Copper_ore,0,58.738654798226996,58.738654798226996,10.480775,5.604419024187333
AUS,Copper_ore,1,60.466187469987,60.466187469987,10.962775,5.515591396337788
AUS,Copper_ore,2,62.340309532358994,62.340309532358994,11.485675,5.427657454382001
AUS,Copper_ore,3,64.2654601142625,64.2654601142625,12.0228125,5.345293384078184
AUS,Copper_ore,4,66.19061069616599,66.19061069616599,12.55995,5.269974060101035
AUS,Copper_ore,5,68.1157612780695,68.1157612780695,13.0970875,5.200832725449035
AUS,Copper_ore,6,70.142968899036,70.142968899036,13.6627,5.133902442345657
AUS,Copper_ore,7,72.17017652000249,72.17017652000249,14.228312499999998,5.072293465581565
AUS,Copper_ore,8,69.615654937146,69.615654937146,14.793924999999998,4.705692028122761
AUS,Copper_ore,9,71.486236610478,71.486236610478,15.373775,4.649881802646259
AUS,Copper_ore,10,73.40274810458101,73.40274810458101,15.9678625,4.596905071331934
