location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,0,340632.06686355424,393.41267,809981.8931679155,27.4208375,1150613.9600314698,420.8335075,2734.131050701731,2.377879160426687,0.06969993493092126
AUS,1,348717.3579255753,397.76685000000003,822940.7253866073,28.296425,1171658.0833121827,426.06327500000003,2749.9626277627017,2.3599075488586454,0.07113821828038208
AUS,2,357167.0186812135,402.42925,836438.8790759544,29.235496,1193605.897757168,431.66474600000004,2765.1224910481055,2.3418704284745595,0.07264754239409785
AUS,3,366217.42491428496,407.289175,850365.6204478147,30.1963765,1216583.0453620995,437.4855515,2780.853084612326,2.3220239196615156,0.07413989458472595
AUS,4,375267.8311473565,412.14910000000003,864950.9127174062,31.175531,1240218.7438647626,443.324631,2797.540802249633,2.304889577326349,0.07564139045796775
AUS,5,384318.237380428,417.009025,880209.1109668415,32.1736925,1264527.3483472695,449.1827175,2815.1736455605496,2.2903131450812264,0.07715346808141622
AUS,6,394570.1345683661,422.264,896026.9985378269,33.200094,1290597.133106193,455.464094,2833.5869942498543,2.27089412004794,0.07862402193888184
AUS,7,474185.49091230414,429.818975,912122.4627994762,39.7670525,1386307.9537117803,469.5860275,2952.1916593052383,1.9235562459842621,0.09252046748285135
AUS,8,514595.4138202423,436.07394999999997,929214.873722308,43.235389,1443810.2875425504,479.30933899999997,3012.2723887559187,1.8057193064042734,0.09914691992034838
AUS,9,525448.0564856137,441.52645,946895.7453200405,44.330198,1472343.801805654,485.856648,3030.4078535643584,1.8020729806352718,0.10040213445876232
AUS,10,567174.7519484183,451.93647500000003,965214.1736783927,47.8523675,1532388.925626811,499.78884250000004,3066.072699745815,1.7017932662950659,0.10588295069567022
AUS,11,717689.3691431858,574.907625,1066404.3017475775,66.7060725,1784093.6708907634,641.6136975000001,2780.635260503869,1.485885603991467,0.11602920121297747
AUS,12,792694.8009089701,609.4949750000001,1080027.6066119212,74.4744125,1872722.4075208912,683.9693875,2738.020797050498,1.3624759559082151,0.1221903634234228
AUS,13,868300.9781521879,644.27985,1089503.4179754325,82.273001,1957804.3961276202,726.552851,2694.648288053611,1.2547531851155813,0.12769761618340228
AUT,0,59913.30252119477,28.626600000000003,479221.6214084589,82.80425699999999,539134.9239296537,111.430857,4838.2911021644,7.99858464218244,2.8925634549684553
AUT,1,68395.48577595303,31.8088,479681.5718870391,86.644049,548077.0576629922,118.452849,4626.963912560618,7.013351341027962,2.7239018447725156
AUT,2,68395.48577595303,31.8088,479963.41389227554,86.722343,548358.8996682286,118.531143,4626.285428363992,7.017472110140703,2.726363239103644
AUT,3,77243.83689744044,38.911606612,481469.7390863156,85.07798230249999,558713.5759837561,123.98958891449999,4506.132981608887,6.233115267507764,2.1864422908783903
AUT,4,81359.03473032334,42.21498528400001,482402.7519722663,85.7916404925,563761.7867025896,128.00662577650002,4404.160982158217,5.929307710830914,2.0322556058077335
AUT,5,86173.8192665272,46.079940796,483494.37774526275,90.66662110749999,569668.19701179,136.74656190349998,4165.868516780673,5.61068758307975,1.9675941318781027
AUT,6,91807.10488696229,50.601928881999996,484771.57711393177,87.60354629625,576578.6820008941,138.20547517825,4171.894646411467,5.280327461701443,1.7312293865424593
AUT,7,98398.04099957782,55.892648470000005,486265.8985471348,91.78654736874999,584663.9395467127,147.67919583875,3959.0135646804556,4.9418249957763,1.6421935599995015
AUT,8,161699.50157829386,66.81300000000002,485833.07402699965,92.80812499999999,647532.5756052935,159.621125,4056.684700131599,3.004542804924865,1.3890728600721411
AUT,9,161699.50157829386,66.81300000000002,486254.9622857385,93.92532299999999,647954.4638640324,160.738323,4031.113749171269,3.0071518931077037,1.4057941268914727
AUT,10,161699.50157829386,66.81300000000002,487244.6275168623,94.20024599999999,648944.1290951562,161.013246,4030.3772839605767,3.01327229064427,1.4099089398769695
AUT,11,161699.50157829386,66.81300000000002,526037.4109206129,93.121907,687736.9124989067,159.934907,4300.1051202593735,3.2531789262560524,1.3937692814272666
AUT,12,161699.50157829386,66.81300000000002,547235.2286850747,94.49825,708934.7302633686,161.31125000000003,4394.825099076279,3.384272823006241,1.4143692095849607
AUT,13,161699.50157829386,66.81300000000002,572036.6580084993,93.338571,733736.1595867932,160.15157100000002,4581.510846289439,3.5376525742197344,1.3970121233891604
