location,time_operation,lcohp,scenario
AUS,0,144.18337182487005,SelfSuff40
AUS,1,147.29556892398705,SelfSuff40
AUS,2,147.4713475959688,SelfSuff40
AUS,3,148.11687559039842,SelfSuff40
AUS,4,148.47172318950976,SelfSuff40
AUS,5,146.12622067954774,SelfSuff40
AUS,6,150.1378362677942,SelfSuff40
AUS,7,178.46430357657593,SelfSuff40
AUS,8,161.62114071383326,SelfSuff40
AUS,9,152.84928020725152,SelfSuff40
AUS,10,162.86706636925098,SelfSuff40
AUS,11,146.61887940872228,SelfSuff40
AUS,12,144.59792985805038,SelfSuff40
AUS,13,142.69915162288618,SelfSuff40
AUT,0,186.37442220797334,SelfSuff40
AUT,1,189.03228889825542,SelfSuff40
AUT,2,184.11121372368802,SelfSuff40
AUT,3,449.48891071053794,SelfSuff40
AUT,4,467.57574701431486,SelfSuff40
AUT,5,472.2359686224729,SelfSuff40
AUT,6,458.514658452422,SelfSuff40
AUT,7,442.25168335449956,SelfSuff40
AUT,8,259.6357243391809,SelfSuff40
AUT,9,198.30018870186996,SelfSuff40
AUT,10,192.0945949899007,SelfSuff40
AUT,11,191.7111341322213,SelfSuff40
AUT,12,196.3735482435865,SelfSuff40
AUT,13,197.9717087127334,SelfSuff40
BRA,0,37.67583088155,SelfSuff40
BRA,1,52.42583088155,SelfSuff40
BRA,2,258.9664294150268,SelfSuff40
BRA,3,173.70720830374648,SelfSuff40
BRA,4,146.05575230374663,SelfSuff40
BRA,5,144.86544543028435,SelfSuff40
BRA,6,146.6767104737511,SelfSuff40
BRA,7,146.8992165650282,SelfSuff40
BRA,8,146.8992165650282,SelfSuff40
BRA,9,146.87992632826845,SelfSuff40
BRA,10,146.87992632826845,SelfSuff40
BRA,11,146.87992632826845,SelfSuff40
BRA,12,205.02079426990764,SelfSuff40
BRA,13,147.55412760324097,SelfSuff40
CHN,0,98.6099091704362,SelfSuff40
CHN,1,100.33032626672345,SelfSuff40
CHN,2,99.96574698196271,SelfSuff40
CHN,3,99.64093452236482,SelfSuff40
CHN,4,105.57977319997775,SelfSuff40
CHN,5,107.71566971127766,SelfSuff40
CHN,6,105.56655810470005,SelfSuff40
CHN,7,104.14879091919644,SelfSuff40
CHN,8,98.46202196582738,SelfSuff40
CHN,9,97.85665718394331,SelfSuff40
CHN,10,98.41097042228319,SelfSuff40
CHN,11,96.87717270747686,SelfSuff40
CHN,12,97.68948746944014,SelfSuff40
CHN,13,98.6491170884644,SelfSuff40
CZE,0,318.19497126708796,SelfSuff40
CZE,1,297.6792345262404,SelfSuff40
CZE,2,298.13027738599936,SelfSuff40
CZE,3,295.2880372473163,SelfSuff40
CZE,4,269.74178579899234,SelfSuff40
CZE,5,278.8763730835258,SelfSuff40
CZE,6,265.84066738033187,SelfSuff40
CZE,7,256.87607905587333,SelfSuff40
CZE,8,239.54770090784447,SelfSuff40
CZE,9,235.5536940086863,SelfSuff40
CZE,10,214.517068287063,SelfSuff40
CZE,11,212.62507051587815,SelfSuff40
CZE,12,213.52091590743757,SelfSuff40
CZE,13,286.0752829201856,SelfSuff40
DEU,0,201.05051377566872,SelfSuff40
DEU,1,165.24737233909553,SelfSuff40
DEU,2,190.1354368939033,SelfSuff40
DEU,3,200.04603434378447,SelfSuff40
DEU,4,200.04603434378447,SelfSuff40
DEU,5,200.04603434378447,SelfSuff40
DEU,6,193.5233456617117,SelfSuff40
DEU,7,231.15823597688802,SelfSuff40
DEU,8,252.22782255530032,SelfSuff40
DEU,9,207.90392752295824,SelfSuff40
DEU,10,195.1659381888013,SelfSuff40
DEU,11,212.365883192562,SelfSuff40
DEU,12,213.9718752004221,SelfSuff40
DEU,13,211.94428357154845,SelfSuff40
ITA,0,204.54180613653926,SelfSuff40
ITA,1,174.44460858179386,SelfSuff40
ITA,2,182.55803025901525,SelfSuff40
ITA,3,152.52598941473673,SelfSuff40
ITA,4,164.91391552276758,SelfSuff40
ITA,5,166.84604884285648,SelfSuff40
ITA,6,171.14158574940615,SelfSuff40
ITA,7,292.49282213738525,SelfSuff40
ITA,8,260.2787568458763,SelfSuff40
ITA,9,241.3348333830056,SelfSuff40
ITA,10,244.06943215156508,SelfSuff40
ITA,11,247.54656954623871,SelfSuff40
