location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,144.18337182487005,147.29556892398705,147.4713475959688,148.11687559039842,148.47172318950976,146.12622067954774,150.1378362677942,178.46430357657593,161.62114071383326,152.84928020725152,162.86706636925098,146.61887940872228,144.59792985805038,142.69915162288618,151.537192559189
AUT,186.37442220797334,189.03228889825542,184.11121372368802,449.48891071053794,467.57574701431486,472.2359686224729,458.514658452422,442.25168335449956,259.6357243391809,198.30018870186996,192.0945949899007,191.7111341322213,196.3735482435865,197.9717087127334,291.83369943597546
BRA,37.67583088155,52.42583088155,258.9664294150268,173.70720830374648,146.05575230374663,144.86544543028435,146.6767104737511,146.8992165650282,146.8992165650282,146.87992632826845,146.87992632826845,146.87992632826845,205.02079426990764,147.55412760324097,146.2418815484047
CHN,98.6099091704362,100.33032626672345,99.96574698196271,99.64093452236482,105.57977319997775,107.71566971127766,105.56655810470005,104.14879091919644,98.46202196582738,97.85665718394331,98.41097042228319,96.87717270747686,97.68948746944014,98.6491170884644,100.67879540814816
CZE,318.19497126708796,297.6792345262404,298.13027738599936,295.2880372473163,269.74178579899234,278.8763730835258,265.84066738033187,256.87607905587333,239.54770090784447,235.5536940086863,214.517068287063,212.62507051587815,213.52091590743757,286.0752829201856,263.03336844946165
DEU,201.05051377566872,165.24737233909553,190.1354368939033,200.04603434378447,200.04603434378447,200.04603434378447,193.5233456617117,231.15823597688802,252.22782255530032,207.90392752295824,195.1659381888013,212.365883192562,213.9718752004221,211.94428357154845,205.3451955650152
ITA,204.54180613653926,174.44460858179386,182.55803025901525,152.52598941473673,164.91391552276758,166.84604884285648,171.14158574940615,292.49282213738525,260.2787568458763,241.3348333830056,244.06943215156508,247.54656954623871,247.87058386403945,248.0322609560084,214.18551738508813
JPN,195.37040549159045,195.46385602638827,195.55142831162217,195.63346448181974,197.2456886293229,200.1571199875343,200.17984477059719,205.79657065174257,206.71878146842425,206.76897148126835,206.9069196670079,206.95081000753626,206.99183167876322,207.23659631964952,201.92659206951907
KOR,258.1984851817772,241.08935551948113,237.04982186092994,226.73460952266,225.60270937545715,226.64938946372726,226.63648516036216,230.24645760150273,228.6948085296279,226.3127356688333,224.3676867173062,221.8296633126965,219.79553671971905,218.01980234260333,229.3733962126203
ROE,186.59681863523141,196.67726671581508,187.78184067540587,178.92782543439307,173.97231318600365,180.58168179630226,180.77487937650523,196.9196707393332,242.64688676373615,237.00117615052497,230.95637894252243,177.75801163886686,231.21795604612316,228.55316926902654,202.1689910978421
ROW,155.44382486788146,154.96957905014753,154.973763538785,154.973763538785,154.973763538785,150.60152439209747,156.57368254806048,156.57368254806048,158.55415732229235,164.71389915543276,164.7408060289387,236.6835755858821,168.10259352033177,168.107024128603,164.28468855457734
USA,167.57837454528544,165.69450452124713,163.91909248180013,164.32907942902244,185.87750335056964,187.1320723727895,194.18161921354934,189.41906579193432,186.44179171275,183.99687082036414,179.27819705534364,172.10051168456963,174.308752395742,174.87007715233563,177.7948223233788
