technology,carrier,location,time_operation,total_production,scenario_x,opex,scenario_y,capacity_type,capex,scenario,total_production_cost,opex_cost,production_cost_per_unit,opex_per_unit,commodity
Aluminium_production,Aluminium,AUS,0,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,1,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,2,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,3,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,4,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,5,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,6,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,7,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,8,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,9,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,10,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,11,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,12,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUS,13,60.0,SelfSuff40,96868.08,SelfSuff40,power,-0.0,SelfSuff40,96868.08,96868.08,1614.468,1614.468,Aluminium
Aluminium_production,Aluminium,AUT,0,19.64,SelfSuff40,33669.48048,SelfSuff40,power,-0.0,SelfSuff40,33669.48048,33669.48048,1714.3319999999999,1714.3319999999999,Aluminium
Aluminium_production,Aluminium,AUT,1,19.64,SelfSuff40,33669.48048,SelfSuff40,power,-0.0,SelfSuff40,33669.48048,33669.48048,1714.3319999999999,1714.3319999999999,Aluminium
Aluminium_production,Aluminium,AUT,2,19.64,SelfSuff40,33669.48048,SelfSuff40,power,-0.0,SelfSuff40,33669.48048,33669.48048,1714.3319999999999,1714.3319999999999,Aluminium
Aluminium_production,Aluminium,AUT,3,19.64,SelfSuff40,33669.48048,SelfSuff40,power,-0.0,SelfSuff40,33669.48048,33669.48048,1714.3319999999999,1714.3319999999999,Aluminium
Aluminium_production,Aluminium,AUT,4,19.64,SelfSuff40,33669.48048,SelfSuff40,power,-0.0,SelfSuff40,33669.48048,33669.48048,1714.3319999999999,1714.3319999999999,Aluminium
Aluminium_production,Aluminium,AUT,5,19.64,SelfSuff40,33669.48048,SelfSuff40,power,-0.0,SelfSuff40,33669.48048,33669.48048,1714.3319999999999,1714.3319999999999,Aluminium
Aluminium_production,Aluminium,AUT,6,19.64,SelfSuff40,33669.48048,SelfSuff40,power,-0.0,SelfSuff40,33669.48048,33669.48048,1714.3319999999999,1714.3319999999999,Aluminium
