location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2734.131050701731,2749.9626277627017,2765.1224910481055,2780.853084612326,2797.540802249633,2815.1736455605496,2833.5869942498543,2952.1916593052383,3012.2723887559187,3030.4078535643584,3066.072699745815,2780.635260503869,2738.020797050498,2694.648288053611
AUT,4838.2911021644,4626.963912560618,4626.285428363992,4506.132981608887,4404.160982158217,4165.868516780673,4171.894646411467,3959.0135646804556,4056.684700131599,4031.113749171269,4030.3772839605767,4300.1051202593735,4394.825099076279,4581.510846289439
BRA,3722.118951586244,3786.40358114491,3096.92565679819,2960.2492292931497,2960.2492292931497,2922.905717425726,2770.931333801837,2747.621364136224,2747.621364136224,2747.618518344374,2747.618518344374,2747.618518344374,2692.447656328152,2692.447656328152
CHN,993.507031195868,984.3212017473195,972.0811856100074,958.4315838600694,951.5496444596114,952.4349545475534,953.7505207157504,947.49617507449,929.8724368789168,911.416222571169,905.2343039553857,882.2852966332769,861.0746346380838,839.6672900092816
CZE,6571.429458025572,5568.592016285108,5415.010619852321,5291.95381038039,5161.874611152374,4990.446013334533,4817.133556488548,4560.576084977819,4188.156250460899,3961.6131053834274,3732.461479071169,3562.286126819539,3360.535365191268,3144.4322433042526
DEU,4430.471447694683,4639.257344733642,3543.4294568846685,3194.284544745899,3194.284544745899,3194.2845447458976,3284.457746222426,3429.6915823025097,3838.6949102708677,4015.6151906011705,4101.475092249879,4346.018245181484,4521.458272896623,4662.3450949355765
ITA,9702.70231760188,8580.49250258369,9096.506438524535,6481.814858750123,5456.696337475995,5572.643675792558,5895.357691520668,5619.740245045064,5569.099426408503,5252.601775454142,5153.454927408082,5021.8524573463055,4886.089674023685,4768.8612698811685
JPN,4048.6927368302586,3962.3291617989066,3881.3303181144183,3805.3902359695226,3734.217178913897,3667.5328366151157,3604.501546809275,3525.75086486435,3470.916093478182,3419.5948450952424,3371.609331863748,3326.6817427893334,3284.65977819724,3245.3634608068737
KOR,3161.7389160090925,3099.7853792099195,3051.9255535048133,2923.66715509156,2881.3728508726517,2858.8123872436195,2858.8203419567317,2841.7246907804874,2823.125933098182,2803.9078490957695,2783.924536693408,2763.6162440378403,2742.355734270876,2720.456319589156
ROE,2047.9914241398274,2080.1775336865344,2142.5697625296143,2168.653328069123,2219.615790947482,2313.9638711532,2410.5777410480464,2480.80490787724,2486.646647004188,2502.6307018180305,2529.5739106707842,2621.9275827674014,2620.584023379788,2597.9903911038937
ROW,3012.1307764705625,3188.859458277253,3347.6906478061724,3497.3156969867164,3678.245934071472,3845.5765423699795,3840.586394194985,3573.8299748851227,3377.1147908535586,3301.6342825586503,2923.792423491237,2380.431752748438,2189.2932079822594,2043.9957827450453
TOTAL,2107.201168682808,2083.1312634636115,2059.816486789818,2031.7372219960337,2012.0286991788855,2000.7036911635362,2005.4002147628375,1993.1181328020552,1990.2750782861763,1990.0417559545035,1982.1804282521393,1949.495314197416,1924.6105757486187,1899.7432734933516
USA,2665.2510470173956,2624.433815971245,2653.3837394380653,2745.1171958860045,2680.5220469705614,2671.452896829839,2702.2006113201332,2741.466006034552,2689.6519081020842,2641.7224786491665,2612.5550203289304,2633.0468016163218,2598.137947110564,2553.733897571905
