location,commodity,time_operation,total_transport_cost,total_transport_opex,total_transport_flow,transport_cost_per_unit
AUS,Aluminium,0,0.0,0.0,0.0,
AUS,Aluminium,1,0.0,0.0,0.0,
AUS,Aluminium,2,0.0,0.0,0.0,
AUS,Aluminium,3,0.0,0.0,0.0,
AUS,Aluminium,4,0.0,0.0,0.0,
AUS,Aluminium,5,0.0,0.0,0.0,
AUS,Aluminium,6,0.0,0.0,0.0,
AUS,Aluminium,7,0.0,0.0,0.0,
AUS,Aluminium,8,0.0,0.0,0.0,
AUS,Aluminium,9,0.0,0.0,0.0,
AUS,Aluminium,10,0.0,0.0,0.0,
AUS,Aluminium,11,0.0,0.0,0.0,
AUS,Aluminium,12,0.0,0.0,0.0,
AUS,Aluminium,13,0.0,0.0,0.0,
AUS,Bauxite,0,0.0,0.0,0.0,
AUS,Bauxite,1,0.0,0.0,0.0,
AUS,Bauxite,2,0.0,0.0,0.0,
AUS,Bauxite,3,0.0,0.0,0.0,
AUS,Bauxite,4,0.0,0.0,0.0,
AUS,Bauxite,5,0.0,0.0,0.0,
AUS,Bauxite,6,0.0,0.0,0.0,
AUS,Bauxite,7,0.0,0.0,0.0,
AUS,Bauxite,8,0.0,0.0,0.0,
AUS,Bauxite,9,0.0,0.0,0.0,
AUS,Bauxite,10,0.0,0.0,0.0,
AUS,Bauxite,11,0.0,0.0,0.0,
AUS,Bauxite,12,0.0,0.0,0.0,
AUS,Bauxite,13,0.0,0.0,0.0,
AUS,Compressor,0,16581.984368399997,16581.984368399997,0.8099999999999998,20471.58564
AUS,Compressor,1,16786.700224800006,16786.700224800006,0.8200000000000003,20471.58564
AUS,Compressor,2,17196.1319376,17196.1319376,0.8399999999999999,20471.58564
AUS,Compressor,3,17400.847793999998,17400.847793999998,0.85,20471.585639999998
AUS,Compressor,4,17605.563650400003,17605.563650400003,0.8600000000000001,20471.58564
AUS,Compressor,5,17810.279506800005,17810.279506800005,0.8700000000000001,20471.585640000005
AUS,Compressor,6,17605.563650400003,17605.563650400003,0.8600000000000001,20471.58564
AUS,Compressor,7,17400.847793999998,17400.847793999998,0.85,20471.585639999998
AUS,Compressor,8,17196.1319376,17196.1319376,0.8399999999999999,20471.58564
AUS,Compressor,9,16786.7002248,16786.7002248,0.8199999999999998,20471.58564
AUS,Compressor,10,16172.552655600002,16172.552655600002,0.79,20471.58564
AUS,Compressor,11,93145.714662,93145.714662,4.55,20471.58564
AUS,Compressor,12,110751.2783124,110751.2783124,5.41,20471.585639999998
AUS,Compressor,13,128152.1261064,128152.1261064,6.26,20471.58564
AUS,Copper,0,25.6354,25.6354,0.0,
AUS,Copper,1,25.6354,25.6354,0.0,
AUS,Copper,2,25.6354,25.6354,0.0,
AUS,Copper,3,25.6354,25.6354,0.0,
AUS,Copper,4,25.6354,25.6354,0.0,
AUS,Copper,5,25.6354,25.6354,0.0,
AUS,Copper,6,25.6354,25.6354,0.0,
AUS,Copper,7,25.6354,25.6354,0.0,
AUS,Copper,8,25.6354,25.6354,0.0,
AUS,Copper,9,25.6354,25.6354,0.0,
AUS,Copper,10,25.6354,25.6354,0.0,
AUS,Copper,11,25.6354,25.6354,0.0,
AUS,Copper,12,25.6354,25.6354,0.0,
AUS,Copper,13,25.6354,25.6354,0.0,
AUS,Copper_ore,0,58.135222198227,58.135222198227,10.480775,5.546843835329639
AUS,Copper_ore,1,59.862754869987,59.862754869987,10.962775,5.460547614083751
AUS,Copper_ore,2,61.736876932359,61.736876932359,11.485675,5.375119610502561
AUS,Copper_ore,3,63.66202751426249,63.66202751426249,12.0228125,5.295102748567566
AUS,Copper_ore,4,65.58717809616601,65.58717809616601,12.55995,5.221929872027039
AUS,Copper_ore,5,55.45185820012231,55.45185820012231,13.0970875,4.233907592059861
AUS,Copper_ore,6,65.004801072024,65.004801072024,13.6627,4.75782979001398
AUS,Copper_ore,7,66.829452924585,66.829452924585,14.228312499999998,4.696934574959962
AUS,Copper_ore,8,68.654104777146,68.654104777146,14.793924999999998,4.640695743499173
AUS,Copper_ore,9,70.524686450478,70.524686450478,15.373775,4.58733697159468
AUS,Copper_ore,10,72.441197944581,72.441197944581,15.9678625,4.536687233158539
