commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
Aluminium,0.3583014347828394,0.36226461945530886,0.3722974676234322,0.38592185724417544,0.4004982216566645,0.41541056804578586,0.42691465361294895,0.425414379143364,0.4286977545494929,0.4441002682927526,0.4562739428203883,0.4699830385730727,0.4788424953482269,0.4891540197081313,0.42243390863261315
Bauxite,0.07612866190093913,0.07029508144399059,0.06476514515622969,0.05953487683506793,0.054599896600959784,0.0499553226359568,0.045595692252797984,0.04151489247786919,0.03770611437157153,0.03416182073530503,0.05590568105365514,0.12362179938130924,0.18604735672484343,0.24341101809673674,0.08166023997623087
Compressor,0.15488685936592403,0.15350790156065214,0.1531645407653523,0.15698276386237456,0.17393938903525313,0.18030626807066646,0.19816494735653062,0.1679308874133149,0.14532441497031642,0.13415453715260658,0.12263052080175382,0.1367562044450868,0.10848436957664888,0.09860895024488778,0.14891732533009772
Copper,0.001854526271802553,0.0017576294748023545,0.0016609309606874082,0.0015647905424598261,0.0014695854372757098,0.0013663423000710197,0.0012285076355516172,0.001103161356385249,0.0009892441100427442,0.0008858027134171281,0.0007919738313077768,0.0007069705671589434,0.0006300716983352598,0.0005606129084602432,0.0011835821291255595
Copper_ore,0.0007600227958145676,0.0007019673217988186,0.0006494877265266063,0.000599231519106149,0.0005598841810719107,0.0005215962721636844,0.0005036664722922943,0.0005166106388263663,0.0004924626571018215,0.000469921478326532,0.0004534930931200341,0.00043216431225709184,0.000413562668255478,0.00044171284464698894,0.000536841712950596
HEX,1.7029537055377562,1.5408847378189416,1.4883400409639602,1.4062593988111207,1.3417927194602135,1.251998342028344,1.1860914788560557,1.0216873743509183,0.845704636027558,0.8085852541850388,0.762717633915659,0.6684073475810561,0.6282838957733742,0.5955431104161985,1.089232119694728
HP,0.2076880560545471,0.18522476876053898,0.20035744065029346,0.2505796841996666,0.2143557863750605,0.24728416394503003,0.27737677868755195,0.297356375758268,0.2405802862934735,0.2116208132865391,0.19596922553290572,0.2657720406011098,0.22945767186780847,0.2034736721800874,0.2305069117280629
Iron,0.40323635721798085,0.37866514749293845,0.36015146212375415,0.35099160229264703,0.33436901054705936,0.3162480103450524,0.29202270782376794,0.27519569752737555,0.2503046574420778,0.22787023387947006,0.20720320370301587,0.18800529822961548,0.17083104320752251,0.1552635737081845,0.27931128611003303
Nickel,0.00029075510969093143,0.00025300117100095313,0.0002461019910308409,0.00024965409515746614,0.0002435668904447521,0.00024352758970308544,0.0002466362783442599,0.00029709340303954234,0.00032803054995377603,0.000326979920699033,0.00032984607571042324,0.0003302925551080778,0.0003336992531706019,0.0003368552869264128,0.0002897171549985826
Steel,0.020591480507727168,0.019008999075247578,0.017538483115236203,0.01612042965342306,0.014780210643883317,0.013530994610129318,0.012392521568888322,0.011292230040990961,0.010246010062492919,0.009273430065120953,0.008373919628447754,0.0075455094100562396,0.006780551666063445,0.006076890898435184,0.012396547210438747
