location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
AUS,Aluminium,0,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,1,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,2,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,3,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,4,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,5,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,6,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,7,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,8,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,9,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,10,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,11,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,12,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Aluminium,13,96868.08,60.0,1614.468,0.0,0.0,,1614.468,96868.08,,Tariffs
AUS,Bauxite,0,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,Tariffs
AUS,Bauxite,1,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,Tariffs
AUS,Bauxite,2,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,Tariffs
AUS,Bauxite,3,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,Tariffs
AUS,Bauxite,4,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,Tariffs
AUS,Bauxite,5,7358.4,240.0,30.66,0.0,0.0,,30.66,7358.4,,Tariffs
