location,time_operation,lcohp,scenario
AUS,0,145.38743664691154,Tariffs
AUS,1,154.45192342949775,Tariffs
AUS,2,148.57278480232117,Tariffs
AUS,3,154.49526479412268,Tariffs
AUS,4,149.48863061019594,Tariffs
AUS,5,148.7876064531405,Tariffs
AUS,6,171.5904315500431,Tariffs
AUS,7,151.81663439955594,Tariffs
AUS,8,162.5507448866679,Tariffs
AUS,9,154.96108665716434,Tariffs
AUS,10,165.8749153334736,Tariffs
AUS,11,141.0309785180425,Tariffs
AUS,12,138.92496543713906,Tariffs
AUS,13,137.59391422424252,Tariffs
AUT,0,158.94979060011875,Tariffs
AUT,1,280.86850271760215,Tariffs
AUT,2,366.1768742758533,Tariffs
AUT,3,363.69988613736405,Tariffs
AUT,4,363.69988613736405,Tariffs
AUT,5,374.15036420602286,Tariffs
AUT,6,374.1993352522728,Tariffs
AUT,7,376.5419959281263,Tariffs
AUT,8,221.465103673444,Tariffs
AUT,9,228.13148337968542,Tariffs
AUT,10,166.6837993617492,Tariffs
AUT,11,152.23967359433195,Tariffs
AUT,12,120.01017194161597,Tariffs
AUT,13,120.38511405322411,Tariffs
BRA,0,113.32310474098645,Tariffs
BRA,1,128.06743077276275,Tariffs
BRA,2,113.31475404858168,Tariffs
BRA,3,260.9745191621325,Tariffs
BRA,4,147.5745191621325,Tariffs
BRA,5,147.45855332738302,Tariffs
BRA,6,147.7976334277102,Tariffs
BRA,7,147.99417116418354,Tariffs
BRA,8,156.02574057756394,Tariffs
BRA,9,148.01510787756396,Tariffs
BRA,10,148.01510787756396,Tariffs
BRA,11,112.78301979779556,Tariffs
BRA,12,132.44968646446222,Tariffs
BRA,13,112.78301979779556,Tariffs
CHN,0,98.6720059984907,Tariffs
CHN,1,99.65353429846768,Tariffs
CHN,2,98.05521503029252,Tariffs
CHN,3,100.95824283459675,Tariffs
CHN,4,104.65196623508228,Tariffs
CHN,5,105.28959296799708,Tariffs
CHN,6,103.59995094099106,Tariffs
CHN,7,102.81474830979406,Tariffs
CHN,8,100.43626325863576,Tariffs
CHN,9,99.34331486592758,Tariffs
CHN,10,98.26203294997552,Tariffs
CHN,11,96.47352931119538,Tariffs
CHN,12,96.302248369373,Tariffs
CHN,13,96.54621049313353,Tariffs
CZE,0,283.8878273623252,Tariffs
CZE,1,288.6429250568934,Tariffs
CZE,2,286.3237574430951,Tariffs
CZE,3,266.3642454643187,Tariffs
CZE,4,270.4925309989627,Tariffs
CZE,5,268.4837535141031,Tariffs
CZE,6,267.8384348301561,Tariffs
CZE,7,267.3028445638734,Tariffs
CZE,8,245.23893801653847,Tariffs
CZE,9,258.89482474471146,Tariffs
CZE,10,232.7751111708625,Tariffs
CZE,11,310.2623860029914,Tariffs
CZE,12,249.06675298946988,Tariffs
CZE,13,186.67143536397003,Tariffs
DEU,0,186.14718955083458,Tariffs
DEU,1,193.46079467954752,Tariffs
DEU,2,193.09478250233013,Tariffs
DEU,3,189.84782801618869,Tariffs
DEU,4,192.47846785999087,Tariffs
DEU,5,191.3271260398915,Tariffs
DEU,6,192.21068340482907,Tariffs
DEU,7,189.46518663503488,Tariffs
DEU,8,190.17772764405623,Tariffs
DEU,9,181.961860491127,Tariffs
DEU,10,175.82064323993836,Tariffs
DEU,11,181.8998696667817,Tariffs
DEU,12,182.49646231266854,Tariffs
DEU,13,175.1935228326911,Tariffs
ITA,0,206.1214600886416,Tariffs
ITA,1,206.5098006162658,Tariffs
ITA,2,205.0311509063219,Tariffs
ITA,3,197.15741827725685,Tariffs
ITA,4,194.4239322097037,Tariffs
ITA,5,194.99441044507782,Tariffs
ITA,6,196.19753023371334,Tariffs
ITA,7,195.940649687442,Tariffs
ITA,8,219.22430727491914,Tariffs
ITA,9,184.29476724714354,Tariffs
ITA,10,188.04810133012202,Tariffs
ITA,11,295.9074110370105,Tariffs
ITA,12,202.93073059773707,Tariffs
ITA,13,201.83180600892004,Tariffs
JPN,0,181.58324182883698,Tariffs
JPN,1,181.6287940651326,Tariffs
JPN,2,181.67167304047564,Tariffs
JPN,3,181.71200761423387,Tariffs
JPN,4,183.2853227723789,Tariffs
JPN,5,185.77576470649498,Tariffs
JPN,6,185.22967358621247,Tariffs
JPN,7,191.75606736842732,Tariffs
JPN,8,192.2549786686015,Tariffs
JPN,9,192.3040935649518,Tariffs
JPN,10,214.16905481110757,Tariffs
JPN,11,170.48872331208705,Tariffs
JPN,12,151.39011707194973,Tariffs
JPN,13,194.61789532899598,Tariffs
KOR,0,259.4100711240622,Tariffs
KOR,1,241.48818886716373,Tariffs
KOR,2,237.42182513222568,Tariffs
KOR,3,234.51687088038972,Tariffs
KOR,4,231.64317586766094,Tariffs
KOR,5,229.863495182421,Tariffs
KOR,6,227.36371094102586,Tariffs
KOR,7,230.40055462488766,Tariffs
KOR,8,228.65041170626924,Tariffs
KOR,9,247.22878428386093,Tariffs
KOR,10,216.83363460608797,Tariffs
KOR,11,213.94908910148416,Tariffs
KOR,12,211.9149721381946,Tariffs
KOR,13,209.98353245424852,Tariffs
ROE,0,161.86403082633478,Tariffs
ROE,1,162.42504231007882,Tariffs
ROE,2,162.0783561126081,Tariffs
ROE,3,159.38619256569498,Tariffs
ROE,4,161.37757566403994,Tariffs
ROE,5,165.02505782632196,Tariffs
ROE,6,169.12384592988374,Tariffs
ROE,7,186.54156515200208,Tariffs
ROE,8,191.8915841045114,Tariffs
ROE,9,195.54505996016903,Tariffs
ROE,10,176.8494265552177,Tariffs
ROE,11,172.8625654161985,Tariffs
ROE,12,165.3133927526469,Tariffs
ROE,13,158.444667904488,Tariffs
ROW,0,149.72932978374436,Tariffs
ROW,1,142.88932691123432,Tariffs
ROW,2,140.61723003840717,Tariffs
ROW,3,151.33748297839463,Tariffs
ROW,4,156.10270778638272,Tariffs
ROW,5,156.4151736473541,Tariffs
ROW,6,158.87268551012724,Tariffs
ROW,7,166.61028030812932,Tariffs
ROW,8,171.2632584814237,Tariffs
ROW,9,172.81106823637904,Tariffs
ROW,10,175.23603118634264,Tariffs
ROW,11,184.33351564444774,Tariffs
ROW,12,203.8497782038487,Tariffs
ROW,13,180.70749123612094,Tariffs
USA,0,158.8785912034077,Tariffs
USA,1,162.69301877352856,Tariffs
USA,2,164.06565033726355,Tariffs
USA,3,176.79524023190825,Tariffs
USA,4,178.86682957899987,Tariffs
USA,5,180.1948315655786,Tariffs
USA,6,171.3622731308013,Tariffs
USA,7,167.40690912260771,Tariffs
USA,8,174.7191878578168,Tariffs
USA,9,170.6145735010616,Tariffs
USA,10,183.08426822670936,Tariffs
USA,11,160.1906205824073,Tariffs
USA,12,172.89798713146342,Tariffs
USA,13,173.79592628687797,Tariffs
