location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
AUS,0,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,1,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,2,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,3,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,4,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,5,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,6,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,7,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,8,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,9,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,10,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,11,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,12,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,13,Aluminium,1614.468,4.0375,6.518414549999999,Tariffs
AUS,0,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,1,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,2,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,3,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,4,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,5,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,6,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,7,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,8,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,9,Bauxite,30.66,16.15,0.49515899999999996,Tariffs
AUS,10,Bauxite,30.660000000000004,16.15,0.495159,Tariffs
AUS,11,Bauxite,30.660000000000007,16.15,0.49515900000000007,Tariffs
AUS,12,Bauxite,30.660000000000004,16.15,0.495159,Tariffs
AUS,13,Bauxite,30.660000000000004,16.15,0.495159,Tariffs
AUS,0,Compressor,28076.475237194136,1.0,28.076475237194135,Tariffs
AUS,1,Compressor,30998.047313305782,1.0,30.998047313305783,Tariffs
AUS,2,Compressor,31193.521977663524,1.0,31.193521977663526,Tariffs
AUS,3,Compressor,31858.896320468753,1.0,31.85889632046875,Tariffs
AUS,4,Compressor,32207.693713689594,1.0,32.20769371368959,Tariffs
AUS,5,Compressor,32545.39348754734,1.0,32.54539348754734,Tariffs
AUS,6,Compressor,33802.801309168724,1.0,33.80280130916872,Tariffs
AUS,7,Compressor,34485.21272422194,1.0,34.485212724221945,Tariffs
AUS,8,Compressor,35157.24121498217,1.0,35.15724121498217,Tariffs
AUS,9,Compressor,36285.54651256,1.0,36.28554651256,Tariffs
AUS,10,Compressor,37605.05113896149,1.0,37.60505113896149,Tariffs
AUS,11,Compressor,27096.1200795,1.0,27.0961200795,Tariffs
AUS,12,Compressor,27558.410548107182,1.0,27.558410548107183,Tariffs
AUS,13,Compressor,28031.48688660444,1.0,28.03148688660444,Tariffs
AUS,0,Copper_ore,3061.8577123457057,5.51666667,16.891248389980003,Tariffs
AUS,1,Copper_ore,3061.7688418693397,5.51666667,16.890758121185087,Tariffs
AUS,2,Copper_ore,3061.680865509961,5.51666667,16.890272784935558,Tariffs
AUS,3,Copper_ore,3061.5984617090194,5.51666667,16.88981819063342,Tariffs
AUS,4,Copper_ore,3061.523106052638,5.51666667,16.889402478595464,Tariffs
AUS,5,Copper_ore,2874.535852456109,5.51666667,15.857856128964652,Tariffs
AUS,6,Copper_ore,3061.3869687968913,5.51666667,16.88865145473414,Tariffs
AUS,7,Copper_ore,3061.325330101296,5.51666667,16.88831141459657,Tariffs
AUS,8,Copper_ore,3061.2684046399113,5.51666667,16.887997375801074,Tariffs
AUS,9,Copper_ore,3061.214394401244,5.51666667,16.887699419317578,Tariffs
AUS,10,Copper_ore,2869.724480959637,5.51666667,15.831313396193078,Tariffs
AUS,11,Copper_ore,2965.320456406111,5.51666667,16.358684527724783,Tariffs
AUS,12,Copper_ore,2976.4557859298116,5.51666667,16.420114428967647,Tariffs
AUS,13,Copper_ore,2985.2699411239987,5.51666667,16.468739185151627,Tariffs
AUS,0,HEX,30158.02572,1.0,30.15802572,Tariffs
AUS,1,HEX,36158.02572,1.0,36.15802572,Tariffs
AUS,2,HEX,30158.02572,1.0,30.15802572,Tariffs
AUS,3,HEX,35478.88600970307,1.0,35.47888600970307,Tariffs
AUS,4,HEX,30158.02572,1.0,30.15802572,Tariffs
AUS,5,HEX,30158.02572,1.0,30.15802572,Tariffs
AUS,6,HEX,50654.843858613865,1.0,50.654843858613866,Tariffs
AUS,7,HEX,30158.025719999998,1.0,30.158025719999998,Tariffs
AUS,8,HEX,40158.02572,1.0,40.15802572,Tariffs
AUS,9,HEX,30158.02572,1.0,30.15802572,Tariffs
AUS,10,HEX,38729.45429142857,1.0,38.72945429142857,Tariffs
AUS,11,HEX,30158.02572,1.0,30.15802572,Tariffs
AUS,12,HEX,37658.02572,1.0,37.65802572,Tariffs
AUS,13,HEX,36824.69238666667,1.0,36.82469238666667,Tariffs
AUS,0,HP,39547.20172884402,1.0,39.547201728844016,Tariffs
AUS,1,HP,39690.64827005707,1.0,39.69064827005707,Tariffs
AUS,2,HP,39616.56268392246,1.0,39.61656268392246,Tariffs
AUS,3,HP,39553.30147590548,1.0,39.55330147590548,Tariffs
AUS,4,HP,39519.181631815605,1.0,39.519181631815606,Tariffs
AUS,5,HP,39512.0370332871,1.0,39.5120370332871,Tariffs
AUS,6,HP,39529.871383771824,1.0,39.52987138377183,Tariffs
AUS,7,HP,39570.849355170714,1.0,39.570849355170715,Tariffs
AUS,8,HP,39633.27179276868,1.0,39.63327179276868,Tariffs
AUS,9,HP,40915.63086445816,1.0,40.91563086445816,Tariffs
AUS,10,HP,42989.6645790359,1.0,42.9896645790359,Tariffs
AUS,11,HP,36712.878835180345,1.0,36.71287883518035,Tariffs
AUS,12,HP,26535.43807901748,1.0,26.53543807901748,Tariffs
AUS,13,HP,25459.041827269975,1.0,25.459041827269974,Tariffs
AUS,0,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,1,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,2,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,3,Iron,35.17089192,29.89,1.0512579594888,Tariffs
AUS,4,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,5,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,6,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,7,Iron,35.17089192,29.89,1.0512579594888,Tariffs
AUS,8,Iron,35.17089192,29.89,1.0512579594888,Tariffs
AUS,9,Iron,35.17089191999999,29.89,1.0512579594887996,Tariffs
AUS,10,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,11,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,12,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,13,Iron,35.170891919999995,29.89,1.0512579594887999,Tariffs
AUS,0,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,0,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,1,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,1,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,2,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,2,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,3,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,3,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,4,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,4,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,5,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,5,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,6,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,6,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,7,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,7,Nickel,3959.405020620001,0.605625,2.397914665612988,Tariffs
AUS,8,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,8,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,9,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,9,Nickel,3959.4050206200013,0.605625,2.397914665612988,Tariffs
AUS,10,Nickel,3963.756590888989,0.605625,2.400550085357144,Tariffs
AUS,10,Nickel,3963.756590888989,0.605625,2.400550085357144,Tariffs
AUS,11,Nickel,3952.382170435083,0.605625,2.3936614519697472,Tariffs
AUS,11,Nickel,3952.382170435083,0.605625,2.3936614519697472,Tariffs
AUS,12,Nickel,3991.800613335366,0.605625,2.417534246451231,Tariffs
AUS,12,Nickel,3991.800613335366,0.605625,2.417534246451231,Tariffs
AUS,13,Nickel,4038.8652602705747,0.605625,2.4460377732513665,Tariffs
AUS,13,Nickel,4038.8652602705747,0.605625,2.4460377732513665,Tariffs
AUS,0,Refrigerant,15112.78647278788,0.56875,8.595397306398107,Tariffs
AUS,1,Refrigerant,15112.713389810195,0.56875,8.595355740454547,Tariffs
AUS,2,Refrigerant,15112.638894601056,0.56875,8.59531337130435,Tariffs
AUS,3,Refrigerant,15112.57060732601,0.56875,8.595274532916667,Tariffs
AUS,4,Refrigerant,15112.507783032968,0.56875,8.5952388016,Tariffs
AUS,5,Refrigerant,15112.44979137786,0.56875,8.595205818846157,Tariffs
AUS,6,Refrigerant,15112.396095400898,0.56875,8.59517527925926,Tariffs
AUS,7,Refrigerant,15112.346234850866,0.56875,8.59514692107143,Tariffs
AUS,8,Refrigerant,15112.299812959456,0.56875,8.595120518620691,Tariffs
AUS,9,Refrigerant,15112.25648586081,0.56875,8.595095876333335,Tariffs
AUS,10,Refrigerant,15112.215954058847,0.56875,8.59507282387097,Tariffs
AUS,11,Refrigerant,15111.538493940345,0.56875,8.59468751842857,Tariffs
AUS,12,Refrigerant,15111.471182197802,0.56875,8.594649234875,Tariffs
AUS,13,Refrigerant,15111.418828620268,0.56875,8.594619458777776,Tariffs
AUS,0,Steel,495.59999592000014,18.68125,9.258427423780502,Tariffs
AUS,1,Steel,495.5999959200001,18.68125,9.258427423780502,Tariffs
AUS,2,Steel,495.5999959200001,18.68125,9.258427423780502,Tariffs
AUS,3,Steel,495.5999959200002,18.68125,9.258427423780503,Tariffs
AUS,4,Steel,495.59999592,18.68125,9.2584274237805,Tariffs
