location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,145.38743664691154,154.45192342949775,148.57278480232117,154.49526479412268,149.48863061019594,148.7876064531405,171.5904315500431,151.81663439955594,162.5507448866679,154.96108665716434,165.8749153334736,141.0309785180425,138.92496543713906,137.59391422424252,151.82337983875132
AUT,158.94979060011875,280.86850271760215,366.1768742758533,363.69988613736405,363.69988613736405,374.15036420602286,374.1993352522728,376.5419959281263,221.465103673444,228.13148337968542,166.6837993617492,152.23967359433195,120.01017194161597,120.38511405322411,261.9429986613411
BRA,113.32310474098645,128.06743077276275,113.31475404858168,260.9745191621325,147.5745191621325,147.45855332738302,147.7976334277102,147.99417116418354,156.02574057756394,148.01510787756396,148.01510787756396,112.78301979779556,132.44968646446222,112.78301979779556,144.04116915704412
CHN,98.6720059984907,99.65353429846768,98.05521503029252,100.95824283459675,104.65196623508228,105.28959296799708,103.59995094099106,102.81474830979406,100.43626325863576,99.34331486592758,98.26203294997552,96.47352931119538,96.302248369373,96.54621049313353,100.07563256171092
CZE,283.8878273623252,288.6429250568934,286.3237574430951,266.3642454643187,270.4925309989627,268.4837535141031,267.8384348301561,267.3028445638734,245.23893801653847,258.89482474471146,232.7751111708625,310.2623860029914,249.06675298946988,186.67143536397003,263.0175548230194
DEU,186.14718955083458,193.46079467954752,193.09478250233013,189.84782801618869,192.47846785999087,191.3271260398915,192.21068340482907,189.46518663503488,190.17772764405623,181.961860491127,175.82064323993836,181.8998696667817,182.49646231266854,175.1935228326911,186.827296062565
ITA,206.1214600886416,206.5098006162658,205.0311509063219,197.15741827725685,194.4239322097037,194.99441044507782,196.19753023371334,195.940649687442,219.22430727491914,184.29476724714354,188.04810133012202,295.9074110370105,202.93073059773707,201.83180600892004,206.32953399716254
JPN,181.58324182883698,181.6287940651326,181.67167304047564,181.71200761423387,183.2853227723789,185.77576470649498,185.22967358621247,191.75606736842732,192.2549786686015,192.3040935649518,214.16905481110757,170.48872331208705,151.39011707194973,194.61789532899598,184.84767198142046
KOR,259.4100711240622,241.48818886716373,237.42182513222568,234.51687088038972,231.64317586766094,229.863495182421,227.36371094102586,230.40055462488766,228.65041170626924,247.22878428386093,216.83363460608797,213.94908910148416,211.9149721381946,209.98353245424852,230.0477369221416
ROE,161.86403082633478,162.42504231007882,162.0783561126081,159.38619256569498,161.37757566403994,165.02505782632196,169.12384592988374,186.54156515200208,191.8915841045114,195.54505996016903,176.8494265552177,172.8625654161985,165.3133927526469,158.444667904488,170.6234545057283
ROW,149.72932978374436,142.88932691123432,140.61723003840717,151.33748297839463,156.10270778638272,156.4151736473541,158.87268551012724,166.61028030812932,171.2632584814237,172.81106823637904,175.23603118634264,184.33351564444774,203.8497782038487,180.70749123612094,165.0553828537383
USA,158.8785912034077,162.69301877352856,164.06565033726355,176.79524023190825,178.86682957899987,180.1948315655786,171.3622731308013,167.40690912260771,174.7191878578168,170.6145735010616,183.08426822670936,160.1906205824073,172.89798713146342,173.79592628687797,171.111850537888
