location,commodity,time_operation,total_production,total_production_cost,production_cost_per_unit,opex_cost,total_import_flow,total_import_production_cost,total_transport_cost,total_transport_opex,total_import_cost,total_output,domestic_ratio,import_ratio,weighted_cost,weighted_cost_per_unit,transport_to_production_ratio
AUS,Aluminium,0,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,1,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,2,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,3,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,4,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,5,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,6,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,7,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,8,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,9,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,10,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,11,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,12,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Aluminium,13,60.0,96868.08,1614.468,96868.08,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,96868.08,1614.468,0.0
AUS,Bauxite,0,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,1,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,2,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,3,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,4,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,5,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,6,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,7,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,8,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,9,240.0,7358.4,30.66,7358.4,0.0,0.0,0.0,0.0,0.0,240.0,1.0,0.0,7358.4,30.66,0.0
AUS,Bauxite,10,374.74417055999993,11489.6562693696,30.660000000000004,11489.6562693696,0.0,0.0,0.0,0.0,0.0,374.74417055999993,1.0,0.0,11489.6562693696,30.660000000000004,0.0
AUS,Bauxite,11,857.9798340799998,26305.6617128928,30.660000000000007,26305.6617128928,0.0,0.0,0.0,0.0,0.0,857.9798340799998,1.0,0.0,26305.6617128928,30.660000000000007,0.0
AUS,Bauxite,12,1407.4753921600004,43153.19552362562,30.660000000000004,43153.19552362562,0.0,0.0,0.0,0.0,0.0,1407.4753921600004,1.0,0.0,43153.19552362562,30.660000000000004,0.0
AUS,Bauxite,13,2033.382217440001,62343.49878671044,30.660000000000004,62343.49878671044,0.0,0.0,0.0,0.0,0.0,2033.382217440001,1.0,0.0,62343.49878671044,30.660000000000004,0.0
AUS,Compressor,0,1.3,72922.408884,56094.16068,72922.408884,0.8099999999999998,22913.076041999997,14371.052173199998,14371.052173199998,37284.12821519999,2.11,0.6161137440758294,0.3838862559241706,59241.362750479624,28076.475237194136,0.19707319592336134
AUS,Compressor,1,1.38,86289.94173839998,62528.94328869564,77409.9417384,0.8200000000000003,23195.953524000008,14548.472570400005,14548.472570400005,37744.42609440001,2.2,0.6272727272727272,0.37272727272727285,68195.70408927272,30998.047313305782,0.1685998654919218
AUS,Compressor,2,1.46,90777.47459280002,62176.35246082193,81897.4745928,0.8399999999999999,23761.70848799999,14903.313364799997,14903.313364799997,38665.02185279998,2.3,0.6347826086956522,0.36521739130434777,71745.1005486261,31193.521977663524,0.16417413495640523
AUS,Compressor,3,1.55,96935.94905400001,62539.321970322584,86945.949054,0.85,24044.58597,15080.733761999998,15080.733761999998,39125.319731999996,2.4,0.6458333333333334,0.3541666666666667,76461.351169125,31858.896320468753,0.15557421069451735
AUS,Compressor,4,1.64,101984.42351519999,62185.62409463414,91994.4235152,0.8600000000000001,24327.463452000004,15258.154159200005,15258.154159200005,39585.61761120001,2.5,0.6559999999999999,0.34400000000000003,80519.23428422399,32207.693713689594,0.14961259409311556
AUS,Compressor,5,1.73,107032.89797640001,61868.727153988446,97042.8979764,0.8700000000000001,24610.340934,15435.5745564,15435.5745564,40045.9154904,2.6,0.6653846153846154,0.33461538461538465,84618.02306762309,32545.39348754734,0.14421336662119935
AUS,Compressor,6,1.84,115423.25565120002,62730.0302452174,103213.2556512,0.8600000000000001,24327.463452,15258.154159200005,15258.154159200005,39585.6176112,2.7,0.6814814814814815,0.31851851851851853,91267.56353475557,33802.801309168724,0.13219306692672875
AUS,Compressor,7,1.95,121593.61332599999,62355.69914153846,109383.613326,0.85,24044.58597,15080.733761999998,15080.733761999998,39125.319731999996,2.8,0.6964285714285715,0.3035714285714286,96558.59562782143,34485.21272422194,0.12402570619862754
AUS,Compressor,8,2.06,127763.97100080001,62021.34514601942,115553.9710008,0.8399999999999999,23761.708487999997,14903.313364799997,14903.313364799997,38665.0218528,2.9,0.710344827586207,0.28965517241379307,101955.99952344829,35157.24121498217,0.11664723042074732
AUS,Compressor,9,2.18,135605.27028240002,62204.252423119266,122285.2702824,0.8199999999999998,23195.953523999997,14548.472570399996,14548.472570399996,37744.42609439999,3.0,0.7266666666666667,0.27333333333333326,108856.63953768,36285.54651256,0.10728545092755305
AUS,Compressor,10,2.31,144007.5111708,62340.91392675324,129577.5111708,0.79,22347.321078,14016.2113788,14016.2113788,36363.5324568,3.1,0.7451612903225806,0.25483870967741934,116575.65853078062,37605.05113896149,0.09732972443483233
AUS,Compressor,11,2.45,152970.69366600006,62437.01782285717,137430.69366600004,4.55,128709.25431,80726.28072599998,80726.28072599998,209435.535036,7.0,0.35000000000000003,0.65,189672.8405565,27096.1200795,0.5277238325287307
AUS,Compressor,12,2.59,160823.87616119997,62094.16067999999,145283.8761612,5.41,153036.717762,95984.4348852,95984.4348852,249021.15264719998,8.0,0.32375,0.67625,220467.28438485746,27558.410548107182,0.5968295080078228
AUS,Compressor,13,2.74,170348.00026320008,62170.80301576645,153698.00026320005,6.26,177081.30373199997,111065.1686472,111065.1686472,288146.4723792,9.0,0.30444444444444446,0.6955555555555555,252283.38197944,28031.48688660444,0.6519898588512705
AUS,Copper,0,0.0,0.0,,0.0,0.0,0.0,25.6354,25.6354,25.6354,0.0,0.0,0.0,0.0,,
