location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2728.865339243978,2759.331646921416,2774.2076612453798,2803.4553840157932,2819.709390295774,2836.933738083502,2929.9356234881357,2947.245899945554,3007.483691268154,3058.3445475006565,2506.3869744969566,1339.222848304063,966.0576748498034,751.8570269854149
AUT,4696.013605848545,4779.96211260677,4700.741029916585,3971.7382789390012,3971.7382789390012,3895.619260315381,3972.2104221335885,3923.8861091043013,4159.012633920893,3739.81013130274,3698.9860582050196,3819.523925828493,3798.2803647700935,3816.746412162152
BRA,3230.8444605947666,3109.147561849411,2992.9523343792416,2762.8197961786013,2762.8197961786013,2762.0781432791605,2763.184575736959,2763.8258865381717,2749.5805761201295,2749.5805761201295,2749.5805761201295,2977.6438962593807,3025.178660146407,3025.178660146407
CHN,990.7253111719626,989.7137065570589,992.2177958145393,984.2901472768291,984.050081895911,980.3170360420249,967.2788060478044,956.1098273120075,947.7676149904777,930.2653661626368,934.4744095557621,906.8598427710082,878.4709421669294,847.3735678610616
CZE,3209.449492959987,3187.80296919219,3059.3283561707563,2850.4322462025407,2672.5869363615875,2479.5132162379027,2454.8086131847053,2475.437877271843,2258.6280753769074,2049.422579825112,1937.0279411162135,1729.1905326807332,1671.5460412041748,1683.3533369291226
DEU,2961.7813389148328,2910.8222479782007,2831.1954135568953,2801.998749551016,2795.9407494682087,2755.829542341845,2706.4186049984123,2679.5582780641353,2629.3793284279573,2644.8387907712454,2673.5112240144654,2440.6470601859396,2440.1092572436705,2289.5433513015514
ITA,4911.047703860358,4800.5762954184365,4644.367768045696,4533.305304047816,4374.7401490204375,4434.321454932055,4540.197851761935,4674.103135762531,4735.594446039268,4825.228301850663,5225.361609678123,2596.158970533232,2534.753477398973,2478.562537206842
JPN,4281.214036936055,4155.754945827781,4037.785967880316,3926.917194019764,3822.77218757166,3715.4305136631647,3609.2456800102414,3516.446092363282,3435.5574208832577,3359.7285402662615,3159.781390528803,3234.740281691053,3231.3716341242407,3236.879752412363
KOR,3313.5445522339965,3241.3280697791483,3180.4860075367096,3108.8849522779824,3047.9430144951502,2991.14658364165,2939.203167349179,2890.9360123149154,2842.7986545004073,2697.1301294609852,2663.270899560939,2763.6135347873324,2742.353034697959,2720.4531192028003
ROE,2105.7500881598435,2140.022545169825,2209.334794135429,2285.537527617009,2374.6117953170924,2481.2899935813493,2599.6857498243858,2742.082562801917,2889.185036928928,3061.0204805470757,3102.6696330523528,3095.2677697462364,3116.1000485038476,3017.862085803191
ROW,2793.4251905123283,2909.6028604795574,3012.476196520772,3061.031063382175,3087.91711083374,3082.8330166294304,3030.178615376929,2908.7721218873867,2879.3587899366908,2871.4190207803463,2775.2750827595505,2537.454054213621,2490.069909640305,2484.374075514059
TOTAL,1994.3563697363522,1976.0820156490324,1960.5425745707664,1941.2855149246373,1923.6954638292432,1909.0617538841973,1904.8736457031907,1897.0598563570097,1884.7131268725334,1873.4373502729238,1871.9214081240834,1801.000748418574,1766.4209533962805,1740.2590423453064
USA,2136.463984299534,2061.617532326937,2061.621190644804,2047.996105312506,2024.6852191828402,2002.9847281002974,2050.264750640926,2124.0791631124325,2055.9826539382116,2037.0844267823716,1995.3291860321897,1993.8780304880822,1974.2627964459793,1956.6342172291866
