location,commodity,time_operation,total_transport_cost,total_transport_opex,total_transport_flow,transport_cost_per_unit
AUS,Aluminium,0,0.0,0.0,0.0,
AUS,Aluminium,1,0.0,0.0,0.0,
AUS,Aluminium,2,0.0,0.0,0.0,
AUS,Aluminium,3,0.0,0.0,0.0,
AUS,Aluminium,4,0.0,0.0,0.0,
AUS,Aluminium,5,0.0,0.0,0.0,
AUS,Aluminium,6,0.0,0.0,0.0,
AUS,Aluminium,7,0.0,0.0,0.0,
AUS,Aluminium,8,0.0,0.0,0.0,
AUS,Aluminium,9,0.0,0.0,0.0,
AUS,Aluminium,10,0.0,0.0,0.0,
AUS,Aluminium,11,0.0,0.0,0.0,
AUS,Aluminium,12,0.0,0.0,0.0,
AUS,Aluminium,13,0.0,0.0,0.0,
AUS,Bauxite,0,0.0,0.0,0.0,
AUS,Bauxite,1,0.0,0.0,0.0,
AUS,Bauxite,2,0.0,0.0,0.0,
AUS,Bauxite,3,0.0,0.0,0.0,
AUS,Bauxite,4,0.0,0.0,0.0,
AUS,Bauxite,5,0.0,0.0,0.0,
AUS,Bauxite,6,0.0,0.0,0.0,
AUS,Bauxite,7,0.0,0.0,0.0,
AUS,Bauxite,8,0.0,0.0,0.0,
AUS,Bauxite,9,0.0,0.0,0.0,
AUS,Bauxite,10,0.0,0.0,0.0,
AUS,Bauxite,11,0.0,0.0,0.0,
AUS,Bauxite,12,0.0,0.0,0.0,
AUS,Bauxite,13,0.0,0.0,0.0,
AUS,Compressor,0,14371.052173199998,14371.052173199998,0.8099999999999998,17742.03972
AUS,Compressor,1,14548.472570400005,14548.472570400005,0.8200000000000003,17742.03972
AUS,Compressor,2,14903.313364799997,14903.313364799997,0.8399999999999999,17742.03972
AUS,Compressor,3,15080.733761999998,15080.733761999998,0.85,17742.039719999997
AUS,Compressor,4,15258.154159200005,15258.154159200005,0.8600000000000001,17742.039720000004
AUS,Compressor,5,15435.5745564,15435.5745564,0.8700000000000001,17742.039719999997
AUS,Compressor,6,15258.154159200005,15258.154159200005,0.8600000000000001,17742.039720000004
AUS,Compressor,7,15080.733761999998,15080.733761999998,0.85,17742.039719999997
AUS,Compressor,8,14903.313364799997,14903.313364799997,0.8399999999999999,17742.03972
AUS,Compressor,9,14548.472570399996,14548.472570399996,0.8199999999999998,17742.039719999997
AUS,Compressor,10,14016.2113788,14016.2113788,0.79,17742.03972
AUS,Compressor,11,80726.28072599998,80726.28072599998,4.55,17742.039719999997
AUS,Compressor,12,95984.4348852,95984.4348852,5.41,17742.03972
AUS,Compressor,13,111065.1686472,111065.1686472,6.26,17742.03972
AUS,Copper,0,25.6354,25.6354,0.0,
AUS,Copper,1,25.6354,25.6354,0.0,
AUS,Copper,2,25.6354,25.6354,0.0,
AUS,Copper,3,25.6354,25.6354,0.0,
AUS,Copper,4,25.6354,25.6354,0.0,
AUS,Copper,5,25.6354,25.6354,0.0,
AUS,Copper,6,25.6354,25.6354,0.0,
AUS,Copper,7,25.6354,25.6354,0.0,
AUS,Copper,8,25.6354,25.6354,0.0,
AUS,Copper,9,25.6354,25.6354,0.0,
AUS,Copper,10,25.6354,25.6354,0.0,
AUS,Copper,11,25.6354,25.6354,0.0,
AUS,Copper,12,25.6354,25.6354,0.0,
AUS,Copper,13,25.6354,25.6354,0.0,
AUS,Copper_ore,0,53.079595149066,53.079595149066,10.480775,5.064472345705924
AUS,Copper_ore,1,54.546403783146,54.546403783146,10.962775,4.975601869339286
AUS,Copper_ore,2,56.137678129122,56.137678129122,11.485675,4.88762550996106
AUS,Copper_ore,3,57.77227962847499,57.77227962847499,12.0228125,4.805221709019831
AUS,Copper_ore,4,59.406881127828,59.406881127828,12.55995,4.729866052637789
AUS,Copper_ore,5,57.608572117894575,57.608572117894575,13.0970875,4.3985788533438885
AUS,Copper_ore,6,62.762738433288,62.762738433288,13.6627,4.593728796891391
AUS,Copper_ore,7,64.48399423939499,64.48399423939499,14.228312499999998,4.532090101295919
AUS,Copper_ore,8,66.205250045502,66.205250045502,14.793924999999998,4.47516463991145
AUS,Copper_ore,9,67.969833004986,67.969833004986,15.373775,4.421154401244067
