location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
AUS,0,340632.06686355424,393.41267,809981.8931679155,27.4208375,1150613.9600314698,420.8335075,2734.131050701731,2.377879160426687,0.06969993493092126
AUS,1,348717.3579255753,397.76685000000003,822940.7253866073,28.296425,1171658.0833121827,426.06327500000003,2749.9626277627017,2.3599075488586454,0.07113821828038208
AUS,2,357167.0186812135,402.42925,836438.8790759544,29.235496,1193605.897757168,431.66474600000004,2765.1224910481055,2.3418704284745595,0.07264754239409785
AUS,3,366217.42491428496,407.289175,850365.6204478147,30.1963765,1216583.0453620995,437.4855515,2780.853084612326,2.3220239196615156,0.07413989458472595
AUS,4,375267.8311473565,412.14910000000003,864950.9127174062,31.175531,1240218.7438647626,443.324631,2797.540802249633,2.304889577326349,0.07564139045796775
AUS,5,384318.237380428,417.009025,880210.3252656591,32.1736925,1264528.5626460873,449.1827175,2815.176348912149,2.290316304699219,0.07715346808141622
AUS,6,394570.1345683661,422.264,896026.9985378269,33.200094,1290597.133106193,455.464094,2833.5869942498543,2.27089412004794,0.07862402193888184
AUS,7,474185.49091230414,429.818975,912122.4627994762,39.7670525,1386307.9537117803,469.5860275,2952.1916593052383,1.9235562459842621,0.09252046748285135
AUS,8,514595.4138202423,436.07394999999997,929214.873722308,43.235389,1443810.2875425504,479.30933899999997,3012.2723887559187,1.8057193064042734,0.09914691992034838
AUS,9,525448.0564856137,441.52645,966632.3754560316,44.330198,1492080.4319416452,485.856648,3071.03018572187,1.8396345053043264,0.10040213445876232
AUS,10,567174.7519484183,451.93647500000003,1020988.8781425058,47.8523675,1588163.630090924,499.78884250000004,3177.6692375659104,1.8001310436247338,0.10588295069567022
AUS,11,582872.5825048282,460.866225,1127708.135356909,49.468697500000005,1710580.7178617371,510.3349225,3351.8786241044227,1.9347421189562772,0.10733851780958782
AUS,12,625084.7418450662,467.713775,1157529.119069484,53.0441625,1782613.8609145503,520.7579375,3423.1141429592712,1.8517955112018871,0.11341158917117632
AUS,13,667897.6466627376,474.75885,1183614.3573574447,56.649876,1851512.0040201824,531.408726,3484.158075379783,1.77214931550002,0.1193234754865549
AUT,0,67855.34034629002,31.606157504000002,479426.734749088,82.49218187999999,547282.075095378,114.09833938399998,4796.582299532778,7.065423772136464,2.610003505473893
AUT,1,68395.48577595303,31.8088,479681.5718870391,85.644049,548077.0576629922,117.452849,4666.358137153336,7.013351341027962,2.6924640036719394
AUT,2,68395.48577595303,31.8088,479963.41389227554,83.68234299999999,548358.8996682286,115.491143,4748.0602011898745,7.017472110140703,2.630792202157893
AUT,3,78762.57742780032,40.13074,481814.07356129965,87.3813625,560576.6509891,127.5121025,4396.262315485701,6.117296935882609,2.17741717446526
AUT,4,81359.03473032334,42.21498528400001,482402.7519722663,84.7916404925,563761.7867025896,127.0066257765,4438.837605958211,5.929307710830914,2.008567335084138
AUT,5,86173.8192665272,46.079940796,483494.37774526275,87.6266211075,569668.19701179,133.70656190350002,4260.58518670861,5.61068758307975,1.901621824894065
AUT,6,91807.10488696229,50.601928881999996,484771.57711393177,89.64354629625,576578.6820008941,140.24547517825,4111.2105846414715,5.280327461701443,1.7715440552729165
AUT,7,98398.04099957782,55.892648470000005,486265.8985471348,90.78654736874999,584663.9395467127,146.67919583875,3986.0045332499362,4.9418249957763,1.6243021194008913
AUT,8,161699.50157829386,66.81300000000002,485833.07402699965,91.408125,647532.5756052935,158.22112500000003,4092.5797715399467,3.004542804924865,1.3681188541152167
AUT,9,171640.4507092054,70.54247475599999,486511.7000815247,92.3525943825,658152.15079073,162.8950691385,4040.3442183455068,2.8344816042564265,1.3091771262907805
AUT,10,227148.39930063466,101.21720000000002,493954.5094978077,99.43275,721102.9087984423,200.64995000000002,3593.835477150342,2.1745894358870244,0.9823700912493132
AUT,11,271967.88389015116,108.1816,493370.7133481469,101.88449999999999,765338.597238298,210.0661,3643.3227314559467,1.8140771119409862,0.9417913952095365
AUT,12,288932.2503996677,114.54600000000002,494530.5784192317,103.49625,783462.8288188993,218.04225000000002,3593.1698045626445,1.7115797137050937,0.9035343879314859
AUT,13,297414.433654426,117.72820000000002,495110.5109547741,104.30212499999999,792524.9446092001,222.030325,3569.4446000076796,1.6647158137928726,0.8859570179447234
