location,time_operation,lcohp,scenario
AUS,0,144.18337182487005,
AUS,1,147.29556892398705,
AUS,2,147.4713475959688,
AUS,3,148.11687559039842,
AUS,4,148.47172318950976,
AUS,5,146.3994106062494,
AUS,6,150.1378362677942,
AUS,7,178.46430357657593,
AUS,8,161.62114071383326,
AUS,9,154.3470153434642,
AUS,10,166.75145670416777,
AUS,11,163.17298748116787,
AUS,12,172.17634078717947,
AUS,13,173.17087977746934,
AUT,0,199.9776196408259,
AUT,1,185.85662326209874,
AUT,2,191.7515939878485,
AUT,3,458.73591780300603,
AUT,4,467.3964691697736,
AUT,5,472.2359686224729,
AUT,6,458.64235809216984,
AUT,7,442.46163190077,
AUT,8,256.9414360693948,
AUT,9,216.5994797513454,
AUT,10,289.7212978089503,
AUT,11,234.10136221991303,
AUT,12,216.67097866494527,
AUT,13,209.16065685104758,
BRA,0,37.67583088155,
BRA,1,52.42583088155,
BRA,2,258.9664294150268,
BRA,3,173.70720830374648,
BRA,4,146.05575230374663,
BRA,5,145.0017488999815,
BRA,6,146.71259980097278,
BRA,7,146.8992165650282,
BRA,8,146.8992165650282,
BRA,9,146.8992165650282,
BRA,10,282.6962981499264,
BRA,11,239.30609642968642,
BRA,12,189.77386069253396,
BRA,13,187.04701158010792,
CHN,0,98.62337536816105,
CHN,1,100.33032626672343,
CHN,2,99.9657469819627,
CHN,3,99.91238941250865,
CHN,4,105.4781821145454,
CHN,5,106.91268775535043,
CHN,6,105.51489750453675,
CHN,7,103.95273326597139,
CHN,8,101.2409500555334,
CHN,9,100.84016398357157,
CHN,10,100.82213546662376,
CHN,11,100.96880215492187,
CHN,12,101.21112923898812,
CHN,13,101.52069302828467,
CZE,0,298.68098988649706,
CZE,1,297.78866450627135,
CZE,2,300.23106253535445,
CZE,3,293.3302887795495,
CZE,4,266.7748738638447,
CZE,5,258.7980680423248,
CZE,6,248.71272462535853,
CZE,7,242.32870890063631,
CZE,8,234.39351825155114,
CZE,9,248.33615978904518,
CZE,10,336.2709849072321,
CZE,11,245.55835386222992,
CZE,12,229.22120076828236,
CZE,13,232.3236484158587,
DEU,0,135.38307194355974,
DEU,1,156.15409818242202,
DEU,2,200.87848944899432,
DEU,3,199.88618236771288,
DEU,4,199.88618236771288,
DEU,5,200.04603434378447,
DEU,6,194.283579241778,
DEU,7,231.7171462369572,
DEU,8,272.89833919981385,
DEU,9,197.80777428740544,
DEU,10,178.77029259768673,
DEU,11,171.2216292265805,
DEU,12,168.55274830178894,
DEU,13,165.7862312641532,
ITA,0,184.99088943322062,
ITA,1,147.59649863805308,
ITA,2,146.80808896816993,
ITA,3,152.44712959893067,
ITA,4,164.84594835686062,
ITA,5,166.825827824262,
ITA,6,171.01678862501936,
ITA,7,292.8400277494337,
ITA,8,230.95199012320103,
ITA,9,195.33419778219618,
ITA,10,210.45553513168232,
ITA,11,229.57046072675416,
ITA,12,232.0045532623404,
ITA,13,224.76861855568853,
JPN,0,195.37040549159045,
JPN,1,195.46385602638827,
JPN,2,195.55142831162217,
JPN,3,195.63346448181974,
JPN,4,197.2456886293229,
JPN,5,200.1571199875343,
JPN,6,200.17984477059719,
JPN,7,205.79657065174257,
JPN,8,206.71878146842425,
JPN,9,206.76897148126835,
JPN,10,231.0153842178326,
JPN,11,223.72579440461797,
JPN,12,194.89240139337986,
JPN,13,194.12483226223796,
KOR,0,259.03484370884223,
KOR,1,241.0972629834538,
KOR,2,237.06044295219544,
KOR,3,225.6030750545809,
KOR,4,225.60512057119703,
KOR,5,226.64938946372726,
KOR,6,226.63648516036216,
KOR,7,230.24645760150273,
KOR,8,228.6948085296279,
KOR,9,250.5673364111041,
KOR,10,216.86114716749876,
KOR,11,210.56843966918436,
KOR,12,208.70198522205328,
KOR,13,208.03580136564415,
ROE,0,186.5988075621608,
ROE,1,186.5992752229898,
ROE,2,182.0445719374768,
ROE,3,179.8499270280351,
ROE,4,179.16170016043145,
ROE,5,180.33046064218152,
ROE,6,181.60636194633673,
ROE,7,199.8051929355869,
ROE,8,204.75986732393312,
ROE,9,213.48874134345866,
ROE,10,218.95500985702708,
ROE,11,216.52415890983028,
ROE,12,219.02915446401892,
ROE,13,219.33044453459846,
ROW,0,155.52978917768706,
ROW,1,154.973763538785,
ROW,2,154.973763538785,
ROW,3,154.973763538785,
ROW,4,154.973763538785,
ROW,5,150.60152439209747,
ROW,6,156.57368254806048,
ROW,7,156.57368254806048,
ROW,8,158.88416101412653,
ROW,9,165.85643570552764,
ROW,10,164.69449249612012,
ROW,11,191.37691784385788,
ROW,12,191.87223576089536,
ROW,13,174.17179219019184,
USA,0,167.76128838228544,
USA,1,167.35737959323285,
USA,2,166.46602563481053,
USA,3,170.98536336677486,
USA,4,182.62988675399725,
USA,5,187.49284046837874,
USA,6,194.22203752245704,
USA,7,189.41906579193432,
USA,8,177.5223712637876,
USA,9,179.37114907407147,
USA,10,180.45414139734282,
USA,11,185.53175041733198,
USA,12,199.85646214815588,
USA,13,191.9188593041796,
