location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUS,144.18337182487005,147.29556892398705,147.4713475959688,148.11687559039842,148.47172318950976,146.3994106062494,150.1378362677942,178.46430357657593,161.62114071383326,154.3470153434642,166.75145670416777,163.17298748116787,172.17634078717947,173.17087977746934,157.27001845590254
AUT,199.9776196408259,185.85662326209874,191.7515939878485,458.73591780300603,467.3964691697736,472.2359686224729,458.64235809216984,442.46163190077,256.9414360693948,216.5994797513454,289.7212978089503,234.10136221991303,216.67097866494527,209.16065685104758,307.160956703183
BRA,37.67583088155,52.42583088155,258.9664294150268,173.70720830374648,146.05575230374663,145.0017488999815,146.71259980097278,146.8992165650282,146.8992165650282,146.8992165650282,282.6962981499264,239.30609642968642,189.77386069253396,187.04701158010792,164.29045121670814
CHN,98.62337536816105,100.33032626672343,99.9657469819627,99.91238941250865,105.4781821145454,106.91268775535043,105.51489750453675,103.95273326597139,101.2409500555334,100.84016398357157,100.82213546662376,100.96880215492187,101.21112923898812,101.52069302828467,101.94958661412024
CZE,298.68098988649706,297.78866450627135,300.23106253535445,293.3302887795495,266.7748738638447,258.7980680423248,248.71272462535853,242.32870890063631,234.39351825155114,248.33615978904518,336.2709849072321,245.55835386222992,229.22120076828236,232.3236484158587,266.62494622385975
DEU,135.38307194355974,156.15409818242202,200.87848944899432,199.88618236771288,199.88618236771288,200.04603434378447,194.283579241778,231.7171462369572,272.89833919981385,197.80777428740544,178.77029259768673,171.2216292265805,168.55274830178894,165.7862312641532,190.94798564359644
ITA,184.99088943322062,147.59649863805308,146.80808896816993,152.44712959893067,164.84594835686062,166.825827824262,171.01678862501936,292.8400277494337,230.95199012320103,195.33419778219618,210.45553513168232,229.57046072675416,232.0045532623404,224.76861855568853,196.46118248398662
JPN,195.37040549159045,195.46385602638827,195.55142831162217,195.63346448181974,197.2456886293229,200.1571199875343,200.17984477059719,205.79657065174257,206.71878146842425,206.76897148126835,231.0153842178326,223.72579440461797,194.89240139337986,194.12483226223796,203.046038827027
KOR,259.03484370884223,241.0972629834538,237.06044295219544,225.6030750545809,225.60512057119703,226.64938946372726,226.63648516036216,230.24645760150273,228.6948085296279,250.5673364111041,216.86114716749876,210.56843966918436,208.70198522205328,208.03580136564415,228.24018541864103
ROE,186.5988075621608,186.5992752229898,182.0445719374768,179.8499270280351,179.16170016043145,180.33046064218152,181.60636194633673,199.8051929355869,204.75986732393312,213.48874134345866,218.95500985702708,216.52415890983028,219.02915446401892,219.33044453459846,197.72026241914756
ROW,155.52978917768706,154.973763538785,154.973763538785,154.973763538785,154.973763538785,150.60152439209747,156.57368254806048,156.57368254806048,158.88416101412653,165.85643570552764,164.69449249612012,191.37691784385788,191.87223576089536,174.17179219019184,163.28784055941176
USA,167.76128838228544,167.35737959323285,166.46602563481053,170.98536336677486,182.62988675399725,187.49284046837874,194.22203752245704,189.41906579193432,177.5223712637876,179.37114907407147,180.45414139734282,185.53175041733198,199.85646214815588,191.9188593041796,181.49918722276718
