location,0,1,2,3,4,5,6,7,8,9,10,11,12,13
AUS,2734.131050701731,2749.9626277627017,2765.1224910481055,2780.853084612326,2797.540802249633,2815.176348912149,2833.5869942498543,2952.1916593052383,3012.2723887559187,3071.03018572187,3177.6692375659104,3351.8786241044227,3423.1141429592712,3484.158075379783
AUT,4796.582299532778,4666.358137153336,4748.0602011898745,4396.262315485701,4438.837605958211,4260.58518670861,4111.2105846414715,3986.0045332499362,4092.5797715399467,4040.3442183455068,3593.835477150342,3643.3227314559467,3593.1698045626445,3569.4446000076796
BRA,3722.118951586244,3786.40358114491,3096.92565679819,2960.2492292931497,2960.2492292931497,2913.3548628178214,2767.2559400293976,2747.621364136224,2747.621364136224,2747.621364136224,2577.1450264062264,2490.616891943342,2481.1662670090723,2481.1662670090723
CHN,996.027214134717,978.5169454041805,963.8625248316756,955.8668176949267,952.6682077765345,952.7912228504338,953.9169466552527,947.0029295586015,934.2119248332064,916.828930103479,911.5084928753221,889.9017671611155,882.482014358864,877.934455765993
CZE,6010.287241126253,5471.730018671876,5448.744378158051,5201.925916759502,4919.97878770161,4860.662143901458,4607.256574332762,4419.311662523708,4245.78835311848,3990.3134879524087,3512.8145956056737,3500.125115683259,3464.879015649373,3481.5303423722785
DEU,5532.328246872938,3997.4466479818316,3246.47693483887,3182.6212936952543,3182.6212936952556,3194.284544745899,3260.524570619899,3410.6927001186014,3387.3365048194955,3287.5894923425044,3317.0619601492713,3231.7722477272896,3340.619627100514,3392.1356743227548
ITA,8890.38089318935,6828.192660855743,6468.828291729962,6480.3429350028,5455.302180224951,5572.231603166061,5892.833782046351,5625.263540936942,4654.113442041653,4731.609678106668,4927.365499359182,5056.328382835817,4783.579815087714,4636.224942467224
JPN,4048.6927368302586,3962.3291617989066,3881.3303181144183,3805.3902359695226,3734.217178913897,3667.5328366151157,3604.501546809275,3525.75086486435,3470.916093478182,3419.5948450952424,3275.1114168635845,3050.8863308988302,3020.7514313854113,2992.682901469755
KOR,3162.9377032625703,3081.5482898833748,3028.584879112781,2902.851576656476,2877.345138500248,2858.8123872436195,2858.8203419567317,2841.7246907804874,2823.125933098182,2673.672901016856,2632.815584549469,2606.934977131291,2582.3346338682823,2554.873371246324
ROE,2031.8145174467884,2085.5800631123984,2123.1004999414617,2175.3317562686484,2225.8975875294714,2312.292471629443,2408.432572562896,2475.862862973448,2526.903623931077,2646.1080338009397,2727.3343912139576,2833.7431180571302,2984.335935776547,3028.531131204778
ROW,3009.301597552871,3174.6371155094494,3326.043136504516,3497.3156969867164,3678.245934071472,3845.5765423699795,3840.586394194985,3573.8299748851227,3369.512950324941,3281.966085938792,2942.7233008621643,2633.2811149824797,2460.060837596248,2352.943478593086
TOTAL,2107.958560011568,2074.983687807154,2048.8323584702284,2026.7285162955495,2009.888050671482,2000.9043704989888,2004.1440260538336,1992.5052657772096,1985.7593841940786,1986.6156615955035,1980.8740064826313,1957.5394890459497,1947.2958930837526,1925.1366169851738
USA,2666.530029892248,2636.3186909462306,2671.7365328689048,2712.8784736986618,2687.786581481353,2675.469496783993,2703.7062547100013,2741.466006034552,2732.539313919721,2748.249403851383,2771.61370062634,2788.850641985333,2796.742432349981,2802.9612277574392
