edge,opex_specific_variable
AUS-AUT,0.004935
AUS-BRA,0.00567
AUS-CHN,0.002625
AUS-CZE,0.00364
AUS-DEU,0.00371
AUS-ITA,0.00413
AUS-JPN,0.00301
AUS-KOR,0.00252
AUS-ROE,0.003045
AUS-ROW,0.004104
AUS-USA,0.003698
AUT-AUS,0.004935
AUT-BRA,0.005285
AUT-CHN,0.00385
AUT-CZE,0.00021
AUT-DEU,0.000735
AUT-ITA,0.00161
AUT-JPN,0.0042
AUT-KOR,0.003605
AUT-ROE,0.0035
AUT-ROW,0.000852
AUT-USA,0.003103
BRA-AUS,0.00567
BRA-AUT,0.005285
BRA-CHN,0.00308
BRA-CZE,0.004165
BRA-DEU,0.003395
BRA-ITA,0.003675
BRA-JPN,0.004445
BRA-KOR,0.00399
BRA-ROE,0.002905
BRA-ROW,0.00413
BRA-USA,0.004068
CHN-AUS,0.002625
CHN-AUT,0.00385
CHN-BRA,0.00308
CHN-CZE,0.001925
CHN-DEU,0.002205
CHN-ITA,0.003115
CHN-JPN,0.002275
CHN-KOR,0.001855
CHN-ROE,0.002485
CHN-ROW,0.002774
CHN-USA,0.002602
CZE-AUS,0.00364
CZE-AUT,0.00021
CZE-BRA,0.004165
CZE-CHN,0.001925
CZE-DEU,0.000245
CZE-ITA,0.000665
CZE-JPN,0.002625
CZE-KOR,0.0021
CZE-ROE,0.002275
CZE-ROW,0.000373
CZE-USA,0.001983
DEU-AUS,0.00371
DEU-AUT,0.000735
DEU-BRA,0.003395
DEU-CHN,0.002205
DEU-CZE,0.000245
DEU-ITA,0.001225
DEU-JPN,0.00294
DEU-KOR,0.00273
DEU-ROE,0.002345
DEU-ROW,0.000735
DEU-USA,0.00217
ITA-AUS,0.00413
ITA-AUT,0.00161
ITA-BRA,0.003675
ITA-CHN,0.003115
ITA-CZE,0.000665
ITA-DEU,0.001225
ITA-JPN,0.003675
ITA-KOR,0.00329
ITA-ROE,0.00301
ITA-ROW,0.002695
ITA-USA,0.00336
JPN-AUS,0.00371
JPN-AUT,0.003395
JPN-BRA,0.002205
JPN-CHN,0.000245
JPN-CZE,0.001225
JPN-DEU,0.00301
JPN-ITA,0.003675
JPN-KOR,0.00329
JPN-ROE,0.00301
JPN-ROW,0.002695
JPN-USA,0.00238
KOR-AUS,0.003395
KOR-AUT,0.002275
KOR-BRA,0.00301
KOR-CHN,0.00238
KOR-CZE,0.002783
KOR-DEU,0.002345
KOR-ITA,0.002695
KOR-JPN,0.00301
KOR-ROE,0.002783
KOR-ROW,0.00302
KOR-USA,0.0037
ROE-AUS,0.004104
ROE-AUT,0.003675
ROE-BRA,0.00329
ROE-CHN,0.003675
ROE-CZE,0.00301
ROE-DEU,0.002273
ROE-ITA,0.003605
ROE-JPN,0.00293
ROE-KOR,0.00295
ROE-ROW,0.003045
ROE-USA,0.00367
ROW-AUS,0.00329
ROW-AUT,0.00329
ROW-BRA,0.002695
ROW-CHN,0.00356
ROW-CZE,0.00308
ROW-DEU,0.00329
ROW-ITA,0.00309
ROW-JPN,0.00375
ROW-KOR,0.00325
ROW-ROE,0.00302
ROW-USA,0.00321
USA-AUS,0.00375
USA-AUT,0.0034
USA-BRA,0.00302
USA-CHN,0.0035
USA-CZE,0.00308
USA-DEU,0.00287
USA-ITA,0.003
USA-JPN,0.00335
USA-KOR,0.00345
USA-ROE,0.0033
USA-ROW,0.00325
