edge,opex_specific_variable
AUS-AUT,9.042131
AUS-BRA,10.388831
AUS-CHN,4.809644
AUS-CZE,6.669373
AUS-DEU,6.79763
AUS-ITA,7.567173
AUS-JPN,5.515058
AUS-KOR,4.617258
AUS-ROE,5.579187
AUS-ROW,9.200199
AUS-USA,10.08922931
AUT-AUS,7.17746
AUT-BRA,0.391498
AUT-CHN,1.370242
AUT-CZE,3.001483
AUT-DEU,7.829957
AUT-ITA,6.720713
AUT-JPN,6.524964
AUT-KOR,8.74726
AUT-ROE,8.157103
AUT-ROW,4.751598
AUT-USA,6.579667968
BRA-AUS,5.237597
BRA-AUT,5.669521
BRA-CHN,6.85742
BRA-CZE,6.15548
BRA-DEU,4.481621
BRA-ITA,2.336939
BRA-JPN,3.42751
BRA-KOR,2.742008
BRA-ROE,1.713755
BRA-ROW,1.963028
BRA-USA,2.839723008
CHN-AUS,2.025347
CHN-AUT,1.651437
CHN-BRA,2.212302
CHN-CZE,6.69589
CHN-DEU,0.386301
CHN-ITA,7.661644
CHN-JPN,3.541096
CHN-KOR,0.450685
CHN-ROE,1.223288
CHN-ROW,4.828767
CHN-USA,3.955726336
CZE-AUS,4.184932
CZE-AUT,7.68379
CZE-BRA,1.52226
CZE-CHN,7.031393
CZE-DEU,4.566781
CZE-ITA,0.50742
CZE-JPN,2.5371
CZE-KOR,6.089041
CZE-ROE,5.654109
CZE-ROW,4.856735
CZE-USA,8.42789376
DEU-AUS,3.208247
DEU-AUT,7.32363
DEU-BRA,6.207649
DEU-CHN,1.325238
DEU-CZE,2.44121
DEU-ITA,7.32363
DEU-JPN,6.556393
DEU-KOR,6.000402
DEU-ROE,6.724886
DEU-ROW,9.383562
DEU-USA,10.16927846
ITA-AUS,5.082763
ITA-AUT,5.864726
ITA-BRA,6.568493
ITA-CHN,8.210616
ITA-CZE,5.082763
ITA-DEU,6.021119
ITA-JPN,3.764384
ITA-KOR,5.38516
ITA-ROE,5.960274
ITA-ROW,2.771004
ITA-USA,3.212288
JPN-AUS,4.078084
JPN-AUT,4.914612
JPN-BRA,3.398402
JPN-CHN,3.555251
JPN-CZE,8.630479
JPN-DEU,9.920091
JPN-ITA,8.233676
JPN-KOR,7.043265
JPN-ROE,6.448059
JPN-ROW,6.646461
JPN-USA,8.736029696
KOR-AUS,7.63847
KOR-AUT,6.745662
KOR-BRA,7.532877
KOR-CHN,1.545205
KOR-CZE,7.59726
KOR-DEU,5.086301
KOR-ITA,0.708219
KOR-JPN,1.352055
KOR-ROE,2.124658
KOR-ROW,6.180822
KOR-USA,5.538016256
ROE-AUS,5.150685
ROE-AUT,5.343836
ROE-BRA,7.184456
ROE-CHN,6.032231
ROE-CZE,7.862235
ROE-DEU,5.015563
ROE-ITA,3.863339
ROE-JPN,4.202229
ROE-KOR,5.218997
ROE-ROW,6.032232
ROE-USA,5.482959872
ROW-AUS,5.286875
ROW-AUT,5.625964
ROW-BRA,7.503045
ROW-CHN,6.79763
ROW-CZE,1.565991
ROW-DEU,5.807218
ROW-ITA,6.371461
ROW-JPN,6.263471
ROW-KOR,2.461576
ROW-ROE,2.305779
ROW-USA,0.725216256
USA-AUS,3.669963
USA-AUT,1.52226
USA-BRA,4.494292
USA-CHN,2.356953088
USA-CZE,5.370662
USA-DEU,7.506849
USA-ITA,6.959475
USA-JPN,4.391781
USA-KOR,4.130365
USA-ROE,7.936073
USA-ROW,7.737671
