edge,opex_specific_variable
AUS-AUT,0.000563019
AUS-BRA,0.000646872
AUS-CHN,0.000299478
AUS-CZE,0.000415276
AUS-DEU,0.000423262
AUS-ITA,0.000471179
AUS-JPN,0.000343401
AUS-KOR,0.000287499
AUS-ROE,0.000347394
AUS-ROW,0.000468184
AUS-USA,0.000432057
AUT-AUS,0.000613652
AUT-BRA,0.000657173
AUT-CHN,0.000478735
AUT-CZE,0.000026113
AUT-DEU,0.000091395
AUT-ITA,0.000200198
AUT-JPN,0.000522257
AUT-KOR,0.00044827
AUT-ROE,0.000435214
AUT-ROW,0.000105902
AUT-USA,0.000395151
BRA-AUS,0.000388058
BRA-AUT,0.000361708
BRA-CHN,0.000210797
BRA-CZE,0.000285055
BRA-DEU,0.000232356
BRA-ITA,0.000251519
BRA-JPN,0.000304218
BRA-KOR,0.000273078
BRA-ROE,0.00019882
BRA-ROW,0.00028266
BRA-USA,0.000285083
CHN-AUS,0.00016349
CHN-AUT,0.000239786
CHN-BRA,0.000191829
CHN-CZE,0.000119893
CHN-DEU,0.000137332
CHN-ITA,0.000194008
CHN-JPN,0.000141692
CHN-KOR,0.000115533
CHN-ROE,0.000154771
CHN-ROW,0.000172755
CHN-USA,0.000165926
CZE-AUS,0.000339092
CZE-AUT,0.000019563
CZE-BRA,0.000387999
CZE-CHN,0.000179327
CZE-DEU,0.000022824
CZE-ITA,0.000061949
CZE-JPN,0.000244537
CZE-KOR,0.00019563
CZE-ROE,0.000211932
CZE-ROW,0.000034779
CZE-USA,0.000189196
DEU-AUS,0.000478028
DEU-AUT,0.000094704
DEU-BRA,0.000437441
DEU-CHN,0.000284111
DEU-CZE,0.000031568
DEU-ITA,0.000157839
DEU-JPN,0.000378815
DEU-KOR,0.000351757
DEU-ROE,0.00030215
DEU-ROW,0.000094704
DEU-USA,0.000286311
ITA-AUS,0.000528518
ITA-AUT,0.000206033
ITA-BRA,0.000470292
ITA-CHN,0.000398628
ITA-CZE,0.0000851
ITA-DEU,0.000156764
ITA-JPN,0.000470292
ITA-KOR,0.000421023
ITA-ROE,0.000385191
ITA-ROW,0.000149299
ITA-USA,0.000355196
JPN-AUS,0.000283443
JPN-AUT,0.000395502
JPN-BRA,0.000418573
JPN-CHN,0.00021423
JPN-CZE,0.000247189
JPN-DEU,0.000276851
JPN-ITA,0.000346064
JPN-KOR,0.00021423
JPN-ROE,0.00025378
JPN-ROW,0.000316402
JPN-USA,0.000301495
KOR-AUS,0.000201609
KOR-AUT,0.000288413
KOR-BRA,0.000319215
KOR-CHN,0.000148407
KOR-CZE,0.000168008
KOR-DEU,0.00021841
KOR-ITA,0.000263212
KOR-JPN,0.000182008
KOR-ROE,0.000190409
KOR-ROW,0.000234511
KOR-USA,0.000225245
ROE-AUS,0.000347394
ROE-AUT,0.000399304
ROE-BRA,0.000331422
ROE-CHN,0.000283506
ROE-CZE,0.000259548
ROE-DEU,0.000267534
ROE-ITA,0.000343401
ROE-JPN,0.000307464
ROE-KOR,0.000271527
ROE-ROW,0.000317447
ROE-USA,0.00031984
ROW-AUS,0.000409143
ROW-AUT,0.000084911
ROW-BRA,0.00041176
ROW-CHN,0.000276542
ROW-CZE,0.000037221
ROW-DEU,0.000073279
ROW-ITA,0.000116316
ROW-JPN,0.000334991
ROW-KOR,0.000292245
ROW-ROE,0.000277414
ROW-USA,0.000295547
USA-AUS,0.000368262
USA-AUT,0.000309015
USA-BRA,0.00040505
USA-CHN,0.000265278
USA-CZE,0.000197491
USA-DEU,0.000216078
USA-ITA,0.000269904
USA-JPN,0.000311338
USA-KOR,0.000273776
USA-ROE,0.000272615
USA-ROW,0.000288259
