edge,opex_specific_variable
AUS-AUT,0.051395
AUS-BRA,0.059049
AUS-CHN,0.027338
AUS-CZE,0.037908
AUS-DEU,0.038637
AUS-ITA,0.043011
AUS-JPN,0.031347
AUS-KOR,0.026244
AUS-ROE,0.031712
AUS-ROW,0.042738
AUS-USA,0.039440384
AUT-AUS,0.056738
AUT-BRA,0.060762
AUT-CHN,0.044264
AUT-CZE,0.002414
AUT-DEU,0.00845
AUT-ITA,0.01851
AUT-JPN,0.048288
AUT-KOR,0.041447
AUT-ROE,0.04024
AUT-ROW,0.009792
AUT-USA,0.036535296
BRA-AUS,0.032449
BRA-AUT,0.030245
BRA-CHN,0.017626
BRA-CZE,0.023836
BRA-DEU,0.019429
BRA-ITA,0.021032
BRA-JPN,0.025438
BRA-KOR,0.022834
BRA-ROE,0.016625
BRA-ROW,0.023635
BRA-USA,0.023837696
CHN-AUS,0.01434
CHN-AUT,0.021032
CHN-BRA,0.016826
CHN-CZE,0.010516
CHN-DEU,0.012046
CHN-ITA,0.017017
CHN-JPN,0.012428
CHN-KOR,0.010134
CHN-ROE,0.013575
CHN-ROW,0.015153
CHN-USA,0.014554112
CZE-AUS,0.029214
CZE-AUT,0.001685
CZE-BRA,0.033427
CZE-CHN,0.01545
CZE-DEU,0.001966
CZE-ITA,0.005337
CZE-JPN,0.021067
CZE-KOR,0.016854
CZE-ROE,0.018259
CZE-ROW,0.002996
CZE-USA,0.016300032
DEU-AUS,0.044944
DEU-AUT,0.008904
DEU-BRA,0.041128
DEU-CHN,0.026712
DEU-CZE,0.002968
DEU-ITA,0.01484
DEU-JPN,0.035616
DEU-KOR,0.033072
DEU-ROE,0.028408
DEU-ROW,0.008904
DEU-USA,0.026918912
ITA-AUS,0.046929
ITA-AUT,0.018294
ITA-BRA,0.041759
ITA-CHN,0.035395
ITA-CZE,0.007556
ITA-DEU,0.013919
ITA-JPN,0.041759
ITA-KOR,0.037384
ITA-ROE,0.034202
ITA-ROW,0.013257
ITA-USA,0.0315392
JPN-AUS,0.024269
JPN-AUT,0.033864
JPN-BRA,0.035839
JPN-CHN,0.018343
JPN-CZE,0.021165
JPN-DEU,0.023705
JPN-ITA,0.029631
JPN-KOR,0.018343
JPN-ROE,0.021729
JPN-ROW,0.027091
JPN-USA,0.02581504
KOR-AUS,0.016682
KOR-AUT,0.023865
KOR-BRA,0.026414
KOR-CHN,0.01228
KOR-CZE,0.013902
KOR-DEU,0.018073
KOR-ITA,0.02178
KOR-JPN,0.015061
KOR-ROE,0.015756
KOR-ROW,0.019405
KOR-USA,0.018637824
ROE-AUS,0.029824
ROE-AUT,0.03428
ROE-BRA,0.028452
ROE-CHN,0.024339
ROE-CZE,0.022282
ROE-DEU,0.022968
ROE-ITA,0.029481
ROE-JPN,0.026396
ROE-KOR,0.02331
ROE-ROW,0.027253
ROE-USA,0.02745856
ROW-AUS,0.035304
ROW-AUT,0.007327
ROW-BRA,0.03553
ROW-CHN,0.023862
ROW-CZE,0.003212
ROW-DEU,0.006323
ROW-ITA,0.010037
ROW-JPN,0.028906
ROW-KOR,0.025217
ROW-ROE,0.023937
ROW-USA,0.025501696
USA-AUS,0.031785
USA-AUT,0.026671
USA-BRA,0.03496
USA-CHN,0.022895616
USA-CZE,0.017045
USA-DEU,0.01865
USA-ITA,0.023295
USA-JPN,0.026871
USA-KOR,0.02363
USA-ROE,0.023529
USA-ROW,0.02488
