edge,opex_specific_variable
AUS-AUT,0.005661068
AUS-BRA,0.006504206
AUS-CHN,0.003011206
AUS-CZE,0.00417554
AUS-DEU,0.004255839
AUS-ITA,0.004737632
AUS-JPN,0.00345285
AUS-KOR,0.002890758
AUS-ROE,0.003493
AUS-ROW,0.004707519
AUS-USA,0.004344274
AUT-AUS,0.005947356
AUT-BRA,0.006369154
AUT-CHN,0.004639781
AUT-CZE,0.000253079
AUT-DEU,0.000885776
AUT-ITA,0.001940272
AUT-JPN,0.00506158
AUT-KOR,0.004344522
AUT-ROE,0.004217983
AUT-ROW,0.001026376
AUT-USA,0.003829704
BRA-AUS,0.004239783
BRA-AUT,0.003951896
BRA-CHN,0.002303092
BRA-CZE,0.003114408
BRA-DEU,0.002538635
BRA-ITA,0.002748007
BRA-JPN,0.00332378
BRA-KOR,0.002983551
BRA-ROE,0.002172235
BRA-ROW,0.003088237
BRA-USA,0.003114711
CHN-AUS,0.001904359
CHN-AUT,0.002793061
CHN-BRA,0.002234448
CHN-CZE,0.00139653
CHN-DEU,0.001599662
CHN-ITA,0.00225984
CHN-JPN,0.001650445
CHN-KOR,0.001345747
CHN-ROE,0.001802794
CHN-ROW,0.002012273
CHN-USA,0.00193273
CZE-AUS,0.003239333
CZE-AUT,0.000186885
CZE-BRA,0.003706544
CZE-CHN,0.001713109
CZE-DEU,0.000218032
CZE-ITA,0.000591801
CZE-JPN,0.002336057
CZE-KOR,0.001868846
CZE-ROE,0.002024583
CZE-ROW,0.000332239
CZE-USA,0.001807382
DEU-AUS,0.00463036
DEU-AUT,0.000917335
DEU-BRA,0.004237216
DEU-CHN,0.002752006
DEU-CZE,0.000305778
DEU-ITA,0.001528892
DEU-JPN,0.003669342
DEU-KOR,0.003407246
DEU-ROE,0.002926737
DEU-ROW,0.000917335
DEU-USA,0.002773324
ITA-AUS,0.004917586
ITA-AUT,0.001917025
ITA-BRA,0.004375818
ITA-CHN,0.003709027
ITA-CZE,0.000791815
ITA-DEU,0.001458606
ITA-JPN,0.004375818
ITA-KOR,0.003917399
ITA-ROE,0.003584004
ITA-ROW,0.001389149
ITA-USA,0.003304914
JPN-AUS,0.002928373
JPN-AUT,0.004086102
JPN-BRA,0.004324458
JPN-CHN,0.002213305
JPN-CZE,0.002553814
JPN-DEU,0.002860271
JPN-ITA,0.003575339
JPN-KOR,0.002213305
JPN-ROE,0.002621915
JPN-ROW,0.003268882
JPN-USA,0.003114881
KOR-AUS,0.002209879
KOR-AUT,0.003161354
KOR-BRA,0.003498975
KOR-CHN,0.001626716
KOR-CZE,0.001841566
KOR-DEU,0.002394035
KOR-ITA,0.002885119
KOR-JPN,0.001995029
KOR-ROE,0.002087108
KOR-ROW,0.002570519
KOR-USA,0.002468953
ROE-AUS,0.003298254
ROE-AUT,0.003791097
ROE-BRA,0.003146611
ROE-CHN,0.002691679
ROE-CZE,0.002464213
ROE-DEU,0.002540035
ROE-ITA,0.003260343
ROE-JPN,0.002919145
ROE-KOR,0.002577946
ROE-ROW,0.003013922
ROE-USA,0.003036652
ROW-AUS,0.004141846
ROW-AUT,0.000859573
ROW-BRA,0.004168339
ROW-CHN,0.002799499
ROW-CZE,0.000376799
ROW-DEU,0.000741823
ROW-ITA,0.001177497
ROW-JPN,0.003391191
ROW-KOR,0.002958461
ROW-ROE,0.00280833
ROW-USA,0.002991885
USA-AUS,0.003728007
USA-AUT,0.003128233
USA-BRA,0.004100415
USA-CHN,0.002685482
USA-CZE,0.001999246
USA-DEU,0.002187411
USA-ITA,0.002732304
USA-JPN,0.003151753
USA-KOR,0.002771504
USA-ROE,0.002759744
USA-ROW,0.002918116
