edge,opex_specific_variable
AUS-AUT,0.001542898
AUS-BRA,0.001772691
AUS-CHN,0.00082069
AUS-CZE,0.001138024
AUS-DEU,0.001159909
AUS-ITA,0.00129122
AUS-JPN,0.000941058
AUS-KOR,0.000787863
AUS-ROE,0.000952001
AUS-ROW,0.001283013
AUS-USA,0.001184012
AUT-AUS,0.001681655
AUT-BRA,0.001800921
AUT-CHN,0.001311929
AUT-CZE,0.00007156
AUT-DEU,0.000250459
AUT-ITA,0.000548625
AUT-JPN,0.001431196
AUT-KOR,0.001228443
AUT-ROE,0.001192663
AUT-ROW,0.000290215
AUT-USA,0.001082875
BRA-AUS,0.001063436
BRA-AUT,0.000991227
BRA-CHN,0.000577669
BRA-CZE,0.000781166
BRA-DEU,0.000636749
BRA-ITA,0.000689264
BRA-JPN,0.000833681
BRA-KOR,0.000748344
BRA-ROE,0.000544847
BRA-ROW,0.000774602
BRA-USA,0.000781241
CHN-AUS,0.000448031
CHN-AUT,0.000657111
CHN-BRA,0.000525689
CHN-CZE,0.000328556
CHN-DEU,0.000376346
CHN-ITA,0.000531663
CHN-JPN,0.000388293
CHN-KOR,0.000316608
CHN-ROE,0.000424136
CHN-ROW,0.000473419
CHN-USA,0.000454705
CZE-AUS,0.000929251
CZE-AUT,0.000053611
CZE-BRA,0.001063278
CZE-CHN,0.000491431
CZE-DEU,0.000062546
CZE-ITA,0.000169767
CZE-JPN,0.000670133
CZE-KOR,0.000536107
CZE-ROE,0.000580782
CZE-ROW,0.000095308
CZE-USA,0.000518475
DEU-AUS,0.001309991
DEU-AUT,0.000259527
DEU-BRA,0.001198766
DEU-CHN,0.00077858
DEU-CZE,0.000086509
DEU-ITA,0.000432544
DEU-JPN,0.001038106
DEU-KOR,0.000963956
DEU-ROE,0.000828013
DEU-ROW,0.000259527
DEU-USA,0.00078461
ITA-AUS,0.001448356
ITA-AUT,0.000564613
ITA-BRA,0.001288791
ITA-CHN,0.001092404
ITA-CZE,0.00023321
ITA-DEU,0.000429597
ITA-JPN,0.001288791
ITA-KOR,0.001153775
ITA-ROE,0.001055581
ITA-ROW,0.00040914
ITA-USA,0.000973383
JPN-AUS,0.000776749
JPN-AUT,0.001083836
JPN-BRA,0.00114706
JPN-CHN,0.000587078
JPN-CZE,0.000677398
JPN-DEU,0.000758685
JPN-ITA,0.000948357
JPN-KOR,0.000587078
JPN-ROE,0.000695462
JPN-ROW,0.000867069
JPN-USA,0.000826221
KOR-AUS,0.000552491
KOR-AUT,0.000790369
KOR-BRA,0.000874778
KOR-CHN,0.000406695
KOR-CZE,0.000460409
KOR-DEU,0.000598532
KOR-ITA,0.000721308
KOR-JPN,0.000498777
KOR-ROE,0.000521797
KOR-ROW,0.000642655
KOR-USA,0.000617262
ROE-AUS,0.000860618
ROE-AUT,0.000989216
ROE-BRA,0.000821049
ROE-CHN,0.000702343
ROE-CZE,0.00064299
ROE-DEU,0.000662775
ROE-ITA,0.000850726
ROE-JPN,0.000761696
ROE-KOR,0.000672667
ROE-ROW,0.000786427
ROE-USA,0.000792358
ROW-AUS,0.001121217
ROW-AUT,0.00023269
ROW-BRA,0.001128389
ROW-CHN,0.000757838
ROW-CZE,0.000102001
ROW-DEU,0.000200815
ROW-ITA,0.000318754
ROW-JPN,0.000918012
ROW-KOR,0.000800869
ROW-ROE,0.000760228
ROW-USA,0.000809917
USA-AUS,0.001009189
USA-AUT,0.000846827
USA-BRA,0.001110001
USA-CHN,0.000726972
USA-CZE,0.000541205
USA-DEU,0.000592142
USA-ITA,0.000739647
USA-JPN,0.000853194
USA-KOR,0.000750259
USA-ROE,0.000747075
USA-ROW,0.000789947
