edge,opex_specific_variable
AUS-AUT,0.003243
AUS-BRA,0.003726
AUS-CHN,0.001725
AUS-CZE,0.002392
AUS-DEU,0.002438
AUS-ITA,0.002714
AUS-JPN,0.001978
AUS-KOR,0.001656
AUS-ROE,0.002001
AUS-ROW,0.00269675
AUS-USA,0.002488661
AUT-AUS,0.003243
AUT-BRA,0.003473
AUT-CHN,0.00253
AUT-CZE,0.000138
AUT-DEU,0.000483
AUT-ITA,0.001058
AUT-JPN,0.00276
AUT-KOR,0.002369
AUT-ROE,0.0023
AUT-ROW,0.000559667
AUT-USA,0.002088277
BRA-AUS,0.003726
BRA-AUT,0.003473
BRA-CHN,0.002024
BRA-CZE,0.002737
BRA-DEU,0.002231
BRA-ITA,0.002415
BRA-JPN,0.002921
BRA-KOR,0.002622
BRA-ROE,0.001909
BRA-ROW,0.002714
BRA-USA,0.002737266
CHN-AUS,0.001725
CHN-AUT,0.00253
CHN-BRA,0.002024
CHN-CZE,0.001265
CHN-DEU,0.001449
CHN-ITA,0.002047
CHN-JPN,0.001495
CHN-KOR,0.001219
CHN-ROE,0.001633
CHN-ROW,0.00182275
CHN-USA,0.001750699
CZE-AUS,0.002392
CZE-AUT,0.000138
CZE-BRA,0.002737
CZE-CHN,0.001265
CZE-DEU,0.000161
CZE-ITA,0.000437
CZE-JPN,0.001725
CZE-KOR,0.00138
CZE-ROE,0.001495
CZE-ROW,0.000245333
CZE-USA,0.001334613
DEU-AUS,0.002438
DEU-AUT,0.000483
DEU-BRA,0.002231
DEU-CHN,0.001449
DEU-CZE,0.000161
DEU-ITA,0.000805
DEU-JPN,0.001932
DEU-KOR,0.001794
DEU-ROE,0.001541
DEU-ROW,0.000483
DEU-USA,0.001460224
ITA-AUS,0.002714
ITA-AUT,0.001058
ITA-BRA,0.002415
ITA-CHN,0.002047
ITA-CZE,0.000437
ITA-DEU,0.000805
ITA-JPN,0.002415
ITA-KOR,0.002162
ITA-ROE,0.001978
ITA-ROW,0.000766667
ITA-USA,0.001823971
JPN-AUS,0.001978
JPN-AUT,0.00276
JPN-BRA,0.002921
JPN-CHN,0.001495
JPN-CZE,0.001725
JPN-DEU,0.001932
JPN-ITA,0.002415
JPN-KOR,0.001495
JPN-ROE,0.001771
JPN-ROW,0.002208
JPN-USA,0.002103979
KOR-AUS,0.001656
KOR-AUT,0.002369
KOR-BRA,0.002622
KOR-CHN,0.001219
KOR-CZE,0.00138
KOR-DEU,0.001794
KOR-ITA,0.002162
KOR-JPN,0.001495
KOR-ROE,0.001564
KOR-ROW,0.00192625
KOR-USA,0.001850141
ROE-AUS,0.002001
ROE-AUT,0.0023
ROE-BRA,0.001909
ROE-CHN,0.001633
ROE-CZE,0.001495
ROE-DEU,0.001541
ROE-ITA,0.001978
ROE-JPN,0.001771
ROE-KOR,0.001564
ROE-ROW,0.0018285
ROE-USA,0.00184229
ROW-AUS,0.00269675
ROW-AUT,0.000559667
ROW-BRA,0.002714
ROW-CHN,0.00182275
ROW-CZE,0.000245333
ROW-DEU,0.000483
ROW-ITA,0.000766667
ROW-JPN,0.002208
ROW-KOR,0.00192625
ROW-ROE,0.0018285
ROW-USA,0.001948013
USA-AUS,0.002430333
USA-AUT,0.002039333
USA-BRA,0.002673111
USA-CHN,0.001750699
USA-CZE,0.001303333
USA-DEU,0.001426
USA-ITA,0.001781222
USA-JPN,0.002054667
USA-KOR,0.001806778
USA-ROE,0.001799111
USA-ROW,0.001902356
