edge,opex_specific_variable
AUS-AUT,0.079771232
AUS-BRA,0.091652054
AUS-CHN,0.042431507
AUS-CZE,0.058838356
AUS-DEU,0.059969863
AUS-ITA,0.066758904
AUS-JPN,0.048654794
AUS-KOR,0.040734246
AUS-ROE,0.049220548
AUS-ROW,0.066334588
AUS-USA,0.061216029
AUT-AUS,0.079771232
AUT-BRA,0.085428766
AUT-CHN,0.062232876
AUT-CZE,0.003394521
AUT-DEU,0.011880822
AUT-ITA,0.026024657
AUT-JPN,0.06789041
AUT-KOR,0.058272602
AUT-ROE,0.056575342
AUT-ROW,0.013766667
AUT-USA,0.051367393
BRA-AUS,0.078292603
BRA-AUT,0.072976438
BRA-CHN,0.042529315
BRA-CZE,0.057511233
BRA-DEU,0.046878904
BRA-ITA,0.050745205
BRA-JPN,0.061377534
BRA-KOR,0.055094794
BRA-ROE,0.040112877
BRA-ROW,0.057027945
BRA-USA,0.057516817
CHN-AUS,0.04099315
CHN-AUT,0.060123287
CHN-BRA,0.04809863
CHN-CZE,0.030061644
CHN-DEU,0.034434246
CHN-ITA,0.048645205
CHN-JPN,0.035527397
CHN-KOR,0.028968493
CHN-ROE,0.038806849
CHN-ROW,0.043316096
CHN-USA,0.041603857
CZE-AUS,0.058838356
CZE-AUT,0.003394521
CZE-BRA,0.067324657
CZE-CHN,0.031116438
CZE-DEU,0.003960274
CZE-ITA,0.010749315
CZE-JPN,0.042431507
CZE-KOR,0.033945205
CZE-ROE,0.036773972
CZE-ROW,0.006034703
CZE-USA,0.032828785
DEU-AUS,0.059969863
DEU-AUT,0.011880822
DEU-BRA,0.054878082
DEU-CHN,0.035642465
DEU-CZE,0.003960274
DEU-ITA,0.01980137
DEU-JPN,0.047523287
DEU-KOR,0.044128767
DEU-ROE,0.037905479
DEU-ROW,0.011880822
DEU-USA,0.035918553
ITA-AUS,0.066758904
ITA-AUT,0.026024657
ITA-BRA,0.059404109
ITA-CHN,0.050352054
ITA-CZE,0.010749315
ITA-DEU,0.01980137
ITA-JPN,0.059404109
ITA-KOR,0.053180821
ITA-ROE,0.048654794
ITA-ROW,0.018858447
ITA-USA,0.044866006
JPN-AUS,0.051128767
JPN-AUT,0.071342466
JPN-BRA,0.07550411
JPN-CHN,0.038643836
JPN-CZE,0.044589041
JPN-DEU,0.049939726
JPN-ITA,0.062424658
JPN-KOR,0.038643836
JPN-ROE,0.045778082
JPN-ROW,0.057073973
JPN-USA,0.054385154
KOR-AUS,0.041769863
KOR-AUT,0.05975411
KOR-BRA,0.066135617
KOR-CHN,0.03074726
KOR-CZE,0.034808219
KOR-DEU,0.045250685
KOR-ITA,0.054532877
KOR-JPN,0.037708904
KOR-ROE,0.039449315
KOR-ROW,0.048586473
KOR-USA,0.046666736
ROE-AUS,0.048386301
ROE-AUT,0.055616438
ROE-BRA,0.046161644
ROE-CHN,0.039487671
ROE-CZE,0.036150685
ROE-DEU,0.037263013
ROE-ITA,0.047830137
ROE-JPN,0.042824657
ROE-KOR,0.037819178
ROE-ROW,0.044215068
ROE-USA,0.04454852
ROW-AUS,0.066334588
ROW-AUT,0.013766667
ROW-BRA,0.066758904
ROW-CHN,0.044835959
ROW-CZE,0.006034703
ROW-DEU,0.011880822
ROW-ITA,0.018858447
ROW-JPN,0.054312328
ROW-KOR,0.047381849
ROW-ROE,0.044977397
ROW-USA,0.047917152
USA-AUS,0.059127276
USA-AUT,0.049614686
USA-BRA,0.065033787
USA-CHN,0.042592529
USA-CZE,0.031708634
USA-DEU,0.034692976
USA-ITA,0.043335133
USA-JPN,0.049987729
USA-KOR,0.043956871
USA-ROE,0.04377035
USA-ROW,0.046282171
