,technology,capacity_type,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,power,inf,inf,inf,inf,inf,inf
1,Bauxite_mining,power,inf,inf,inf,inf,inf,inf
2,Compressor_manufacturing,power,40.0,40.0,40.0,40.0,40.0,40.0
3,Copper_mining,power,0.0,0.0,0.0,0.0,0.0,0.0
4,Copper_recycling,power,inf,inf,inf,inf,inf,inf
5,Copper_refinement,power,inf,inf,inf,inf,inf,inf
6,HEX_manufacturing,power,inf,inf,inf,inf,inf,inf
7,HP_assembly,power,inf,inf,inf,inf,inf,inf
8,Iron_mining,power,inf,inf,inf,inf,inf,inf
9,Nickel_mining,power,inf,inf,inf,inf,inf,inf
10,Nickel_recycling,power,inf,inf,inf,inf,inf,inf
11,Steel_production,power,inf,inf,inf,inf,inf,inf
12,Aluminium_transport,power,inf,inf,inf,inf,inf,inf
13,Bauxite_transport,power,inf,inf,inf,inf,inf,inf
14,Compressor_transport,power,inf,inf,inf,inf,inf,inf
15,Copper_ore_transport,power,inf,inf,inf,inf,inf,inf
16,Copper_transport,power,inf,inf,inf,inf,inf,inf
17,HEX_transport,power,inf,inf,inf,inf,inf,inf
18,HP_transport,power,inf,inf,inf,inf,inf,inf
19,Iron_transport,power,inf,inf,inf,inf,inf,inf
20,Nickel_transport,power,inf,inf,inf,inf,inf,inf
21,Refrigerant_transport,power,inf,inf,inf,inf,inf,inf
22,Steel_transport,power,inf,inf,inf,inf,inf,inf
23,Aluminium_storage,energy,inf,inf,inf,inf,inf,inf
24,Aluminium_storage,power,inf,inf,inf,inf,inf,inf
25,Bauxite_storage,energy,inf,inf,inf,inf,inf,inf
26,Bauxite_storage,power,inf,inf,inf,inf,inf,inf
27,Compressor_storage,energy,inf,inf,inf,inf,inf,inf
28,Compressor_storage,power,inf,inf,inf,inf,inf,inf
29,Copper_storage,energy,inf,inf,inf,inf,inf,inf
30,Copper_storage,power,inf,inf,inf,inf,inf,inf
31,HEX_storage,energy,inf,inf,inf,inf,inf,inf
32,HEX_storage,power,inf,inf,inf,inf,inf,inf
33,HP_storage,energy,inf,inf,inf,inf,inf,inf
34,HP_storage,power,inf,inf,inf,inf,inf,inf
35,Iron_storage,energy,inf,inf,inf,inf,inf,inf
36,Iron_storage,power,inf,inf,inf,inf,inf,inf
37,Nickel_storage,energy,inf,inf,inf,inf,inf,inf
38,Nickel_storage,power,inf,inf,inf,inf,inf,inf
39,Steel_storage,energy,inf,inf,inf,inf,inf,inf
40,Steel_storage,power,inf,inf,inf,inf,inf,inf
