,technology,capacity_type,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,power,0.0,0.0,0.0,0.0,0.0,0.0
1,Bauxite_mining,power,0.0,0.0,0.0,0.0,0.0,0.0
2,Compressor_manufacturing,power,0.0,0.0,0.0,0.0,0.0,0.0
3,Copper_mining,power,0.0,0.0,0.0,0.0,0.0,0.0
4,Copper_recycling,power,0.0,0.0,0.0,0.0,0.0,0.0
5,Copper_refinement,power,0.0,0.0,0.0,0.0,0.0,0.0
6,HEX_manufacturing,power,0.0,0.0,0.0,0.0,0.0,0.0
7,HP_assembly,power,0.0,0.0,0.0,0.0,0.0,0.0
8,Iron_mining,power,0.0,0.0,0.0,0.0,0.0,0.0
9,Nickel_mining,power,0.0,0.0,0.0,0.0,0.0,0.0
10,Nickel_recycling,power,0.0,0.0,0.0,0.0,0.0,0.0
11,Steel_production,power,0.0,0.0,0.0,0.0,0.0,0.0
12,Aluminium_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
13,Bauxite_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
14,Compressor_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
15,Copper_ore_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
16,Copper_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
17,HEX_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
18,HP_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
19,Iron_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
20,Nickel_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
21,Refrigerant_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
22,Steel_transport,power,0.0,0.0,0.0,0.0,0.0,0.0
23,Aluminium_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
24,Aluminium_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
25,Bauxite_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
26,Bauxite_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
27,Compressor_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
28,Compressor_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
29,Copper_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
30,Copper_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
31,HEX_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
32,HEX_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
33,HP_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
34,HP_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
35,Iron_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
36,Iron_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
37,Nickel_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
38,Nickel_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
39,Steel_storage,energy,0.0,0.0,0.0,0.0,0.0,0.0
40,Steel_storage,power,0.0,0.0,0.0,0.0,0.0,0.0
