,technology,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,1.0,1.0,1.0,1.0,1.0,1.0
1,Bauxite_mining,1.0,1.0,1.0,1.0,1.0,1.0
2,Compressor_manufacturing,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
3,Copper_mining,0.0,0.0,0.0,0.0,0.0,0.0
4,Copper_recycling,1.0,1.0,1.0,1.0,1.0,1.0
5,Copper_refinement,1.0,1.0,1.0,1.0,1.0,1.0
6,HEX_manufacturing,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
7,HP_assembly,0.0,0.0,0.0,0.0,0.0,0.0
8,Iron_mining,1.0,1.0,1.0,1.0,1.0,1.0
9,Nickel_mining,1.0,1.0,1.0,1.0,1.0,1.0
10,Nickel_recycling,1.0,1.0,1.0,1.0,1.0,1.0
11,Steel_production,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
12,Aluminium_transport,0.0,0.0,0.0,0.0,0.0,0.0
13,Bauxite_transport,0.0,0.0,0.0,0.0,0.0,0.0
14,Compressor_transport,0.0,0.0,0.0,0.0,0.0,0.0
15,Copper_ore_transport,0.0,0.0,0.0,0.0,0.0,0.0
16,Copper_transport,0.0,0.0,0.0,0.0,0.0,0.0
17,HEX_transport,0.0,0.0,0.0,0.0,0.0,0.0
18,HP_transport,0.0,0.0,0.0,0.0,0.0,0.0
19,Iron_transport,0.0,0.0,0.0,0.0,0.0,0.0
20,Nickel_transport,0.0,0.0,0.0,0.0,0.0,0.0
21,Refrigerant_transport,0.0,0.0,0.0,0.0,0.0,0.0
22,Steel_transport,0.0,0.0,0.0,0.0,0.0,0.0
23,Aluminium_storage,0.0,0.0,0.0,0.0,0.0,0.0
24,Bauxite_storage,0.0,0.0,0.0,0.0,0.0,0.0
25,Compressor_storage,0.0,0.0,0.0,0.0,0.0,0.0
26,Copper_storage,0.0,0.0,0.0,0.0,0.0,0.0
27,HEX_storage,0.0,0.0,0.0,0.0,0.0,0.0
28,HP_storage,0.0,0.0,0.0,0.0,0.0,0.0
29,Iron_storage,0.0,0.0,0.0,0.0,0.0,0.0
30,Nickel_storage,0.0,0.0,0.0,0.0,0.0,0.0
31,Steel_storage,0.0,0.0,0.0,0.0,0.0,0.0
