,technology,node,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aluminium_production,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
2,Aluminium_production,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
3,Aluminium_production,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
4,Aluminium_production,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
5,Aluminium_production,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
6,Aluminium_production,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
7,Aluminium_production,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
8,Aluminium_production,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
9,Aluminium_production,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
10,Aluminium_production,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
11,Aluminium_production,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
12,Aluminium_production,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
13,Aluminium_production,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
14,Aluminium_production,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
15,Aluminium_production,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
16,Aluminium_production,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
17,Aluminium_production,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
18,Aluminium_production,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
19,Aluminium_production,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
20,Aluminium_production,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
21,Aluminium_production,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
22,Aluminium_production,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
23,Aluminium_production,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
24,Aluminium_production,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
25,Aluminium_production,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
26,Aluminium_production,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
27,Aluminium_production,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
28,Aluminium_production,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
29,Aluminium_production,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
30,Aluminium_production,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
31,Aluminium_production,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
32,Aluminium_production,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
33,Aluminium_production,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
34,Aluminium_production,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
35,Aluminium_production,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
36,Aluminium_production,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
37,Aluminium_production,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
38,Aluminium_production,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
39,Aluminium_production,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
40,Aluminium_production,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
41,Aluminium_production,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
42,Aluminium_production,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
43,Aluminium_production,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
44,Aluminium_production,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
45,Aluminium_production,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
46,Aluminium_production,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
47,Aluminium_production,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
48,Aluminium_production,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
49,Aluminium_production,CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
50,Aluminium_production,CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
51,Aluminium_production,CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
52,Aluminium_production,CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
53,Aluminium_production,CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
54,Aluminium_production,CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
55,Aluminium_production,CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
56,Aluminium_production,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
57,Aluminium_production,CZE,1,0.0,0.0,0.0,0.0,0.0,0.0
58,Aluminium_production,CZE,2,0.0,0.0,0.0,0.0,0.0,0.0
59,Aluminium_production,CZE,3,0.0,0.0,0.0,0.0,0.0,0.0
60,Aluminium_production,CZE,4,0.0,0.0,0.0,0.0,0.0,0.0
61,Aluminium_production,CZE,5,0.0,0.0,0.0,0.0,0.0,0.0
62,Aluminium_production,CZE,6,0.0,0.0,0.0,0.0,0.0,0.0
63,Aluminium_production,CZE,7,0.0,0.0,0.0,0.0,0.0,0.0
64,Aluminium_production,CZE,8,0.0,0.0,0.0,0.0,0.0,0.0
65,Aluminium_production,CZE,9,0.0,0.0,0.0,0.0,0.0,0.0
66,Aluminium_production,CZE,10,0.0,0.0,0.0,0.0,0.0,0.0
67,Aluminium_production,CZE,11,0.0,0.0,0.0,0.0,0.0,0.0
68,Aluminium_production,CZE,12,0.0,0.0,0.0,0.0,0.0,0.0
69,Aluminium_production,CZE,13,0.0,0.0,0.0,0.0,0.0,0.0
70,Aluminium_production,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
71,Aluminium_production,DEU,1,0.0,0.0,0.0,0.0,0.0,0.0
72,Aluminium_production,DEU,2,0.0,0.0,0.0,0.0,0.0,0.0
73,Aluminium_production,DEU,3,0.0,0.0,0.0,0.0,0.0,0.0
74,Aluminium_production,DEU,4,0.0,0.0,0.0,0.0,0.0,0.0
75,Aluminium_production,DEU,5,0.0,0.0,0.0,0.0,0.0,0.0
76,Aluminium_production,DEU,6,0.0,0.0,0.0,0.0,0.0,0.0
77,Aluminium_production,DEU,7,0.0,0.0,0.0,0.0,0.0,0.0
78,Aluminium_production,DEU,8,0.0,0.0,0.0,0.0,0.0,0.0
79,Aluminium_production,DEU,9,0.0,0.0,0.0,0.0,0.0,0.0
80,Aluminium_production,DEU,10,0.0,0.0,0.0,0.0,0.0,0.0
81,Aluminium_production,DEU,11,0.0,0.0,0.0,0.0,0.0,0.0
82,Aluminium_production,DEU,12,0.0,0.0,0.0,0.0,0.0,0.0
83,Aluminium_production,DEU,13,0.0,0.0,0.0,0.0,0.0,0.0
84,Aluminium_production,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
85,Aluminium_production,ITA,1,0.0,0.0,0.0,0.0,0.0,0.0
86,Aluminium_production,ITA,2,0.0,0.0,0.0,0.0,0.0,0.0
87,Aluminium_production,ITA,3,0.0,0.0,0.0,0.0,0.0,0.0
