,technology,capacity_type,location,technology_existing,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,power,AUS,0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1,Aluminium_production,power,AUT,0,491.0,491.0,491.0,491.0,491.0,491.0
2,Aluminium_production,power,BRA,0,811.0,811.0,811.0,811.0,811.0,811.0
3,Aluminium_production,power,CHN,0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0
4,Aluminium_production,power,CZE,0,60.0,60.0,60.0,60.0,60.0,60.0
5,Aluminium_production,power,DEU,0,550.0,550.0,550.0,550.0,550.0,550.0
6,Aluminium_production,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
7,Aluminium_production,power,JPN,0,30.0,30.0,30.0,30.0,30.0,30.0
8,Aluminium_production,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
9,Aluminium_production,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
10,Aluminium_production,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
11,Aluminium_production,power,USA,0,860.0,860.0,860.0,860.0,860.0,860.0
12,Bauxite_mining,power,AUS,0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
13,Bauxite_mining,power,AUT,0,1.0,1.0,1.0,1.0,1.0,1.0
14,Bauxite_mining,power,BRA,0,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0
15,Bauxite_mining,power,CHN,0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0
16,Bauxite_mining,power,CZE,0,1.0,1.0,1.0,1.0,1.0,1.0
17,Bauxite_mining,power,DEU,0,1.0,1.0,1.0,1.0,1.0,1.0
18,Bauxite_mining,power,ITA,0,1.0,1.0,1.0,1.0,1.0,1.0
19,Bauxite_mining,power,JPN,0,1.0,1.0,1.0,1.0,1.0,1.0
20,Bauxite_mining,power,KOR,0,1.0,1.0,1.0,1.0,1.0,1.0
21,Bauxite_mining,power,ROE,0,13283.0,13283.0,13283.0,13283.0,13283.0,13283.0
22,Bauxite_mining,power,ROW,0,143621.0,143621.0,143621.0,143621.0,143621.0,143621.0
23,Bauxite_mining,power,USA,0,96.0,96.0,96.0,96.0,96.0,96.0
24,Compressor_manufacturing,power,AUS,0,1.3,1.3,1.3,1.3,1.3,1.3
25,Compressor_manufacturing,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
26,Compressor_manufacturing,power,BRA,0,15.2,15.2,15.2,15.2,15.2,15.2
27,Compressor_manufacturing,power,CHN,0,53.4,53.4,53.4,53.4,53.4,53.4
28,Compressor_manufacturing,power,CZE,0,1.92,1.92,1.92,1.92,1.92,1.92
