,technology,capacity_type,location,technology_existing,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
1,Aluminium_production,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
2,Aluminium_production,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aluminium_production,power,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aluminium_production,power,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aluminium_production,power,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aluminium_production,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
7,Aluminium_production,power,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
8,Aluminium_production,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
9,Aluminium_production,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
10,Aluminium_production,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
11,Aluminium_production,power,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
12,Bauxite_mining,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
13,Bauxite_mining,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
14,Bauxite_mining,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
15,Bauxite_mining,power,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bauxite_mining,power,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
17,Bauxite_mining,power,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
18,Bauxite_mining,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
19,Bauxite_mining,power,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
20,Bauxite_mining,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
21,Bauxite_mining,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
22,Bauxite_mining,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
23,Bauxite_mining,power,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
24,Compressor_manufacturing,power,AUS,0,144300.0,144300.0,144300.0,144300.0,144300.0,144300.0
25,Compressor_manufacturing,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
26,Compressor_manufacturing,power,BRA,0,1656800.0,1656800.0,1656800.0,1656800.0,1656800.0,1656800.0
27,Compressor_manufacturing,power,CHN,0,2136000.0,2136000.0,2136000.0,2136000.0,2136000.0,2136000.0
28,Compressor_manufacturing,power,CZE,0,257280.0,257280.0,257280.0,257280.0,257280.0,257280.0
29,Compressor_manufacturing,power,DEU,0,830850.0000000001,830850.0000000001,830850.0000000001,830850.0000000001,830850.0000000001,830850.0000000001
30,Compressor_manufacturing,power,ITA,0,162840.0,162840.0,162840.0,162840.0,162840.0,162840.0
31,Compressor_manufacturing,power,JPN,0,3968799.9999999995,3968799.9999999995,3968799.9999999995,3968799.9999999995,3968799.9999999995,3968799.9999999995
32,Compressor_manufacturing,power,KOR,0,5016000.0,5016000.0,5016000.0,5016000.0,5016000.0,5016000.0
33,Compressor_manufacturing,power,ROE,0,2517750.0,2517750.0,2517750.0,2517750.0,2517750.0,2517750.0
34,Compressor_manufacturing,power,ROW,0,3819200.0,3819200.0,3819200.0,3819200.0,3819200.0,3819200.0
35,Compressor_manufacturing,power,USA,0,2016000.0,2016000.0,2016000.0,2016000.0,2016000.0,2016000.0
36,Copper_mining,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
37,Copper_mining,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
38,Copper_mining,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
39,Copper_mining,power,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
40,Copper_mining,power,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
41,Copper_mining,power,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
42,Copper_mining,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
43,Copper_mining,power,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
44,Copper_mining,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
45,Copper_mining,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
46,Copper_mining,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
47,Copper_mining,power,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
48,Copper_recycling,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
49,Copper_recycling,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
50,Copper_recycling,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
51,Copper_recycling,power,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
52,Copper_recycling,power,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
53,Copper_recycling,power,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
54,Copper_recycling,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
55,Copper_recycling,power,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
56,Copper_recycling,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
57,Copper_recycling,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
58,Copper_recycling,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
59,Copper_recycling,power,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
60,Copper_refinement,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
61,Copper_refinement,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
62,Copper_refinement,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
63,Copper_refinement,power,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
64,Copper_refinement,power,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
65,Copper_refinement,power,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
66,Copper_refinement,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
67,Copper_refinement,power,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
68,Copper_refinement,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
69,Copper_refinement,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
70,Copper_refinement,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
71,Copper_refinement,power,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
72,HEX_manufacturing,power,AUS,0,162000.0,162000.0,162000.0,162000.0,162000.0,162000.0
73,HEX_manufacturing,power,AUT,0,30800.0,30800.0,30800.0,30800.0,30800.0,30800.0
74,HEX_manufacturing,power,BRA,0,88500.0,88500.0,88500.0,88500.0,88500.0,88500.0
75,HEX_manufacturing,power,CHN,0,871200.0,871200.0,871200.0,871200.0,871200.0,871200.0
76,HEX_manufacturing,power,CZE,0,21600.0,21600.0,21600.0,21600.0,21600.0,21600.0
77,HEX_manufacturing,power,DEU,0,156000.0,156000.0,156000.0,156000.0,156000.0,156000.0
78,HEX_manufacturing,power,ITA,0,192400.0,192400.0,192400.0,192400.0,192400.0,192400.0
79,HEX_manufacturing,power,JPN,0,500500.0,500500.0,500500.0,500500.0,500500.0,500500.0
80,HEX_manufacturing,power,KOR,0,36600.0,36600.0,36600.0,36600.0,36600.0,36600.0
81,HEX_manufacturing,power,ROE,0,338400.0,338400.0,338400.0,338400.0,338400.0,338400.0
82,HEX_manufacturing,power,ROW,0,4548900.0,4548900.0,4548900.0,4548900.0,4548900.0,4548900.0
83,HEX_manufacturing,power,USA,0,3402000.0,3402000.0,3402000.0,3402000.0,3402000.0,3402000.0
84,HP_assembly,power,AUS,0,239274.0,239274.0,239274.0,239274.0,239274.0,239274.0
85,HP_assembly,power,AUT,0,214200.0,214200.0,214200.0,214200.0,214200.0,214200.0
86,HP_assembly,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
87,HP_assembly,power,CHN,0,2520000.0,2520000.0,2520000.0,2520000.0,2520000.0,2520000.0
88,HP_assembly,power,CZE,0,178750.0,178750.0,178750.0,178750.0,178750.0,178750.0
89,HP_assembly,power,DEU,0,606900.0,606900.0,606900.0,606900.0,606900.0,606900.0
90,HP_assembly,power,ITA,0,571200.0,571200.0,571200.0,571200.0,571200.0,571200.0
91,HP_assembly,power,JPN,0,1036476.0000000001,1036476.0000000001,1036476.0000000001,1036476.0000000001,1036476.0000000001,1036476.0000000001
92,HP_assembly,power,KOR,0,777924.0,777924.0,777924.0,777924.0,777924.0,777924.0
93,HP_assembly,power,ROE,0,1999200.0,1999200.0,1999200.0,1999200.0,1999200.0,1999200.0
94,HP_assembly,power,ROW,0,1348326.0,1348326.0,1348326.0,1348326.0,1348326.0,1348326.0
95,HP_assembly,power,USA,0,4998000.0,4998000.0,4998000.0,4998000.0,4998000.0,4998000.0
96,Iron_mining,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
97,Iron_mining,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
98,Iron_mining,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
99,Iron_mining,power,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
100,Iron_mining,power,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
101,Iron_mining,power,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
102,Iron_mining,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
103,Iron_mining,power,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
104,Iron_mining,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
105,Iron_mining,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
106,Iron_mining,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
107,Iron_mining,power,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
108,Nickel_mining,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
109,Nickel_mining,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
110,Nickel_mining,power,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
111,Nickel_mining,power,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
112,Nickel_mining,power,CZE,0,0.0,0.0,0.0,0.0,0.0,0.0
113,Nickel_mining,power,DEU,0,0.0,0.0,0.0,0.0,0.0,0.0
114,Nickel_mining,power,ITA,0,0.0,0.0,0.0,0.0,0.0,0.0
115,Nickel_mining,power,JPN,0,0.0,0.0,0.0,0.0,0.0,0.0
116,Nickel_mining,power,KOR,0,0.0,0.0,0.0,0.0,0.0,0.0
117,Nickel_mining,power,ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
118,Nickel_mining,power,ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
119,Nickel_mining,power,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
120,Nickel_recycling,power,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
121,Nickel_recycling,power,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
