,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,inf,inf,inf,inf,inf,inf
1,1,inf,inf,inf,inf,inf,inf
2,2,inf,inf,inf,inf,inf,inf
3,3,inf,inf,inf,inf,inf,inf
4,4,inf,inf,inf,inf,inf,inf
5,5,inf,inf,inf,inf,inf,inf
6,6,inf,inf,inf,inf,inf,inf
7,7,inf,inf,inf,inf,inf,inf
8,8,inf,inf,inf,inf,inf,inf
9,9,inf,inf,inf,inf,inf,inf
10,10,inf,inf,inf,inf,inf,inf
11,11,inf,inf,inf,inf,inf,inf
12,12,inf,inf,inf,inf,inf,inf
13,13,inf,inf,inf,inf,inf,inf
