,year,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,0,72257190.96156001,72257190.96156001,72257190.96156001,67450364.67006001,72257190.96156001,72257190.96156001
1,1,78840226.63701822,78840226.63701822,78840226.63701822,73975560.41512288,78840226.63701822,78840226.63701822
2,2,86175528.61395423,86175528.61395425,86175528.61395425,81246412.89236136,86175528.61395425,86175528.61395426
3,3,94367252.7408159,94367252.74081592,94367252.7408159,89424523.48081589,94367252.74081592,94367252.74081592
4,4,103535499.40671635,103535499.40671635,103535499.40671635,98592770.14671634,103535499.40671633,103535499.40671635
5,5,113894050.20575443,113894050.20575443,113894050.20575443,108876163.4507791,113894050.20575443,113894050.20575443
6,6,125874582.279378,125874582.279378,125874582.279378,120434843.43878236,125874582.279378,125874582.27937798
7,7,139368857.79109365,139368857.79109362,139368857.79109365,133505758.25509363,139368857.79109362,139368857.79109362
8,8,154598931.02245408,154598931.02245408,154598931.02245408,148735831.4864541,154598931.02245405,154598931.02245405
9,9,171821935.8197074,171821935.8197074,171821935.8197074,165958836.28370747,171821935.81970742,171821935.8197074
10,10,191335820.33744967,191335820.33744964,191335820.33744964,185472720.80144966,191335820.33744964,191335820.33744964
11,11,213486061.77011567,213486061.77011567,213486061.7701157,207622962.23411566,213486061.77011567,213486061.77011564
12,12,234887527.30919996,238673481.06982097,238673481.06982097,232810381.533821,238673481.06982097,238673481.06982097
13,13,252591011.329344,267363390.24025974,267363390.24025974,261500290.70425972,267363390.2402597,267363390.24025974
