,technology,location,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,AUS,11.5,11.5,11.5,11.5,11.5,11.5
1,Aluminium_production,AUT,5.6,5.6,5.6,5.6,5.6,5.6
2,Aluminium_production,BRA,5.5,5.5,5.5,5.5,5.5,5.5
3,Aluminium_production,CHN,12.75,12.75,12.75,12.75,12.75,12.75
4,Aluminium_production,CZE,5.6,5.6,5.6,5.6,5.6,5.6
5,Aluminium_production,DEU,5.6,5.6,5.6,5.6,5.6,5.6
6,Aluminium_production,ITA,5.6,5.6,5.6,5.6,5.6,5.6
7,Aluminium_production,JPN,12.6,12.6,12.6,12.6,12.6,12.6
8,Aluminium_production,KOR,11.4,11.4,11.4,11.4,11.4,11.4
9,Aluminium_production,ROE,5.6,5.6,5.6,5.6,5.6,5.6
10,Aluminium_production,ROW,12.6,12.6,12.6,12.6,12.6,12.6
11,Aluminium_production,USA,9.5,9.5,9.5,9.5,9.5,9.5
12,Bauxite_mining,AUS,0.1,0.1,0.1,0.1,0.1,0.1
13,Bauxite_mining,AUT,0.1,0.1,0.1,0.1,0.1,0.1
14,Bauxite_mining,BRA,0.1,0.1,0.1,0.1,0.1,0.1
15,Bauxite_mining,CHN,0.1,0.1,0.1,0.1,0.1,0.1
16,Bauxite_mining,CZE,0.1,0.1,0.1,0.1,0.1,0.1
17,Bauxite_mining,DEU,0.1,0.1,0.1,0.1,0.1,0.1
18,Bauxite_mining,ITA,0.1,0.1,0.1,0.1,0.1,0.1
19,Bauxite_mining,JPN,0.1,0.1,0.1,0.1,0.1,0.1
20,Bauxite_mining,KOR,0.1,0.1,0.1,0.1,0.1,0.1
21,Bauxite_mining,ROE,0.1,0.1,0.1,0.1,0.1,0.1
22,Bauxite_mining,ROW,0.1,0.1,0.1,0.1,0.1,0.1
23,Bauxite_mining,USA,0.1,0.1,0.1,0.1,0.1,0.1
24,Compressor_manufacturing,AUS,0.0,0.0,0.0,0.0,0.0,0.0
25,Compressor_manufacturing,AUT,0.0,0.0,0.0,0.0,0.0,0.0
26,Compressor_manufacturing,BRA,0.0,0.0,0.0,0.0,0.0,0.0
27,Compressor_manufacturing,CHN,0.0,0.0,0.0,0.0,0.0,0.0
28,Compressor_manufacturing,CZE,0.0,0.0,0.0,0.0,0.0,0.0
29,Compressor_manufacturing,DEU,0.0,0.0,0.0,0.0,0.0,0.0
30,Compressor_manufacturing,ITA,0.0,0.0,0.0,0.0,0.0,0.0
31,Compressor_manufacturing,JPN,0.0,0.0,0.0,0.0,0.0,0.0
32,Compressor_manufacturing,KOR,0.0,0.0,0.0,0.0,0.0,0.0
33,Compressor_manufacturing,ROE,0.0,0.0,0.0,0.0,0.0,0.0
34,Compressor_manufacturing,ROW,0.0,0.0,0.0,0.0,0.0,0.0
35,Compressor_manufacturing,USA,0.0,0.0,0.0,0.0,0.0,0.0
36,Copper_mining,AUS,1.34,1.34,1.34,1.34,1.34,1.34
37,Copper_mining,AUT,1.2,1.2,1.2,1.2,1.2,1.2
38,Copper_mining,BRA,1.2,1.2,1.2,1.2,1.2,1.2
39,Copper_mining,CHN,2.12,2.12,2.12,2.12,2.12,2.12
40,Copper_mining,CZE,1.2,1.2,1.2,1.2,1.2,1.2
41,Copper_mining,DEU,1.2,1.2,1.2,1.2,1.2,1.2
42,Copper_mining,ITA,1.2,1.2,1.2,1.2,1.2,1.2
43,Copper_mining,JPN,2.5,2.5,2.5,2.5,2.5,2.5
44,Copper_mining,KOR,1.2,1.2,1.2,1.2,1.2,1.2
45,Copper_mining,ROE,1.2,1.2,1.2,1.2,1.2,1.2
46,Copper_mining,ROW,1.2,1.2,1.2,1.2,1.2,1.2
47,Copper_mining,USA,1.2,1.2,1.2,1.2,1.2,1.2
48,Copper_recycling,AUS,1.2,1.2,1.2,1.2,1.2,1.2
49,Copper_recycling,AUT,1.2,1.2,1.2,1.2,1.2,1.2
50,Copper_recycling,BRA,1.2,1.2,1.2,1.2,1.2,1.2
51,Copper_recycling,CHN,1.2,1.2,1.2,1.2,1.2,1.2
52,Copper_recycling,CZE,1.2,1.2,1.2,1.2,1.2,1.2
53,Copper_recycling,DEU,1.2,1.2,1.2,1.2,1.2,1.2
54,Copper_recycling,ITA,1.2,1.2,1.2,1.2,1.2,1.2
55,Copper_recycling,JPN,1.2,1.2,1.2,1.2,1.2,1.2
56,Copper_recycling,KOR,1.2,1.2,1.2,1.2,1.2,1.2
57,Copper_recycling,ROE,1.2,1.2,1.2,1.2,1.2,1.2
58,Copper_recycling,ROW,1.2,1.2,1.2,1.2,1.2,1.2
59,Copper_recycling,USA,1.2,1.2,1.2,1.2,1.2,1.2
60,Copper_refinement,AUS,3.44,3.44,3.44,3.44,3.44,3.44
61,Copper_refinement,AUT,2.77,2.77,2.77,2.77,2.77,2.77
