,technology,carrier,node,time_operation,value_scenario_,value_scenario_DemandMet,value_scenario_FastDiffusion,value_scenario_Recycling,value_scenario_SelfSuff40,value_scenario_Tariffs
0,Aluminium_production,Bauxite,AUS,0,4.0,4.0,4.0,4.0,4.0,4.0
1,Aluminium_production,Bauxite,AUS,1,4.0,4.0,4.0,4.0,4.0,4.0
2,Aluminium_production,Bauxite,AUS,2,4.0,4.0,4.0,4.0,4.0,4.0
3,Aluminium_production,Bauxite,AUS,3,4.0,4.0,4.0,4.0,4.0,4.0
4,Aluminium_production,Bauxite,AUS,4,4.0,4.0,4.0,4.0,4.0,4.0
5,Aluminium_production,Bauxite,AUS,5,4.0,4.0,4.0,4.0,4.0,4.0
6,Aluminium_production,Bauxite,AUS,6,4.0,4.0,4.0,4.0,4.0,4.0
7,Aluminium_production,Bauxite,AUS,7,4.0,4.0,4.0,4.0,4.0,4.0
8,Aluminium_production,Bauxite,AUS,8,4.0,4.0,4.0,4.0,4.0,4.0
9,Aluminium_production,Bauxite,AUS,9,4.0,4.0,4.0,4.0,4.0,4.0
10,Aluminium_production,Bauxite,AUS,10,4.0,4.0,4.0,4.0,4.0,4.0
11,Aluminium_production,Bauxite,AUS,11,4.0,4.0,4.0,4.0,4.0,4.0
12,Aluminium_production,Bauxite,AUS,12,4.0,4.0,4.0,4.0,4.0,4.0
13,Aluminium_production,Bauxite,AUS,13,4.0,4.0,4.0,4.0,4.0,4.0
14,Aluminium_production,Bauxite,AUT,0,4.0,4.0,4.0,4.0,4.0,4.0
15,Aluminium_production,Bauxite,AUT,1,4.0,4.0,4.0,4.0,4.0,4.0
16,Aluminium_production,Bauxite,AUT,2,4.0,4.0,4.0,4.0,4.0,4.0
17,Aluminium_production,Bauxite,AUT,3,4.0,4.0,4.0,4.0,4.0,4.0
18,Aluminium_production,Bauxite,AUT,4,4.0,4.0,4.0,4.0,4.0,4.0
19,Aluminium_production,Bauxite,AUT,5,4.0,4.0,4.0,4.0,4.0,4.0
20,Aluminium_production,Bauxite,AUT,6,4.0,4.0,4.0,4.0,4.0,4.0
21,Aluminium_production,Bauxite,AUT,7,4.0,4.0,4.0,4.0,4.0,4.0
22,Aluminium_production,Bauxite,AUT,8,4.0,4.0,4.0,4.0,4.0,4.0
23,Aluminium_production,Bauxite,AUT,9,4.0,4.0,4.0,4.0,4.0,4.0
24,Aluminium_production,Bauxite,AUT,10,4.0,4.0,4.0,4.0,4.0,4.0
25,Aluminium_production,Bauxite,AUT,11,4.0,4.0,4.0,4.0,4.0,4.0
26,Aluminium_production,Bauxite,AUT,12,4.0,4.0,4.0,4.0,4.0,4.0
27,Aluminium_production,Bauxite,AUT,13,4.0,4.0,4.0,4.0,4.0,4.0
28,Aluminium_production,Bauxite,BRA,0,4.0,4.0,4.0,4.0,4.0,4.0
29,Aluminium_production,Bauxite,BRA,1,4.0,4.0,4.0,4.0,4.0,4.0
30,Aluminium_production,Bauxite,BRA,2,4.0,4.0,4.0,4.0,4.0,4.0
31,Aluminium_production,Bauxite,BRA,3,4.0,4.0,4.0,4.0,4.0,4.0
32,Aluminium_production,Bauxite,BRA,4,4.0,4.0,4.0,4.0,4.0,4.0
33,Aluminium_production,Bauxite,BRA,5,4.0,4.0,4.0,4.0,4.0,4.0
34,Aluminium_production,Bauxite,BRA,6,4.0,4.0,4.0,4.0,4.0,4.0
35,Aluminium_production,Bauxite,BRA,7,4.0,4.0,4.0,4.0,4.0,4.0
36,Aluminium_production,Bauxite,BRA,8,4.0,4.0,4.0,4.0,4.0,4.0
37,Aluminium_production,Bauxite,BRA,9,4.0,4.0,4.0,4.0,4.0,4.0
38,Aluminium_production,Bauxite,BRA,10,4.0,4.0,4.0,4.0,4.0,4.0
39,Aluminium_production,Bauxite,BRA,11,4.0,4.0,4.0,4.0,4.0,4.0
40,Aluminium_production,Bauxite,BRA,12,4.0,4.0,4.0,4.0,4.0,4.0
41,Aluminium_production,Bauxite,BRA,13,4.0,4.0,4.0,4.0,4.0,4.0
42,Aluminium_production,Bauxite,CHN,0,4.0,4.0,4.0,4.0,4.0,4.0
43,Aluminium_production,Bauxite,CHN,1,4.0,4.0,4.0,4.0,4.0,4.0
44,Aluminium_production,Bauxite,CHN,2,4.0,4.0,4.0,4.0,4.0,4.0
45,Aluminium_production,Bauxite,CHN,3,4.0,4.0,4.0,4.0,4.0,4.0
